z,Fz_col,N_col,Fmag_col,localF_slice
-2.87500,-7.522464e-03,4.034834e-02,6.876162e-02,1.70420
-2.62500,-1.035796e-02,4.650570e-02,7.984925e-02,1.71698
-2.37500,-2.234394e-02,5.830523e-02,1.076021e-01,1.84550
-2.12500,-3.996435e-02,7.720786e-02,1.764538e-01,2.28544
-1.87500,-6.196222e-02,1.031251e-01,2.974310e-01,2.88418
-1.62500,-9.457314e-02,1.376434e-01,4.711095e-01,3.42268
-1.37500,-1.232093e-01,1.778964e-01,6.757455e-01,3.79853
-1.12500,-1.334571e-01,2.193887e-01,9.071489e-01,4.13489
-0.87500,-1.428570e-01,2.562773e-01,1.098261e+00,4.28544
-0.62500,-1.525854e-01,2.855065e-01,1.248173e+00,4.37179
-0.37500,-1.511693e-01,3.029812e-01,1.341966e+00,4.42921
-0.12500,-1.460545e-01,3.079225e-01,1.357855e+00,4.40973
0.12500,-1.295593e-01,3.077999e-01,1.345648e+00,4.37183
0.37500,-1.119507e-01,2.973628e-01,1.294738e+00,4.35407
0.62500,-9.364717e-02,2.783182e-01,1.186212e+00,4.26207
0.87500,-7.671987e-02,2.504920e-01,1.015282e+00,4.05315
1.12500,-6.608502e-02,2.131230e-01,8.052798e-01,3.77847
1.37500,-5.984996e-02,1.757594e-01,6.097231e-01,3.46908
1.62500,-4.456684e-02,1.383282e-01,4.261860e-01,3.08098
1.87500,-4.439520e-02,1.031731e-01,2.714007e-01,2.63054
2.12500,-2.913785e-02,7.682155e-02,1.748520e-01,2.27608
2.37500,-1.703982e-02,5.817080e-02,1.127981e-01,1.93908
2.62500,-9.357758e-03,4.676952e-02,8.152681e-02,1.74316
2.87500,-6.573150e-03,4.077338e-02,6.982341e-02,1.71248
