t,Fz,Fperp,Fmag,Lz,Jz,edge_frac
0.12000,0.12496,5.05589,5.05744,-4.37644,-4.25148,0.00495
0.24000,0.12164,5.05319,5.05466,-4.35868,-4.23704,0.00489
0.36000,0.10920,5.04854,5.04972,-4.33312,-4.22392,0.00477
0.48000,0.09108,5.04157,5.04240,-4.30169,-4.21061,0.00469
0.60000,0.07019,5.03156,5.03205,-4.26659,-4.19640,0.00471
0.72000,0.04606,5.02092,5.02113,-4.22800,-4.18194,0.00475
0.84000,0.02082,5.01206,5.01210,-4.18452,-4.16371,0.00485
0.96000,-0.00451,5.00283,5.00283,-4.14938,-4.15389,0.00490
1.08000,-0.03036,4.99290,4.99300,-4.11514,-4.14550,0.00497
1.20000,-0.05597,4.98302,4.98334,-4.08013,-4.13610,0.00502
1.32000,-0.07986,4.97327,4.97391,-4.04661,-4.12647,0.00494
1.44000,-0.10035,4.96334,4.96436,-4.02412,-4.12447,0.00498
1.56000,-0.11557,4.95391,4.95525,-4.00777,-4.12334,0.00501
1.68000,-0.12816,4.94684,4.94850,-3.99828,-4.12644,0.00501
1.80000,-0.13699,4.94251,4.94441,-3.99297,-4.12996,0.00493
1.92000,-0.14157,4.93796,4.93998,-3.98928,-4.13085,0.00485
2.04000,-0.14327,4.93208,4.93416,-3.98392,-4.12719,0.00483
2.16000,-0.14194,4.92587,4.92791,-3.98652,-4.12846,0.00481
2.28000,-0.13879,4.91957,4.92153,-3.98872,-4.12751,0.00491
2.40000,-0.13396,4.91302,4.91485,-3.98779,-4.12175,0.00504
2.52000,-0.12504,4.90472,4.90631,-3.99182,-4.11687,0.00515
2.64000,-0.11438,4.89484,4.89617,-3.99844,-4.11282,0.00521
2.76000,-0.10418,4.88470,4.88581,-4.00073,-4.10492,0.00533
2.88000,-0.09360,4.87596,4.87686,-4.00912,-4.10272,0.00531
3.00000,-0.08307,4.86745,4.86816,-4.01227,-4.09533,0.00533
3.12000,-0.07373,4.85915,4.85971,-4.01890,-4.09263,0.00537
