t,Fz,Fperp,Fmag,Lz,Jz,edge_frac
0.12000,0.37077,5.98174,5.99322,-0.00035,0.37041,0.00000
0.24000,0.61916,5.95554,5.98764,-0.01421,0.60495,0.00000
0.36000,0.17082,5.99161,5.99405,-0.05078,0.12004,0.00000
0.48000,0.07119,5.99616,5.99659,-0.10224,-0.03105,0.00000
0.60000,0.52565,5.96802,5.99112,-0.14892,0.37674,0.00000
0.72000,0.46111,5.97084,5.98862,-0.19533,0.26579,0.00000
0.84000,0.05009,5.99172,5.99193,-0.25886,-0.20877,0.00000
0.96000,0.24821,5.98756,5.99271,-0.32818,-0.07997,0.00000
1.08000,0.55423,5.96441,5.99010,-0.38172,0.17251,0.00000
1.20000,0.25691,5.98272,5.98824,-0.43327,-0.17636,0.00000
1.32000,0.08433,5.98808,5.98867,-0.50102,-0.41669,0.00000
1.44000,0.42734,5.97573,5.99099,-0.56796,-0.14062,0.00000
1.56000,0.45932,5.97257,5.99020,-0.62505,-0.16573,0.00000
1.68000,0.12714,5.98532,5.98667,-0.69331,-0.56617,0.00000
1.80000,0.23207,5.98223,5.98673,-0.77841,-0.54635,0.00000
1.92000,0.51819,5.96911,5.99156,-0.86800,-0.34982,0.00000
2.04000,0.30610,5.98254,5.99037,-0.96481,-0.65871,0.00000
2.16000,0.10336,5.98434,5.98523,-1.07801,-0.97465,0.00000
2.28000,0.39542,5.97346,5.98654,-1.20617,-0.81075,0.00000
2.40000,0.49459,5.97196,5.99241,-1.34841,-0.85383,0.00000
2.52000,0.15051,5.98850,5.99040,-1.50070,-1.35020,0.00000
2.64000,0.16286,5.98312,5.98533,-1.65722,-1.49436,0.00000
2.76000,0.51594,5.96524,5.98751,-1.82213,-1.30619,0.00000
2.88000,0.37786,5.98084,5.99277,-1.99678,-1.61892,0.00000
3.00000,0.04827,5.99064,5.99083,-2.16613,-2.11786,0.00000
3.12000,0.30270,5.97950,5.98716,-2.32562,-2.02292,0.00000
3.24000,0.56420,5.96234,5.98897,-2.49041,-1.92621,0.00000
3.36000,0.21510,5.98915,5.99301,-2.66100,-2.44590,0.00000
3.48000,0.06404,5.99110,5.99144,-2.82156,-2.75752,0.00000
3.60000,0.47884,5.96883,5.98800,-2.97655,-2.49771,0.00000
3.72000,0.51020,5.96744,5.98921,-3.14696,-2.63676,0.00000
3.84000,0.08736,5.99235,5.99298,-3.32714,-3.23979,0.00000
3.96000,0.19122,5.98802,5.99107,-3.50074,-3.30952,0.00000
4.08000,0.58856,5.95769,5.98669,-3.68135,-3.09279,0.00000
4.20000,0.37154,5.97664,5.98818,-3.88730,-3.51576,0.00000
4.32000,0.04416,5.99165,5.99182,-4.10530,-4.06114,0.00000
4.44000,0.34773,5.97878,5.98888,-4.31954,-3.97181,0.00000
4.56000,0.56781,5.95773,5.98472,-4.54552,-3.97771,0.00000
4.68000,0.19760,5.98363,5.98689,-4.78897,-4.59137,0.00001
4.80000,0.10024,5.98828,5.98912,-5.03247,-4.93223,0.00002
4.92000,0.47873,5.96626,5.98544,-5.26380,-4.78507,0.00004
5.04000,0.43273,5.96723,5.98290,-5.49590,-5.06317,0.00007
5.16000,0.07940,5.98439,5.98491,-5.73285,-5.65346,0.00010
5.28000,0.25596,5.98026,5.98573,-5.96545,-5.70949,0.00008
5.40000,0.52478,5.95889,5.98195,-6.19275,-5.66797,0.00005
5.52000,0.24598,5.97607,5.98113,-6.42732,-6.18134,0.00003
5.64000,0.10294,5.98117,5.98206,-6.66545,-6.56251,0.00001
5.76000,0.44414,5.96505,5.98156,-6.89681,-6.45267,0.00001
5.88000,0.45460,5.96145,5.97876,-7.12861,-6.67400,0.00000
6.00000,0.10764,5.97775,5.97872,-7.36496,-7.25733,0.00000
6.12000,0.24280,5.97257,5.97751,-7.60135,-7.35855,0.00000
6.24000,0.55925,5.95098,5.97720,-7.83600,-7.27674,0.00003
6.36000,0.30754,5.96792,5.97584,-8.08163,-7.77409,0.00015
6.48000,0.05548,5.97479,5.97505,-8.32719,-8.27171,0.00036
6.60000,0.40310,5.95940,5.97302,-8.56008,-8.15698,0.00065
6.72000,0.56497,5.94536,5.97214,-8.79111,-8.22614,0.00125
6.84000,0.14971,5.96990,5.97178,-9.01287,-8.86316,0.00178
6.96000,0.09558,5.96868,5.96945,-9.21296,-9.11737,0.00185
7.08000,0.53185,5.94360,5.96735,-9.41271,-8.88086,0.00150
7.20000,0.46666,5.94816,5.96644,-9.65424,-9.18758,0.00104
7.32000,0.03811,5.96398,5.96411,-9.92124,-9.88313,0.00062
7.44000,0.21278,5.95757,5.96137,-10.16507,-9.95229,0.00032
7.56000,0.59661,5.93017,5.96010,-10.39346,-9.79685,0.00015
7.68000,0.33276,5.94913,5.95843,-10.63822,-10.30546,0.00007
7.80000,0.02497,5.95455,5.95460,-10.87404,-10.84907,0.00005
7.92000,0.35576,5.94023,5.95088,-11.06974,-10.71398,0.00006
8.04000,0.57857,5.92220,5.95039,-11.25547,-10.67690,0.00018
8.16000,0.21317,5.94431,5.94813,-11.44643,-11.23326,0.00064
8.28000,0.08192,5.94346,5.94403,-11.58976,-11.50784,0.00175
8.40000,0.46017,5.92275,5.94060,-11.65105,-11.19088,0.00342
8.52000,0.49606,5.91824,5.93899,-11.67491,-11.17885,0.00486
8.64000,0.13243,5.93506,5.93654,-11.70210,-11.56967,0.00545
8.76000,0.18850,5.92738,5.93038,-11.70612,-11.51762,0.00536
8.88000,0.51060,5.90548,5.92751,-11.70947,-11.19887,0.00454
9.00000,0.37465,5.91360,5.92545,-11.78301,-11.40837,0.00329
9.12000,0.09271,5.91918,5.91991,-11.90400,-11.81129,0.00206
9.24000,0.29039,5.90606,5.91320,-12.00704,-11.71665,0.00116
9.36000,0.50871,5.88533,5.90728,-12.11297,-11.60426,0.00067
9.48000,0.24790,5.89892,5.90413,-12.24587,-11.99797,0.00049
9.60000,0.12024,5.89488,5.89610,-12.36699,-12.24675,0.00048
9.72000,0.40996,5.87210,5.88640,-12.43393,-12.02397,0.00059
9.84000,0.46289,5.86072,5.87897,-12.49743,-12.03453,0.00089
9.96000,0.15492,5.87073,5.87277,-12.54983,-12.39491,0.00156
10.08000,0.17843,5.86176,5.86448,-12.51759,-12.33916,0.00232
10.20000,0.50736,5.83241,5.85443,-12.43817,-11.93081,0.00392
10.32000,0.40191,5.83148,5.84531,-12.27184,-11.86993,0.00599
10.44000,0.09655,5.83631,5.83711,-12.11888,-12.02233,0.00664
10.56000,0.26925,5.82039,5.82661,-11.93994,-11.67069,0.00576
10.68000,0.53454,5.78905,5.81368,-11.77015,-11.23561,0.00456
10.80000,0.31377,5.79733,5.80582,-11.65898,-11.34521,0.00376
10.92000,0.08110,5.79542,5.79599,-11.55682,-11.47572,0.00298
11.04000,0.33496,5.77422,5.78393,-11.43120,-11.09624,0.00224
11.16000,0.50408,5.75040,5.77245,-11.31432,-10.81024,0.00173
11.28000,0.21040,5.75960,5.76344,-11.22827,-11.01788,0.00160
11.40000,0.13173,5.75562,5.75712,-11.15741,-11.02568,0.00171
11.52000,0.41712,5.73506,5.75021,-11.05627,-10.63915,0.00203
11.64000,0.40389,5.72384,5.73807,-10.93762,-10.53374,0.00256
11.76000,0.14654,5.72955,5.73142,-10.80430,-10.65776,0.00318
11.88000,0.22971,5.72008,5.72469,-10.64753,-10.41782,0.00375
12.00000,0.45124,5.70034,5.71817,-10.46988,-10.01864,0.00428
12.12000,0.29712,5.70226,5.71000,-10.27821,-9.98108,0.00435
12.24000,0.14688,5.69987,5.70176,-10.11520,-9.96832,0.00377
12.36000,0.34183,5.68888,5.69915,-9.97745,-9.63562,0.00307
12.48000,0.42342,5.67266,5.68844,-9.83205,-9.40863,0.00239
12.60000,0.21863,5.67578,5.67999,-9.69846,-9.47983,0.00183
12.72000,0.18269,5.67197,5.67491,-9.54082,-9.35813,0.00152
12.84000,0.40675,5.65481,5.66942,-9.37345,-8.96670,0.00156
