t,Fz,Fperp,Fmag,Lz,Jz,edge_frac
0.10000,0.06767,5.99473,5.99511,10.91024,10.97790,0.00000
0.20000,0.03063,5.99058,5.99066,10.93856,10.96920,0.00000
0.30000,0.05539,5.98304,5.98329,10.90942,10.96482,0.00000
0.40000,0.13718,5.97141,5.97298,10.82319,10.96037,0.00000
0.50000,0.26784,5.95348,5.95950,10.69049,10.95833,0.00000
0.60000,0.43697,5.92652,5.94261,10.51793,10.95490,0.00000
0.70000,0.63303,5.88813,5.92206,10.31809,10.95112,0.00000
0.80000,0.84451,5.83687,5.89765,10.10343,10.94794,0.00000
0.90000,1.06114,5.77258,5.86930,9.88246,10.94360,0.00000
1.00000,1.27461,5.69649,5.83734,9.66204,10.93664,0.00000
1.10000,1.47881,5.61108,5.80268,9.44995,10.92876,0.00000
1.20000,1.66972,5.51966,5.76668,9.25124,10.92096,0.00000
1.30000,1.84496,5.42573,5.73083,9.06991,10.91487,0.00000
1.40000,2.00354,5.33246,5.69642,8.90687,10.91040,0.00000
1.50000,2.14539,5.24227,5.66428,8.76196,10.90734,0.00000
1.60000,2.27109,5.15664,5.63460,8.63311,10.90419,0.00000
1.70000,2.38149,5.07599,5.60689,8.51922,10.90071,0.00000
1.80000,2.47742,5.00005,5.58015,8.42047,10.89788,0.00000
1.90000,2.55951,4.92833,5.55334,8.33787,10.89738,0.00000
2.00000,2.62815,4.86077,5.52579,8.27336,10.90151,0.00000
2.10000,2.68360,4.79794,5.49745,8.22354,10.90713,0.00000
2.20000,2.72582,4.74095,5.46870,8.18392,10.90973,0.00000
2.30000,2.75435,4.69125,5.44006,8.15669,10.91103,0.00000
2.40000,2.76803,4.65019,5.41167,8.14463,10.91266,0.00000
2.50000,2.76540,4.61850,5.38312,8.14835,10.91376,0.00000
2.60000,2.74532,4.59614,5.35362,8.16972,10.91503,0.00000
2.70000,2.70717,4.58254,5.32244,8.20787,10.91504,0.00000
2.80000,2.65126,4.57673,5.28920,8.25635,10.90761,0.00000
2.90000,2.57900,4.57742,5.25396,8.30901,10.88801,0.00000
3.00000,2.49271,4.58330,5.21730,8.36247,10.85518,0.00000
3.10000,2.39533,4.59309,5.18016,8.41579,10.81112,0.00000
3.20000,2.29002,4.60543,5.14336,8.47353,10.76354,0.00000
3.30000,2.17957,4.61908,5.10749,8.54531,10.72488,0.00000
3.40000,2.06640,4.63324,5.07315,8.63136,10.69776,0.00000
3.50000,1.95272,4.64743,5.04101,8.72423,10.67696,0.00000
3.60000,1.84042,4.66135,5.01152,8.82226,10.66267,0.00000
3.70000,1.73120,4.67506,4.98530,8.92231,10.65351,0.00000
3.80000,1.62698,4.68913,4.96337,9.01923,10.64621,0.00000
3.90000,1.52976,4.70436,4.94684,9.11225,10.64201,0.00000
4.00000,1.44153,4.72127,4.93644,9.19881,10.64035,0.00000
4.10000,1.36410,4.73982,4.93221,9.27602,10.64012,0.00000
4.20000,1.29907,4.75942,4.93353,9.34067,10.63975,0.00000
4.30000,1.24795,4.77870,4.93896,9.39254,10.64048,0.00000
4.40000,1.21230,4.79561,4.94646,9.43616,10.64847,0.00000
4.50000,1.19389,4.80797,4.95398,9.47611,10.67000,0.00000
4.60000,1.19420,4.81391,4.95983,9.49241,10.68661,0.00000
4.70000,1.21382,4.81195,4.96269,9.47973,10.69356,0.00000
4.80000,1.25218,4.80093,4.96154,9.44071,10.69289,0.00000
4.90000,1.30782,4.77995,4.95563,9.37958,10.68740,0.00000
5.00000,1.37882,4.74842,4.94456,9.30005,10.67887,0.00000
5.10000,1.46288,4.70637,4.92848,9.20508,10.66796,0.00000
5.20000,1.55730,4.65435,4.90797,9.09831,10.65561,0.00000
5.30000,1.65916,4.59311,4.88359,8.98559,10.64475,0.00000
5.40000,1.76549,4.52352,4.85584,8.86971,10.63520,0.00000
5.50000,1.87337,4.44668,4.82519,8.75377,10.62714,0.00000
5.60000,1.97984,4.36430,4.79238,8.63852,10.61836,0.00000
5.70000,2.08197,4.27887,4.75850,8.52979,10.61176,0.00000
5.80000,2.17730,4.19332,4.72489,8.42864,10.60594,0.00000
5.90000,2.26388,4.11048,4.69268,8.33644,10.60032,0.00000
6.00000,2.34083,4.03265,4.66280,8.25467,10.59550,0.00000
6.10000,2.40816,3.96119,4.63576,8.18596,10.59412,0.00000
6.20000,2.46604,3.89658,4.61136,8.13641,10.60245,0.00000
6.30000,2.51450,3.83871,4.58895,8.10199,10.61649,0.00000
6.40000,2.55341,3.78753,4.56785,8.05901,10.61242,0.00000
6.50000,2.58242,3.74309,4.54749,8.00294,10.58537,0.00000
6.60000,2.60093,3.70578,4.52743,7.94784,10.54876,0.00000
6.70000,2.60843,3.67614,4.50755,7.89939,10.50782,0.00000
6.80000,2.60476,3.65450,4.48778,7.86398,10.46874,0.00000
6.90000,2.59021,3.64079,4.46817,7.84036,10.43057,0.00000
7.00000,2.56581,3.63467,4.44907,7.83318,10.39899,0.00000
7.10000,2.53321,3.63563,4.43113,7.84105,10.37426,0.00000
7.20000,2.49438,3.64296,4.41510,7.85202,10.34640,0.00000
7.30000,2.45105,3.65570,4.40135,7.87157,10.32263,0.00000
7.40000,2.40431,3.67287,4.38984,7.90525,10.30956,0.00000
7.50000,2.35471,3.69360,4.38034,7.94762,10.30233,0.00000
7.60000,2.30274,3.71730,4.37275,7.99431,10.29705,0.00000
7.70000,2.24916,3.74366,4.36735,8.04528,10.29444,0.00000
7.80000,2.19488,3.77248,4.36452,8.09762,10.29250,0.00000
7.90000,2.14080,3.80350,4.36459,8.15126,10.29206,0.00000
8.00000,2.08768,3.83666,4.36788,8.20364,10.29132,0.00000
8.10000,2.03598,3.87196,4.37462,8.24602,10.28200,0.00000
8.20000,1.98590,3.90917,4.38468,8.27397,10.25988,0.00000
8.30000,1.93742,3.94775,4.39754,8.27873,10.21614,0.00000
8.40000,1.89028,3.98679,4.41222,8.26042,10.15070,0.00000
8.50000,1.84408,4.02528,4.42758,8.23889,10.08297,0.00000
8.60000,1.79866,4.06223,4.44262,8.22777,10.02643,0.00000
8.70000,1.75429,4.09646,4.45629,8.23548,9.98977,0.00000
8.80000,1.71175,4.12661,4.46755,8.25569,9.96743,0.00000
8.90000,1.67259,4.15129,4.47557,8.27857,9.95115,0.00000
9.00000,1.63914,4.16928,4.47992,8.30319,9.94233,0.00000
