t,Fz,Fmag,Lz,Jz,N_m6,N_m5,N_m4
0.40000,-5.96316,5.96316,-1.03683,-6.99999,0.96479,0.03363,0.00152
0.80000,-5.86625,5.86625,-1.13366,-6.99991,0.88550,0.09753,0.01491
1.20000,-5.71591,5.71591,-1.28340,-6.99932,0.78586,0.15826,0.04407
1.60000,-5.51336,5.51336,-1.48540,-6.99876,0.67760,0.20158,0.08676
2.00000,-5.29159,5.29159,-1.70693,-6.99852,0.57973,0.21641,0.14195
2.40000,-5.07244,5.07244,-1.92610,-6.99854,0.49160,0.21000,0.21381
2.80000,-4.84758,4.84758,-2.15117,-6.99875,0.40133,0.20217,0.28339
3.20000,-4.61485,4.61485,-2.38428,-6.99913,0.31343,0.19987,0.33455
3.60000,-4.38790,4.38790,-2.61159,-6.99950,0.25490,0.19107,0.35213
4.00000,-4.17425,4.17425,-2.82540,-6.99965,0.23201,0.17092,0.33408
4.40000,-3.95943,3.95943,-3.04008,-6.99951,0.22929,0.14585,0.29128
4.80000,-3.70796,3.70796,-3.29136,-6.99932,0.21798,0.13719,0.24785
5.20000,-3.40319,3.40319,-3.59607,-6.99926,0.20236,0.13175,0.20581
5.60000,-3.08142,3.08142,-3.91774,-6.99916,0.21359,0.10860,0.15983
6.00000,-2.76310,2.76310,-4.23591,-6.99902,0.24098,0.07597,0.11409
6.40000,-2.48769,2.48769,-4.51122,-6.99891,0.25647,0.05659,0.06826
6.80000,-2.27720,2.27720,-4.72164,-6.99884,0.25575,0.04895,0.03716
7.20000,-2.14840,2.14840,-4.85041,-6.99881,0.25057,0.04747,0.03289
7.60000,-2.05959,2.05959,-4.93926,-6.99884,0.23622,0.05738,0.06584
8.00000,-1.98213,1.98213,-5.01655,-6.99867,0.22456,0.06813,0.08753
8.40000,-1.96448,1.96448,-5.03406,-6.99854,0.22158,0.07698,0.09209
8.80000,-1.97652,1.97652,-5.02206,-6.99858,0.22185,0.07157,0.08628
9.20000,-1.97889,1.97889,-5.01961,-6.99851,0.21679,0.07868,0.08753
9.60000,-1.95695,1.95695,-5.04155,-6.99850,0.20102,0.12013,0.08698
10.00000,-1.94648,1.94648,-5.05214,-6.99861,0.20901,0.11261,0.10474
10.40000,-1.96025,1.96025,-5.03839,-6.99864,0.23317,0.07913,0.12628
10.80000,-1.98637,1.98637,-5.01241,-6.99878,0.25861,0.07398,0.12584
11.20000,-2.02316,2.02316,-4.97553,-6.99869,0.27562,0.07815,0.10183
11.60000,-2.07474,2.07474,-4.92389,-6.99863,0.28911,0.09065,0.07526
12.00000,-2.18664,2.18664,-4.81197,-6.99861,0.31566,0.09357,0.07683
12.40000,-2.29239,2.29239,-4.70619,-6.99858,0.32407,0.10952,0.08583
12.80000,-2.42129,2.42129,-4.57728,-6.99856,0.32221,0.15370,0.07674
13.20000,-2.57621,2.57621,-4.42221,-6.99842,0.35660,0.13971,0.07927
13.60000,-2.75763,2.75763,-4.24070,-6.99834,0.40063,0.08345,0.12069
14.00000,-2.91777,2.91777,-4.08050,-6.99828,0.40207,0.09205,0.12564
14.40000,-3.07734,3.07734,-3.92076,-6.99810,0.39096,0.12925,0.12559
14.80000,-3.22190,3.22190,-3.77611,-6.99802,0.38402,0.15925,0.13291
15.20000,-3.34371,3.34371,-3.65434,-6.99805,0.37258,0.19274,0.11733
15.60000,-3.43957,3.43957,-3.55845,-6.99802,0.36661,0.20753,0.11589
16.00000,-3.51961,3.51961,-3.47844,-6.99805,0.37814,0.18558,0.14633
16.40000,-3.60330,3.60330,-3.39478,-6.99808,0.38927,0.16160,0.17678
16.80000,-3.68817,3.68817,-3.30996,-6.99813,0.39500,0.16313,0.17521
17.20000,-3.76615,3.76615,-3.23202,-6.99817,0.41291,0.17160,0.14002
17.60000,-3.81127,3.81127,-3.18688,-6.99814,0.43836,0.16028,0.11250
18.00000,-3.83346,3.83346,-3.16467,-6.99813,0.45736,0.15403,0.07657
18.40000,-3.83112,3.83112,-3.16703,-6.99815,0.48483,0.12478,0.05514
18.80000,-3.80038,3.80038,-3.19779,-6.99816,0.51396,0.07908,0.06591
19.20000,-3.74209,3.74209,-3.25604,-6.99812,0.51145,0.08075,0.06550
