t,Fz,Fmag,Lz,Jz,N_m6,N_m5,N_m4
0.40000,-5.96180,5.96180,-0.03820,-6.00000,0.96346,0.03494,0.00155
0.80000,-5.85486,5.85486,-0.14514,-6.00000,0.87533,0.10657,0.01596
1.20000,-5.68449,5.68449,-0.31551,-6.00000,0.76289,0.17434,0.04959
1.60000,-5.45538,5.45538,-0.54462,-6.00000,0.64139,0.22133,0.09874
2.00000,-5.18666,5.18666,-0.81334,-6.00000,0.52312,0.23853,0.16520
2.40000,-4.90690,4.90690,-1.09310,-6.00000,0.41530,0.22578,0.25271
2.80000,-4.63247,4.63247,-1.36753,-6.00000,0.31570,0.20171,0.33560
3.20000,-4.36382,4.36382,-1.63618,-6.00000,0.23731,0.17386,0.38171
3.60000,-4.11041,4.11041,-1.88959,-6.00000,0.20220,0.15501,0.36049
4.00000,-3.87522,3.87522,-2.12478,-6.00000,0.19695,0.14778,0.29670
4.40000,-3.63854,3.63854,-2.36146,-6.00000,0.18833,0.14366,0.25086
4.80000,-3.35326,3.35326,-2.64674,-6.00000,0.16480,0.13495,0.22963
5.20000,-3.04475,3.04475,-2.95525,-6.00000,0.15606,0.12032,0.19860
5.60000,-2.74046,2.74046,-3.25954,-6.00000,0.17595,0.10489,0.14238
6.00000,-2.43439,2.43439,-3.56561,-6.00000,0.19990,0.07943,0.09758
6.40000,-2.15819,2.15819,-3.84181,-6.00000,0.21328,0.04865,0.06370
6.80000,-1.97356,1.97356,-4.02644,-6.00000,0.21883,0.03213,0.04205
7.20000,-1.92040,1.92040,-4.07960,-6.00000,0.21534,0.03950,0.05306
7.60000,-1.92476,1.92476,-4.07524,-6.00000,0.19827,0.06647,0.07676
8.00000,-1.93428,1.93428,-4.06571,-6.00000,0.18742,0.09354,0.07556
8.40000,-1.95598,1.95598,-4.04402,-6.00000,0.18943,0.08135,0.09318
8.80000,-1.99158,1.99158,-4.00842,-6.00000,0.18327,0.08711,0.09628
9.20000,-2.00659,2.00659,-3.99340,-6.00000,0.17438,0.12116,0.08484
9.60000,-2.01701,2.01701,-3.98299,-6.00000,0.18777,0.09997,0.12509
10.00000,-2.02952,2.02952,-3.97048,-6.00000,0.19115,0.09520,0.12771
10.40000,-2.03843,2.03843,-3.96157,-6.00000,0.21209,0.09441,0.13238
10.80000,-2.04631,2.04631,-3.95368,-6.00000,0.23131,0.08633,0.12871
11.20000,-2.09264,2.09264,-3.90736,-6.00000,0.25144,0.08559,0.11262
