t,Fz,Fmag,Lz,Jz,N_m6,N_m5,N_m4,Ntot
0.40000,-5.93983,5.93983,-1.03249,-6.97232,0.96502,0.03342,0.00150,0.996048
0.80000,-5.82268,5.82268,-1.12412,-6.94680,0.88618,0.09705,0.01474,0.992413
1.20000,-5.65445,5.65445,-1.26770,-6.92215,0.78670,0.15793,0.04374,0.988975
1.60000,-5.43563,5.43563,-1.46105,-6.89669,0.67869,0.20146,0.08627,0.985415
2.00000,-5.20076,5.20076,-1.67029,-6.87105,0.58181,0.21632,0.14104,0.981786
2.40000,-4.97115,4.97115,-1.87499,-6.84614,0.49501,0.20994,0.21220,0.978225
2.80000,-4.73770,4.73770,-2.08294,-6.82064,0.40614,0.20234,0.28139,0.974551
3.20000,-4.49885,4.49885,-2.29429,-6.79314,0.31919,0.20134,0.33258,0.970568
3.60000,-4.26879,4.26879,-2.49608,-6.76487,0.26108,0.19342,0.35217,0.966477
4.00000,-4.05532,4.05532,-2.68270,-6.73801,0.23844,0.17310,0.33701,0.962618
4.40000,-3.84240,3.84240,-2.87013,-6.71252,0.23679,0.14633,0.29682,0.958996
4.80000,-3.59644,3.59644,-3.09116,-6.68760,0.22655,0.13752,0.25219,0.955463
5.20000,-3.30155,3.30155,-3.36064,-6.66219,0.21144,0.13231,0.20863,0.951840
5.60000,-2.99355,2.99355,-3.64309,-6.63665,0.22164,0.10969,0.16259,0.948205
6.00000,-2.69436,2.69436,-3.91604,-6.61040,0.24887,0.07678,0.11703,0.944476
6.40000,-2.43745,2.43745,-4.14455,-6.58200,0.26535,0.05762,0.07010,0.940432
6.80000,-2.24061,2.24061,-4.31109,-6.55170,0.26542,0.05061,0.03763,0.936113
7.20000,-2.11835,2.11835,-4.40485,-6.52320,0.25990,0.04836,0.03308,0.932047
7.60000,-2.03161,2.03161,-4.46567,-6.49728,0.24667,0.05687,0.06437,0.928337
8.00000,-1.94533,1.94533,-4.52542,-6.47074,0.23398,0.06785,0.08899,0.924571
8.40000,-1.91374,1.91374,-4.53005,-6.44379,0.22908,0.07949,0.09398,0.920737
8.80000,-1.91182,1.91182,-4.50398,-6.41580,0.22672,0.07835,0.08825,0.916731
9.20000,-1.90218,1.90218,-4.48577,-6.38795,0.22014,0.08246,0.08907,0.912761
9.60000,-1.86803,1.86803,-4.49238,-6.36042,0.20305,0.12295,0.08921,0.908827
10.00000,-1.84053,1.84053,-4.49137,-6.33191,0.20564,0.12477,0.10111,0.904736
10.40000,-1.83740,1.83740,-4.46579,-6.30319,0.23387,0.07722,0.13234,0.900630
10.80000,-1.84080,1.84080,-4.43646,-6.27726,0.25112,0.07337,0.13838,0.896905
11.20000,-1.86511,1.86511,-4.38766,-6.25277,0.26968,0.07900,0.11782,0.893415
11.60000,-1.89083,1.89083,-4.33753,-6.22836,0.28263,0.08812,0.08910,0.889935
12.00000,-1.97029,1.97029,-4.23321,-6.20351,0.30861,0.09219,0.07806,0.886388
12.40000,-2.05566,2.05566,-4.12304,-6.17869,0.32653,0.09796,0.08485,0.882849
12.80000,-2.16187,2.16187,-3.99259,-6.15446,0.32521,0.14153,0.07485,0.879388
13.20000,-2.29087,2.29087,-3.83940,-6.13027,0.35099,0.14554,0.07514,0.875951
13.60000,-2.45248,2.45248,-3.65310,-6.10558,0.40437,0.08685,0.10837,0.872433
14.00000,-2.60284,2.60284,-3.47948,-6.08232,0.42322,0.07405,0.13156,0.869119
14.40000,-2.74116,2.74116,-3.31976,-6.06092,0.41382,0.11396,0.12992,0.866081
14.80000,-2.86830,2.86830,-3.17180,-6.04011,0.40769,0.15869,0.13187,0.863118
15.20000,-2.96309,2.96309,-3.05566,-6.01875,0.40654,0.19198,0.11736,0.860067
15.60000,-3.03294,3.03294,-2.96358,-5.99652,0.40179,0.21970,0.09599,0.856896
16.00000,-3.08570,3.08570,-2.88888,-5.97457,0.41450,0.21044,0.10195,0.853755
16.40000,-3.13447,3.13447,-2.81806,-5.95252,0.44985,0.16389,0.11946,0.850594
16.80000,-3.16791,3.16791,-2.76230,-5.93022,0.48210,0.13409,0.09844,0.847401
17.20000,-3.18904,3.18904,-2.71841,-5.90745,0.51236,0.11948,0.05801,0.844142
17.60000,-3.19066,3.19066,-2.69557,-5.88623,0.54197,0.09835,0.03914,0.841114
18.00000,-3.15857,3.15857,-2.70803,-5.86660,0.55870,0.07381,0.04952,0.838316
18.40000,-3.09112,3.09112,-2.75588,-5.84700,0.56328,0.05807,0.06398,0.835515
18.80000,-2.99382,2.99382,-2.83188,-5.82570,0.53521,0.08350,0.05438,0.832470
19.20000,-2.89032,2.89032,-2.91398,-5.80429,0.47387,0.12641,0.07120,0.829413
19.60000,-2.79263,2.79263,-2.99066,-5.78329,0.41458,0.14352,0.12392,0.826411
20.00000,-2.70079,2.70079,-3.06157,-5.76236,0.37610,0.13916,0.16215,0.823426
20.40000,-2.60624,2.60624,-3.13348,-5.73972,0.33606,0.15979,0.17049,0.820202
20.80000,-2.53602,2.53602,-3.18223,-5.71825,0.30726,0.16784,0.18995,0.817143
21.20000,-2.48500,2.48500,-3.21292,-5.69792,0.29633,0.13993,0.20255,0.814252
21.60000,-2.44465,2.44465,-3.23354,-5.67819,0.28420,0.13793,0.17740,0.811446
22.00000,-2.41417,2.41417,-3.24351,-5.65768,0.27904,0.14136,0.15777,0.808515
22.40000,-2.38774,2.38774,-3.24824,-5.63598,0.29208,0.09932,0.17730,0.805413
22.80000,-2.35655,2.35655,-3.25792,-5.61447,0.29218,0.08883,0.15663,0.802334
23.20000,-2.31812,2.31812,-3.27538,-5.59351,0.28667,0.08926,0.13185,0.799330
23.60000,-2.28589,2.28589,-3.28763,-5.57352,0.28622,0.09054,0.11475,0.796481
24.00000,-2.27463,2.27463,-3.27854,-5.55316,0.29311,0.09567,0.11606,0.793574
24.40000,-2.28546,2.28546,-3.24667,-5.53214,0.29682,0.10816,0.11861,0.790577
24.80000,-2.29193,2.29193,-3.22064,-5.51256,0.29706,0.11734,0.12083,0.787782
25.20000,-2.28895,2.28895,-3.20441,-5.49335,0.29646,0.11684,0.12644,0.785045
25.60000,-2.28221,2.28221,-3.19115,-5.47336,0.29231,0.10514,0.16156,0.782190
26.00000,-2.27554,2.27554,-3.17812,-5.45366,0.28704,0.09860,0.20515,0.779384
26.40000,-2.28492,2.28492,-3.14891,-5.43383,0.28491,0.13714,0.15908,0.776557
26.80000,-2.29610,2.29610,-3.11871,-5.41480,0.29353,0.14888,0.13435,0.773839
27.20000,-2.32728,2.32728,-3.06784,-5.39512,0.31280,0.13805,0.14554,0.771030
27.60000,-2.36923,2.36923,-3.00694,-5.37618,0.33568,0.13778,0.13410,0.768329
28.00000,-2.41981,2.41981,-2.93899,-5.35880,0.37304,0.13499,0.09033,0.765852
28.40000,-2.47041,2.47041,-2.87134,-5.34175,0.41587,0.12040,0.03652,0.763421
28.80000,-2.53484,2.53484,-2.78869,-5.32352,0.46866,0.05781,0.04093,0.760820
29.20000,-2.58638,2.58638,-2.71967,-5.30605,0.48675,0.03168,0.05290,0.758323
29.60000,-2.61787,2.61787,-2.67170,-5.28957,0.46416,0.07103,0.05092,0.755970
30.00000,-2.66074,2.66074,-2.61171,-5.27245,0.42145,0.12901,0.06019,0.753524
30.40000,-2.70103,2.70103,-2.55305,-5.25408,0.38786,0.13926,0.11348,0.750903
30.80000,-2.73997,2.73997,-2.49654,-5.23651,0.37305,0.13437,0.16248,0.748387
31.20000,-2.76078,2.76078,-2.45909,-5.21987,0.35324,0.15054,0.18997,0.746012
31.60000,-2.78819,2.78819,-2.41520,-5.20339,0.33104,0.18559,0.20132,0.743663
32.00000,-2.80821,2.80821,-2.37813,-5.18633,0.32102,0.19048,0.22407,0.741230
32.40000,-2.82166,2.82166,-2.34807,-5.16973,0.32248,0.17376,0.25755,0.738857
32.80000,-2.83070,2.83070,-2.32270,-5.15340,0.32550,0.17016,0.27568,0.736527
33.20000,-2.83106,2.83106,-2.30534,-5.13640,0.33115,0.19085,0.23850,0.734105
33.60000,-2.82481,2.82481,-2.29431,-5.11913,0.34490,0.20835,0.18054,0.731646
34.00000,-2.81270,2.81270,-2.28906,-5.10176,0.36857,0.18246,0.17999,0.729166
34.40000,-2.80607,2.80607,-2.27955,-5.08562,0.39646,0.14885,0.18603,0.726870
34.80000,-2.80496,2.80496,-2.26458,-5.06954,0.41978,0.13019,0.17826,0.724571
35.20000,-2.80517,2.80517,-2.24796,-5.05313,0.44740,0.12680,0.14766,0.722223
35.60000,-2.80768,2.80768,-2.22975,-5.03742,0.47807,0.12991,0.11128,0.719975
36.00000,-2.79343,2.79343,-2.22878,-5.02221,0.50846,0.11884,0.08237,0.717802
36.40000,-2.76397,2.76397,-2.24346,-5.00743,0.53840,0.08924,0.07021,0.715693
36.80000,-2.72772,2.72772,-2.26411,-4.99184,0.55722,0.06169,0.06210,0.713465
37.20000,-2.69123,2.69123,-2.28485,-4.97608,0.55006,0.06399,0.05749,0.711214
37.60000,-2.65360,2.65360,-2.30703,-4.96063,0.52483,0.09085,0.05777,0.709012
38.00000,-2.61644,2.61644,-2.32881,-4.94525,0.48267,0.13055,0.07866,0.706819
38.40000,-2.57547,2.57547,-2.35366,-4.92913,0.44924,0.14415,0.10626,0.704517
38.80000,-2.53779,2.53779,-2.37582,-4.91362,0.42896,0.13495,0.11749,0.702312
39.20000,-2.49753,2.49753,-2.40120,-4.89873,0.41241,0.11270,0.14541,0.700189
39.60000,-2.45938,2.45938,-2.42512,-4.88449,0.39337,0.08934,0.20171,0.698160
40.00000,-2.42733,2.42733,-2.44213,-4.86946,0.37052,0.09313,0.21748,0.696019
40.40000,-2.39712,2.39712,-2.45752,-4.85464,0.34057,0.12255,0.20304,0.693902
40.80000,-2.36752,2.36752,-2.47197,-4.83949,0.30634,0.16040,0.18872,0.691738
41.20000,-2.32917,2.32917,-2.49537,-4.82454,0.27590,0.18354,0.18871,0.689603
41.60000,-2.29918,2.29918,-2.51043,-4.80961,0.27158,0.15691,0.21819,0.687473
42.00000,-2.27549,2.27549,-2.51812,-4.79361,0.27773,0.12268,0.24951,0.685186
42.40000,-2.25583,2.25583,-2.52215,-4.77798,0.27497,0.11187,0.27234,0.682945
42.80000,-2.23637,2.23637,-2.52753,-4.76389,0.26296,0.13823,0.26472,0.680933
43.20000,-2.21868,2.21868,-2.53157,-4.75025,0.26447,0.14771,0.25161,0.678984
43.60000,-2.21090,2.21090,-2.52586,-4.73676,0.27905,0.14419,0.22972,0.677061
44.00000,-2.20197,2.20197,-2.52076,-4.72273,0.29908,0.13333,0.21584,0.675054
44.40000,-2.19210,2.19210,-2.51649,-4.70859,0.32977,0.11957,0.17829,0.673039
44.80000,-2.18501,2.18501,-2.50958,-4.69459,0.36550,0.09818,0.13960,0.671045
45.20000,-2.18305,2.18305,-2.49663,-4.67968,0.39472,0.08759,0.11105,0.668919
45.60000,-2.18948,2.18948,-2.47481,-4.66429,0.42768,0.08387,0.08212,0.666725
46.00000,-2.19966,2.19966,-2.45105,-4.65071,0.46320,0.07407,0.05324,0.664785
46.40000,-2.21303,2.21303,-2.42508,-4.63811,0.49173,0.05956,0.03726,0.662991
46.80000,-2.22256,2.22256,-2.40275,-4.62531,0.50602,0.04874,0.03707,0.661165
47.20000,-2.22211,2.22211,-2.39016,-4.61227,0.49254,0.06502,0.03015,0.659304
47.60000,-2.22719,2.22719,-2.37216,-4.59935,0.46784,0.08316,0.04207,0.657460
48.00000,-2.23630,2.23630,-2.35079,-4.58709,0.44250,0.10031,0.06607,0.655709
48.40000,-2.25878,2.25878,-2.31504,-4.57382,0.41272,0.13514,0.08445,0.653819
48.80000,-2.28127,2.28127,-2.27813,-4.55940,0.38315,0.16240,0.11732,0.651762
49.20000,-2.30034,2.30034,-2.24503,-4.54536,0.37132,0.15331,0.16391,0.649757
49.60000,-2.30816,2.30816,-2.22494,-4.53310,0.36827,0.13639,0.20033,0.648008
50.00000,-2.31738,2.31738,-2.20359,-4.52097,0.36208,0.13105,0.22784,0.646277
