t,Fz,Fmag,Lz,Jz,N_m6,N_m5,N_m4,Ntot
0.40000,-5.93880,5.93880,0.95856,-4.98024,0.96404,0.03435,0.00156,0.996048
0.80000,-5.81583,5.81583,0.85368,-4.96215,0.88041,0.10183,0.01560,0.992418
1.20000,-5.63266,5.63266,0.68703,-4.94563,0.77122,0.16814,0.04777,0.989010
1.60000,-5.38565,5.38565,0.45703,-4.92862,0.64886,0.21598,0.09660,0.985518
2.00000,-5.10844,5.10844,0.19739,-4.91106,0.53403,0.23214,0.16044,0.981986
2.40000,-4.83509,4.83509,-0.05877,-4.89386,0.43880,0.21451,0.23829,0.978547
2.80000,-4.57600,4.57600,-0.30011,-4.87611,0.36043,0.18734,0.30087,0.975041
3.20000,-4.33506,4.33506,-0.52147,-4.85652,0.30089,0.17110,0.31939,0.971202
3.60000,-4.11018,4.11018,-0.72542,-4.83560,0.27945,0.14494,0.30879,0.967135
4.00000,-3.88491,3.88491,-0.93035,-4.81526,0.27910,0.12538,0.27155,0.963182
4.40000,-3.65344,3.65344,-1.14243,-4.79587,0.27210,0.10953,0.23251,0.959404
4.80000,-3.42183,3.42183,-1.35508,-4.77691,0.25633,0.08335,0.22067,0.955648
5.20000,-3.19225,3.19225,-1.56610,-4.75835,0.22547,0.09445,0.17772,0.951934
5.60000,-2.99217,2.99217,-1.74879,-4.74096,0.19556,0.12887,0.12400,0.948418
6.00000,-2.84995,2.84995,-1.87392,-4.72387,0.17768,0.13743,0.13151,0.944957
6.40000,-2.76140,2.76140,-1.94278,-4.70418,0.15555,0.12472,0.18857,0.940995
6.80000,-2.64382,2.64382,-2.03978,-4.68360,0.13203,0.09567,0.24760,0.936789
7.20000,-2.54191,2.54191,-2.12252,-4.66443,0.12403,0.07111,0.27133,0.932887
7.60000,-2.50418,2.50418,-2.14172,-4.64591,0.11389,0.11204,0.21200,0.929176
8.00000,-2.52846,2.52846,-2.09781,-4.62627,0.10568,0.15982,0.17803,0.925264
8.40000,-2.56229,2.56229,-2.04372,-4.60601,0.10522,0.17089,0.14998,0.921202
8.80000,-2.61816,2.61816,-1.96908,-4.58724,0.11667,0.14842,0.16662,0.917443
9.20000,-2.64007,2.64007,-1.92920,-4.56928,0.13159,0.09383,0.22044,0.913882
9.60000,-2.64326,2.64326,-1.90790,-4.55116,0.13833,0.08294,0.25173,0.910277
10.00000,-2.66954,2.66954,-1.85967,-4.52921,0.15078,0.12208,0.23611,0.905931
10.40000,-2.73205,2.73205,-1.77494,-4.50699,0.16182,0.16039,0.18855,0.901522
10.80000,-2.76754,2.76754,-1.71946,-4.48699,0.17421,0.15653,0.19053,0.897568
11.20000,-2.78365,2.78365,-1.68495,-4.46859,0.18860,0.13186,0.22698,0.893937
