t,Fz,Fperp,Fmag,Lz,Jz,edge_frac
0.60000,0.00337,1.96106,1.96106,-0.00320,0.00017,0.00000
1.20000,0.00711,1.87145,1.87147,-0.00694,0.00017,0.00000
1.80000,0.01320,1.80188,1.80193,-0.01303,0.00017,0.00000
2.40000,0.01775,1.71769,1.71778,-0.01761,0.00015,0.00000
3.00000,0.01435,1.59657,1.59663,-0.01425,0.00010,0.00000
3.60000,0.00514,1.48903,1.48904,-0.00506,0.00008,0.00000
4.20000,0.00358,1.44672,1.44673,-0.00348,0.00009,0.00000
4.80000,0.01360,1.42550,1.42557,-0.01346,0.00014,0.00000
5.40000,0.02964,1.40358,1.40389,-0.02944,0.00021,0.00000
6.00000,0.04267,1.39381,1.39446,-0.04240,0.00028,0.00000
6.60000,0.04779,1.34458,1.34543,-0.04749,0.00030,0.00000
7.20000,0.03533,1.26231,1.26280,-0.03509,0.00024,0.00000
7.80000,0.01470,1.18333,1.18342,-0.01465,0.00006,0.00000
8.40000,0.01825,1.09895,1.09911,-0.01848,-0.00023,0.00000
9.00000,0.03346,1.01272,1.01327,-0.03406,-0.00060,0.00000
9.60000,0.06251,0.93935,0.94143,-0.06340,-0.00089,0.00000
10.20000,0.07361,0.87482,0.87791,-0.07459,-0.00098,0.00000
10.80000,0.08287,0.83768,0.84177,-0.08382,-0.00095,0.00000
11.40000,0.08031,0.81577,0.81971,-0.08129,-0.00098,0.00000
12.00000,0.08207,0.80087,0.80506,-0.08318,-0.00111,0.00000
12.60000,0.09116,0.77386,0.77921,-0.09253,-0.00137,0.00000
13.20000,0.10817,0.73327,0.74120,-0.10983,-0.00166,0.00000
13.80000,0.08617,0.68118,0.68661,-0.08806,-0.00189,0.00000
14.40000,-0.02408,0.65806,0.65850,0.02201,-0.00206,0.00000
15.00000,-0.13835,0.66495,0.67919,0.13612,-0.00223,0.00000
15.60000,-0.19825,0.66659,0.69544,0.19594,-0.00231,0.00000
16.20000,-0.15549,0.65934,0.67742,0.15329,-0.00220,0.00000
16.80000,-0.04764,0.63131,0.63310,0.04569,-0.00195,0.00000
17.40000,-0.02773,0.62307,0.62369,0.02594,-0.00179,0.00000
18.00000,-0.03163,0.62590,0.62670,0.02985,-0.00178,0.00000
18.60000,-0.04348,0.64524,0.64671,0.04158,-0.00190,0.00000
19.20000,-0.02134,0.64835,0.64870,0.01915,-0.00219,0.00000
19.80000,0.03981,0.63383,0.63508,-0.04251,-0.00270,0.00000
20.40000,0.04646,0.65789,0.65952,-0.04978,-0.00333,0.00000
21.00000,0.04413,0.67833,0.67976,-0.04822,-0.00409,0.00000
21.60000,0.06166,0.68343,0.68620,-0.06644,-0.00478,0.00000
22.20000,0.09285,0.72087,0.72682,-0.09827,-0.00542,0.00000
22.80000,0.10990,0.75584,0.76379,-0.11601,-0.00611,0.00000
23.40000,0.08005,0.77845,0.78256,-0.08684,-0.00679,0.00000
24.00000,0.03427,0.78086,0.78161,-0.04185,-0.00757,0.00000
24.60000,-0.05198,0.76994,0.77169,0.04358,-0.00840,0.00000
25.20000,-0.10456,0.70234,0.71008,0.09540,-0.00916,0.00000
