t,Fz,Fperp,Fmag,Lz,Jz,edge_frac
0.60000,0.00042,5.91594,5.91594,0.00065,0.00107,0.00000
1.20000,0.00129,5.69765,5.69765,-0.00028,0.00102,0.00000
1.80000,0.00184,5.42513,5.42513,-0.00086,0.00098,0.00000
2.40000,0.00160,5.15948,5.15948,-0.00063,0.00097,0.00000
3.00000,0.00076,4.94454,4.94454,0.00023,0.00099,0.00000
3.60000,0.00012,4.77664,4.77664,0.00088,0.00101,0.00000
4.20000,-0.00010,4.63798,4.63798,0.00111,0.00101,0.00000
4.80000,0.00012,4.53126,4.53126,0.00088,0.00101,0.00000
5.40000,0.00053,4.46909,4.46909,0.00047,0.00100,0.00000
6.00000,0.00071,4.41437,4.41437,0.00030,0.00100,0.00000
6.60000,0.00037,4.36576,4.36576,0.00065,0.00102,0.00000
7.20000,0.00006,4.30752,4.30752,0.00097,0.00103,0.00000
7.80000,0.00008,4.22431,4.22431,0.00096,0.00104,0.00000
8.40000,0.00035,4.11441,4.11441,0.00070,0.00104,0.00000
9.00000,0.00076,4.00092,4.00092,0.00029,0.00104,0.00000
9.60000,0.00111,3.86851,3.86851,-0.00006,0.00104,0.00000
10.20000,0.00109,3.73625,3.73625,-0.00005,0.00104,0.00000
10.80000,0.00100,3.64802,3.64802,0.00004,0.00104,0.00000
11.40000,0.00096,3.63549,3.63549,0.00007,0.00103,0.00000
12.00000,0.00104,3.61595,3.61595,-0.00002,0.00102,0.00000
12.60000,0.00122,3.55971,3.55971,-0.00021,0.00101,0.00000
13.20000,0.00132,3.46943,3.46943,-0.00033,0.00099,0.00000
13.80000,0.00115,3.36693,3.36693,-0.00017,0.00098,0.00000
14.40000,0.00079,3.29574,3.29574,0.00018,0.00097,0.00000
15.00000,0.00055,3.27229,3.27229,0.00041,0.00096,0.00000
15.60000,0.00068,3.24122,3.24122,0.00026,0.00094,0.00000
16.20000,0.00097,3.15966,3.15966,-0.00005,0.00092,0.00000
16.80000,0.00127,3.09043,3.09043,-0.00036,0.00091,0.00000
17.40000,0.00134,3.04533,3.04533,-0.00044,0.00090,0.00000
18.00000,0.00111,3.01294,3.01294,-0.00023,0.00089,0.00000
18.60000,0.00055,3.01443,3.01443,0.00032,0.00087,0.00000
19.20000,0.00028,3.02820,3.02820,0.00057,0.00085,0.00000
19.80000,0.00030,3.01578,3.01578,0.00051,0.00081,0.00000
20.40000,0.00008,2.98266,2.98266,0.00069,0.00078,0.00000
21.00000,-0.00048,2.92813,2.92813,0.00122,0.00074,0.00000
21.60000,-0.00060,2.86060,2.86060,0.00131,0.00071,0.00000
22.20000,-0.00120,2.82989,2.82989,0.00189,0.00069,0.00000
22.80000,-0.00079,2.79624,2.79624,0.00144,0.00065,0.00000
23.40000,-0.00041,2.74955,2.74955,0.00104,0.00063,0.00000
24.00000,-0.00002,2.71057,2.71057,0.00062,0.00060,0.00000
24.60000,0.00097,2.66864,2.66864,-0.00038,0.00059,0.00000
25.20000,0.00292,2.63017,2.63017,-0.00235,0.00057,0.00000
25.80000,0.00498,2.56150,2.56150,-0.00442,0.00056,0.00000
26.40000,0.00719,2.49237,2.49238,-0.00667,0.00052,0.00000
27.00000,0.00953,2.43907,2.43909,-0.00911,0.00042,0.00000
27.60000,0.01148,2.38389,2.38392,-0.01114,0.00034,0.00000
28.20000,0.01274,2.30093,2.30097,-0.01248,0.00026,0.00000
28.80000,0.00953,2.21710,2.21712,-0.00935,0.00019,0.00000
29.40000,0.00477,2.14004,2.14004,-0.00468,0.00010,0.00000
30.00000,0.00195,2.04469,2.04469,-0.00191,0.00004,0.00000
