t,Fz,Fperp,Fmag,Lz,Jz,edge_frac
0.12000,0.05523,5.99421,5.99447,10.92018,10.97541,0.00000
0.24000,0.03330,5.98797,5.98806,10.93403,10.96733,0.00000
0.36000,0.09808,5.97667,5.97747,10.86392,10.96200,0.00000
0.48000,0.23828,5.95770,5.96246,10.72054,10.95882,0.00000
0.60000,0.43697,5.92652,5.94261,10.51793,10.95490,0.00000
0.72000,0.67445,5.87893,5.91750,10.27585,10.95029,0.00000
0.84000,0.93106,5.81268,5.88677,10.01542,10.94649,0.00000
0.96000,1.19004,5.72820,5.85051,9.74966,10.93970,0.00000
1.08000,1.43893,5.62875,5.80977,9.49134,10.93027,0.00000
1.20000,1.66972,5.51966,5.76668,9.25124,10.92096,0.00000
1.32000,1.87802,5.40693,5.72380,9.03591,10.91393,0.00000
1.44000,2.06226,5.29591,5.68327,8.84673,10.90899,0.00000
1.56000,2.22269,5.19029,5.64619,8.68292,10.90561,0.00000
1.68000,2.36059,5.09173,5.61231,8.54081,10.90139,0.00000
1.80000,2.47742,5.00005,5.58015,8.42047,10.89788,0.00000
1.92000,2.57430,4.91448,5.54790,8.32350,10.89780,0.00000
2.04000,2.65191,4.83502,5.51453,8.25213,10.90404,0.00000
2.16000,2.71053,4.76296,5.48021,8.19836,10.90889,0.00000
2.28000,2.74978,4.70054,5.44576,8.16108,10.91086,0.00000
2.40000,2.76803,4.65019,5.41167,8.14463,10.91266,0.00000
2.52000,2.76281,4.61329,5.37732,8.15110,10.91391,0.00000
2.64000,2.73223,4.58969,5.34138,8.18326,10.91549,0.00000
2.76000,2.67569,4.57819,5.30275,8.23600,10.91169,0.00000
2.88000,2.59466,4.57683,5.26114,8.29834,10.89301,0.00000
3.00000,2.49271,4.58330,5.21730,8.36247,10.85518,0.00000
3.12000,2.37480,4.59540,5.17275,8.42669,10.80149,0.00000
3.24000,2.24631,4.61079,5.12887,8.50012,10.74643,0.00000
3.36000,2.11184,4.62755,5.08666,8.59579,10.70764,0.00000
3.48000,1.97541,4.64461,5.04724,8.70523,10.68064,0.00000
3.60000,1.84042,4.66135,5.01152,8.82226,10.66267,0.00000
3.72000,1.70990,4.67782,4.98053,8.94198,10.65188,0.00000
3.84000,1.58714,4.69504,4.95605,9.05700,10.64414,0.00000
3.96000,1.47562,4.71430,4.93985,9.16512,10.64075,0.00000
4.08000,1.37864,4.73600,4.93258,9.26162,10.64027,0.00000
4.20000,1.29907,4.75942,4.93353,9.34067,10.63975,0.00000
4.32000,1.23952,4.78234,4.94036,9.40159,10.64112,0.00000
4.44000,1.20277,4.80121,4.94957,9.45330,10.65607,0.00000
4.56000,1.19177,4.81241,4.95778,9.48980,10.68157,0.00000
4.68000,1.20837,4.81304,4.96241,9.48434,10.69270,0.00000
4.80000,1.25218,4.80093,4.96154,9.44071,10.69289,0.00000
4.92000,1.32086,4.77450,4.95384,9.36522,10.68608,0.00000
5.04000,1.41102,4.73284,4.93870,9.26359,10.67461,0.00000
5.16000,1.51847,4.67631,4.91666,9.14210,10.66057,0.00000
5.28000,1.63834,4.60606,4.88875,9.00846,10.64680,0.00000
5.40000,1.76549,4.52352,4.85584,8.86971,10.63520,0.00000
5.52000,1.89488,4.43058,4.81877,8.73050,10.62538,0.00000
5.64000,2.02136,4.33034,4.77888,8.59412,10.61548,0.00000
5.76000,2.14012,4.22737,4.73822,8.46816,10.60828,0.00000
5.88000,2.24733,4.12671,4.69896,8.35409,10.60142,0.00000
6.00000,2.34083,4.03265,4.66280,8.25467,10.59550,0.00000
6.12000,2.42049,3.94772,4.63069,8.17427,10.59476,0.00000
