t,Fz,Fperp,Fmag,Lz,Jz,edge_frac
0.12000,0.35407,5.98845,5.99891,0.00262,0.35670,0.00000
0.24000,0.49601,5.97818,5.99872,0.02006,0.51606,0.00000
0.36000,0.06348,5.99821,5.99855,0.05503,0.11851,0.00000
0.48000,0.18383,5.99586,5.99868,0.09212,0.27596,0.00000
0.60000,0.54191,5.97403,5.99856,0.13664,0.67854,0.00000
0.72000,0.22228,5.99373,5.99785,0.19316,0.41545,0.00000
0.84000,0.06462,5.99745,5.99780,0.24843,0.31306,0.00000
0.96000,0.46888,5.98005,5.99840,0.30273,0.77161,0.00000
1.08000,0.39728,5.98446,5.99763,0.36340,0.76068,0.00000
1.20000,0.04978,5.99655,5.99675,0.42271,0.47250,0.00000
1.32000,0.31230,5.98967,5.99780,0.47757,0.78987,0.00000
1.44000,0.50271,5.97666,5.99777,0.53784,1.04055,0.00000
1.56000,0.14180,5.99455,5.99623,0.60455,0.74635,0.00000
1.68000,0.15144,5.99494,5.99686,0.67106,0.82250,0.00000
1.80000,0.49511,5.97736,5.99783,0.74315,1.23825,0.00000
1.92000,0.29301,5.98921,5.99637,0.83107,1.12408,0.00000
2.04000,0.06280,5.99573,5.99606,0.92960,0.99239,0.00000
2.16000,0.39032,5.98484,5.99755,1.03316,1.42348,0.00000
2.28000,0.43630,5.98098,5.99688,1.15286,1.58916,0.00000
2.40000,0.08192,5.99530,5.99586,1.29134,1.37326,0.00000
2.52000,0.23980,5.99233,5.99712,1.43425,1.67405,0.00000
2.64000,0.51397,5.97541,5.99747,1.58158,2.09555,0.00000
2.76000,0.19918,5.99317,5.99648,1.74332,1.94250,0.00000
2.88000,0.10346,5.99607,5.99696,1.90812,2.01159,0.00000
3.00000,0.48449,5.97820,5.99780,2.06457,2.54907,0.00000
3.12000,0.36300,5.98646,5.99745,2.22463,2.58763,0.00000
3.24000,0.04093,5.99716,5.99730,2.38884,2.42977,0.00000
3.36000,0.34985,5.98758,5.99780,2.54271,2.89256,0.00000
3.48000,0.49479,5.97772,5.99816,2.69500,3.18978,0.00000
3.60000,0.08712,5.99741,5.99804,2.85821,2.94533,0.00000
3.72000,0.17448,5.99529,5.99783,3.01876,3.19324,0.00000
3.84000,0.53104,5.97480,5.99835,3.17744,3.70849,0.00000
