t,Fz,Fperp,Fmag,Lz,Jz,edge_frac
0.12000,0.18311,5.99061,5.99341,10.90741,11.09052,0.00144
0.24000,0.17541,5.98434,5.98691,10.87419,11.04960,0.00099
0.36000,0.25137,5.97110,5.97639,10.76676,11.01813,0.00062
0.48000,0.39914,5.94822,5.96160,10.59372,10.99286,0.00042
0.60000,0.60161,5.91137,5.94191,10.37051,10.97212,0.00034
0.72000,0.83915,5.85674,5.91655,10.11429,10.95344,0.00032
0.84000,1.09242,5.78279,5.88507,9.84329,10.93571,0.00031
0.96000,1.34511,5.69107,5.84787,9.57432,10.91943,0.00031
1.08000,1.58573,5.58581,5.80653,9.31992,10.90564,0.00032
1.20000,1.80759,5.47275,5.76354,9.08587,10.89346,0.00039
1.32000,2.00776,5.35771,5.72155,8.87427,10.88203,0.00054
1.44000,2.18578,5.24525,5.68245,8.68269,10.86848,0.00072
1.56000,2.34260,5.13786,5.64672,8.51668,10.85928,0.00083
1.68000,2.47944,5.03604,5.61332,8.38394,10.86338,0.00081
1.80000,2.59694,4.93934,5.58043,8.27586,10.87280,0.00066
1.92000,2.69474,4.84821,5.54678,8.19732,10.89206,0.00049
2.04000,2.77229,4.76480,5.51261,8.13797,10.91026,0.00037
2.16000,2.82907,4.69232,5.47918,8.09712,10.92619,0.00032
2.28000,2.86374,4.63397,5.44744,8.07517,10.93891,0.00030
2.40000,2.87371,4.59202,5.41709,8.07629,10.95001,0.00031
2.52000,2.85590,4.56748,5.38684,8.10327,10.95918,0.00031
2.64000,2.80795,4.55984,5.35507,8.16027,10.96822,0.00033
2.76000,2.72971,4.56703,5.32063,8.24754,10.97726,0.00037
2.88000,2.62436,4.58553,5.28340,8.36134,10.98570,0.00042
3.00000,2.49789,4.61109,5.24420,8.49353,10.99141,0.00052
3.12000,2.35774,4.63929,5.20403,8.63214,10.98988,0.00076
3.24000,2.21094,4.66667,5.16392,8.76203,10.97297,0.00116
3.36000,2.06311,4.69152,5.12511,8.87674,10.93985,0.00148
3.48000,1.91832,4.71341,5.08883,8.98014,10.89846,0.00158
3.60000,1.78044,4.73310,5.05689,9.07487,10.85531,0.00141
3.72000,1.65418,4.75217,5.03184,9.16809,10.82227,0.00108
3.84000,1.54364,4.77228,5.01572,9.25392,10.79756,0.00075
3.96000,1.45229,4.79452,5.00965,9.32737,10.77966,0.00052
4.08000,1.38286,4.81804,5.01257,9.38450,10.76735,0.00042
4.20000,1.33655,4.84019,5.02134,9.42225,10.75880,0.00039
4.32000,1.31372,4.85753,5.03204,9.43948,10.75319,0.00038
4.44000,1.31508,4.86630,5.04087,9.43470,10.74979,0.00039
4.56000,1.34166,4.86350,5.04516,9.40546,10.74712,0.00044
4.68000,1.39352,4.84733,5.04366,9.35179,10.74532,0.00054
4.80000,1.46930,4.81671,5.03583,9.27240,10.74170,0.00074
4.92000,1.56647,4.77097,5.02155,9.16775,10.73423,0.00099
5.04000,1.68150,4.71006,5.00121,9.04757,10.72907,0.00115
5.16000,1.80999,4.63485,4.97573,8.92169,10.73168,0.00113
5.28000,1.94682,4.54666,4.94593,8.79708,10.74390,0.00094
5.40000,2.08614,4.44716,4.91215,8.67319,10.75932,0.00069
5.52000,2.22193,4.33918,4.87498,8.55181,10.77373,0.00050
5.64000,2.34861,4.22696,4.83561,8.43594,10.78456,0.00042
5.76000,2.46163,4.11619,4.79610,8.32977,10.79139,0.00042
5.88000,2.55783,4.01269,4.75859,8.23853,10.79636,0.00046
6.00000,2.63609,3.92049,4.72432,8.16321,10.79930,0.00050
6.12000,2.69696,3.84164,4.69380,8.10410,10.80106,0.00056
6.24000,2.74147,3.77706,4.66710,8.05831,10.79979,0.00063
6.36000,2.77018,3.72717,4.64388,8.02780,10.79797,0.00066
6.48000,2.78277,3.69200,4.62328,8.01183,10.79461,0.00068
6.60000,2.77833,3.67187,4.60454,8.00938,10.78772,0.00085
6.72000,2.75641,3.66718,4.58759,8.01642,10.77283,0.00130
6.84000,2.71734,3.67733,4.57239,8.02567,10.74301,0.00186
6.96000,2.66257,3.70049,4.55882,8.03876,10.70132,0.00213
7.08000,2.59525,3.73349,4.54690,8.06610,10.66134,0.00197
7.20000,2.51918,3.77282,4.53657,8.11403,10.63321,0.00150
7.32000,2.43753,3.81504,4.52726,8.17814,10.61566,0.00100
7.44000,2.35317,3.85726,4.51839,8.25338,10.60655,0.00070
7.56000,2.26937,3.89833,4.51077,8.33344,10.60281,0.00055
7.68000,2.18899,3.93842,4.50587,8.41305,10.60205,0.00051
7.80000,2.11349,3.97847,4.50501,8.48983,10.60332,0.00054
7.92000,2.04349,4.01950,4.50912,8.56217,10.60566,0.00061
8.04000,1.97908,4.06175,4.51825,8.62814,10.60722,0.00071
8.16000,1.91988,4.10453,4.53135,8.68762,10.60749,0.00083
8.28000,1.86547,4.14640,4.54671,8.74130,10.60677,0.00097
8.40000,1.81544,4.18530,4.56208,8.78937,10.60481,0.00113
8.52000,1.76934,4.21920,4.57518,8.83524,10.60458,0.00124
8.64000,1.72747,4.24681,4.58471,8.88067,10.60814,0.00122
8.76000,1.69239,4.26694,4.59031,8.92034,10.61273,0.00112
8.88000,1.66818,4.27756,4.59134,8.94767,10.61586,0.00096
9.00000,1.66035,4.27587,4.58692,8.95851,10.61886,0.00082
9.12000,1.67502,4.26016,4.57763,8.94567,10.62070,0.00071
9.24000,1.71506,4.23058,4.56500,8.90695,10.62201,0.00066
9.36000,1.77672,4.18902,4.55024,8.84442,10.62114,0.00066
9.48000,1.85207,4.13899,4.53447,8.76648,10.61856,0.00071
9.60000,1.93339,4.08405,4.51857,8.68239,10.61578,0.00078
9.72000,2.01503,4.02636,4.50243,8.59467,10.60971,0.00094
9.84000,2.09399,3.96718,4.48590,8.50101,10.59500,0.00127
9.96000,2.16768,3.90717,4.46820,8.40255,10.57023,0.00174
10.08000,2.23379,3.84674,4.44828,8.29969,10.53347,0.00218
10.20000,2.29103,3.78562,4.42490,8.20579,10.49682,0.00236
10.32000,2.33915,3.72337,4.39717,8.12684,10.46599,0.00218
10.44000,2.37896,3.66000,4.36521,8.06794,10.44690,0.00180
10.56000,2.41166,3.59664,4.33035,8.01888,10.43054,0.00136
10.68000,2.43907,3.53523,4.29499,7.98565,10.42471,0.00100
10.80000,2.46206,3.47787,4.26114,7.96362,10.42568,0.00080
10.92000,2.48053,3.42579,4.22955,7.95007,10.43061,0.00073
11.04000,2.49399,3.37954,4.20016,7.94370,10.43769,0.00072
11.16000,2.50138,3.34058,4.17330,7.94346,10.44485,0.00074
11.28000,2.50232,3.30983,4.14929,7.94757,10.44989,0.00086
11.40000,2.49715,3.28706,4.12801,7.95014,10.44729,0.00114
11.52000,2.48644,3.27157,4.10921,7.94606,10.43250,0.00156
11.64000,2.47119,3.26191,4.09229,7.93233,10.40353,0.00197
11.76000,2.45196,3.25604,4.07601,7.91688,10.36884,0.00221
11.88000,2.42867,3.25240,4.05913,7.90925,10.33791,0.00222
12.00000,2.40128,3.25008,4.04093,7.91583,10.31711,0.00201
12.12000,2.37014,3.24892,4.02157,7.93662,10.30675,0.00168
12.24000,2.33553,3.24914,4.00145,7.96739,10.30292,0.00135
12.36000,2.29677,3.25055,3.98010,8.00466,10.30143,0.00113
12.48000,2.25196,3.25245,3.95598,8.04736,10.29931,0.00101
12.60000,2.19927,3.25375,3.92730,8.09780,10.29707,0.00097
12.72000,2.13853,3.25375,3.89361,8.15425,10.29278,0.00098
12.84000,2.07203,3.25310,3.85694,8.21574,10.28778,0.00107
12.96000,2.00699,3.25299,3.82230,8.27315,10.28014,0.00130
13.08000,1.95223,3.25309,3.79391,8.31674,10.26897,0.00169
13.20000,1.91376,3.25185,3.77320,8.33617,10.24993,0.00222
13.32000,1.89376,3.24751,3.75934,8.32687,10.22063,0.00268
13.44000,1.89159,3.23779,3.74986,8.29871,10.19030,0.00293
13.56000,1.90544,3.22046,3.74193,8.26098,10.16642,0.00290
13.68000,1.93251,3.19452,3.73357,8.21665,10.14916,0.00262
13.80000,1.96963,3.16061,3.72410,8.16787,10.13750,0.00220
13.92000,2.01391,3.11935,3.71298,8.11867,10.13258,0.00174
14.04000,2.06235,3.07102,3.69925,8.06755,10.12990,0.00136
14.16000,2.11207,3.01631,3.68225,8.01983,10.13190,0.00116
14.28000,2.16075,2.95744,3.66269,7.97502,10.13577,0.00112
14.40000,2.20640,2.89767,3.64208,7.93432,10.14073,0.00121
14.52000,2.24790,2.83991,3.62190,7.89609,10.14399,0.00145
14.64000,2.28509,2.78600,3.60326,7.85558,10.14068,0.00179
14.76000,2.31789,2.73694,3.58656,7.81236,10.13025,0.00214
14.88000,2.34656,2.69292,3.57186,7.77174,10.11831,0.00241
15.00000,2.37150,2.65342,3.55875,7.73492,10.10642,0.00246
15.12000,2.39278,2.61754,3.54639,7.70236,10.09514,0.00233
15.24000,2.40973,2.58382,3.53311,7.67558,10.08531,0.00207
15.36000,2.42167,2.55161,3.51784,7.65513,10.07680,0.00174
15.48000,2.42794,2.52137,3.50032,7.64055,10.06849,0.00147
15.60000,2.42716,2.49390,3.48003,7.63250,10.05966,0.00129
15.72000,2.41766,2.46893,3.45553,7.63464,10.05230,0.00121
15.84000,2.39951,2.44606,3.42650,7.64481,10.04432,0.00123
15.96000,2.37378,2.42660,3.39459,7.65880,10.03258,0.00133
16.08000,2.34231,2.41242,3.36247,7.67547,10.01778,0.00155
16.20000,2.30746,2.40353,3.33186,7.69448,10.00194,0.00188
16.32000,2.27094,2.39889,3.30331,7.71215,9.98308,0.00222
16.44000,2.23358,2.39770,3.27687,7.72743,9.96101,0.00250
16.56000,2.19590,2.39995,3.25296,7.74390,9.93981,0.00263
16.68000,2.15848,2.40521,3.23173,7.76269,9.92117,0.00264
16.80000,2.12196,2.41205,3.21258,7.78182,9.90378,0.00248
16.92000,2.08645,2.41810,3.19382,7.79941,9.88586,0.00214
17.04000,2.05176,2.42072,3.17327,7.82179,9.87355,0.00182
17.16000,2.01765,2.41823,3.14940,7.84602,9.86367,0.00162
17.28000,1.98449,2.40957,3.12157,7.87297,9.85746,0.00152
17.40000,1.95271,2.39363,3.08910,7.89783,9.85054,0.00151
17.52000,1.92242,2.37012,3.05175,7.91689,9.83931,0.00159
17.64000,1.89424,2.34009,3.01067,7.92605,9.82029,0.00183
17.76000,1.86815,2.30564,2.96748,7.91753,9.78568,0.00221
17.88000,1.84430,2.27007,2.92483,7.89193,9.73622,0.00252
18.00000,1.82314,2.23574,2.88486,7.85840,9.68154,0.00270
18.12000,1.80582,2.20362,2.84903,7.82523,9.63105,0.00270
18.24000,1.79422,2.17291,2.81794,7.79767,9.59189,0.00261
18.36000,1.79055,2.14199,2.79181,7.77072,9.56127,0.00243
18.48000,1.79639,2.10990,2.77104,7.74218,9.53857,0.00214
18.60000,1.81149,2.07555,2.75489,7.71299,9.52448,0.00187
18.72000,1.83471,2.03797,2.74216,7.68028,9.51499,0.00170
18.84000,1.86500,1.99636,2.73198,7.64072,9.50572,0.00159
18.96000,1.90036,1.95030,2.72306,7.59486,9.49522,0.00155
19.08000,1.93817,1.90100,2.71483,7.54369,9.48186,0.00162
19.20000,1.97611,1.85008,2.70699,7.48710,9.46321,0.00181
19.32000,2.01333,1.79961,2.70039,7.42903,9.44236,0.00211
19.44000,2.04967,1.75048,2.69543,7.36899,9.41866,0.00247
19.56000,2.08471,1.70310,2.69195,7.30972,9.39443,0.00276
19.68000,2.11766,1.65858,2.68987,7.25638,9.37404,0.00290
19.80000,2.14794,1.61848,2.68944,7.20944,9.35738,0.00290
19.92000,2.17589,1.58231,2.69039,7.17068,9.34657,0.00272
20.04000,2.20113,1.54873,2.69138,7.14103,9.34217,0.00236
20.16000,2.22272,1.51642,2.69072,7.11919,9.34191,0.00198
20.28000,2.24023,1.48451,2.68745,7.10050,9.34073,0.00173
20.40000,2.25387,1.45316,2.68172,7.08829,9.34216,0.00169
20.52000,2.26315,1.42281,2.67324,7.07972,9.34287,0.00179
20.64000,2.26778,1.39315,2.66152,7.07253,9.34030,0.00193
20.76000,2.26941,1.36439,2.64797,7.06299,9.33240,0.00212
20.88000,2.26839,1.33779,2.63349,7.04812,9.31651,0.00236
21.00000,2.26410,1.31402,2.61778,7.02955,9.29365,0.00253
21.12000,2.25551,1.29455,2.60061,7.00552,9.26102,0.00267
21.24000,2.24344,1.28162,2.58371,6.98073,9.22417,0.00267
21.36000,2.22986,1.27654,2.56940,6.96249,9.19234,0.00255
21.48000,2.21619,1.27748,2.55801,6.95295,9.16914,0.00234
21.60000,2.20280,1.28041,2.54790,6.95188,9.15468,0.00209
21.72000,2.18940,1.28193,2.53709,6.95764,9.14703,0.00187
21.84000,2.17565,1.28006,2.52428,6.96700,9.14265,0.00176
21.96000,2.16116,1.27330,2.50837,6.97922,9.14038,0.00173
22.08000,2.14616,1.26040,2.48890,6.99101,9.13716,0.00175
22.20000,2.13098,1.24052,2.46576,7.00002,9.13100,0.00183
22.32000,2.11527,1.21471,2.43924,7.00263,9.11790,0.00197
22.44000,2.09791,1.18557,2.40973,7.00001,9.09792,0.00217
22.56000,2.07926,1.15624,2.37912,6.99243,9.07169,0.00246
22.68000,2.06209,1.12760,2.35025,6.97551,9.03759,0.00275
22.80000,2.04960,1.09904,2.32567,6.95302,9.00262,0.00292
22.92000,2.04309,1.06999,2.30632,6.92829,8.97138,0.00292
23.04000,2.04191,1.04019,2.29159,6.90552,8.94743,0.00278
23.16000,2.04500,1.00939,2.28055,6.89116,8.93616,0.00251
23.28000,2.05118,0.97727,2.27209,6.88141,8.93258,0.00220
23.40000,2.05854,0.94398,2.26466,6.87373,8.93227,0.00190
23.52000,2.06625,0.90918,2.25743,6.86728,8.93353,0.00174
23.64000,2.07397,0.87225,2.24992,6.85943,8.93340,0.00173
