t,Fz,Fperp,Fmag,Lz,Jz,edge_frac
0.12000,0.35462,5.98848,5.99897,0.00290,0.35753,0.00000
0.24000,0.49995,5.97789,5.99876,0.02103,0.52099,0.00000
0.36000,0.06625,5.99819,5.99856,0.05753,0.12379,0.00000
0.48000,0.17967,5.99602,5.99871,0.09630,0.27597,0.00000
0.60000,0.54356,5.97393,5.99861,0.14263,0.68620,0.00000
0.72000,0.23114,5.99336,5.99782,0.20154,0.43268,0.00000
0.84000,0.06053,5.99743,5.99773,0.25936,0.31989,0.00000
0.96000,0.46305,5.98053,5.99843,0.31591,0.77896,0.00000
1.08000,0.40992,5.98360,5.99762,0.37896,0.78889,0.00000
1.20000,0.05348,5.99643,5.99667,0.44097,0.49445,0.00000
1.32000,0.29879,5.99034,5.99778,0.49819,0.79699,0.00000
1.44000,0.51108,5.97599,5.99781,0.56056,1.07164,0.00000
1.56000,0.15761,5.99417,5.99625,0.62994,0.78755,0.00000
1.68000,0.13717,5.99527,5.99684,0.69936,0.83652,0.00000
1.80000,0.49026,5.97779,5.99786,0.77379,1.26405,0.00000
1.92000,0.31614,5.98815,5.99649,0.86442,1.18056,0.00000
2.04000,0.05824,5.99582,5.99610,0.96675,1.02499,0.00000
2.16000,0.37062,5.98609,5.99755,1.07407,1.44469,0.00000
2.28000,0.45459,5.97976,5.99701,1.19743,1.65202,0.00000
2.40000,0.09340,5.99522,5.99595,1.34113,1.43454,0.00000
2.52000,0.21399,5.99326,5.99708,1.49040,1.70438,0.00000
2.64000,0.51646,5.97528,5.99755,1.64359,2.16004,0.00000
2.76000,0.22500,5.99233,5.99655,1.81184,2.03685,0.00000
2.88000,0.08622,5.99624,5.99686,1.98437,2.07059,0.00000
3.00000,0.46767,5.97952,5.99778,2.14762,2.61529,0.00000
3.12000,0.39419,5.98453,5.99750,2.31379,2.70798,0.00000
3.24000,0.04556,5.99705,5.99722,2.48521,2.53077,0.00000
3.36000,0.31787,5.98927,5.99770,2.64619,2.96406,0.00000
3.48000,0.51591,5.97595,5.99817,2.80439,3.32030,0.00000
3.60000,0.11881,5.99690,5.99808,2.97425,3.09307,0.00000
3.72000,0.14021,5.99612,5.99776,3.14227,3.28248,0.00000
3.84000,0.52573,5.97521,5.99829,3.30603,3.83176,0.00000
3.96000,0.26863,5.99271,5.99872,3.48810,3.75673,0.00000
4.08000,0.02670,5.99792,5.99798,3.68104,3.70774,0.00000
4.20000,0.42906,5.98269,5.99805,3.86984,4.29890,0.00000
4.32000,0.42404,5.98374,5.99875,4.07756,4.50160,0.00000
