param,peak_Lz,peak_Fz,meanabs_Lz
3e-06,0.30214,0.75819,0.14787
9.7931e-06,0.67847,2.20594,0.41314
1.65862e-05,0.94981,3.20173,0.53617
2.33793e-05,1.19327,3.77350,0.62071
3.01724e-05,1.36402,4.00971,0.69589
3.69655e-05,1.33250,4.03399,0.81728
4.37586e-05,1.08341,3.89836,0.78968
5.05517e-05,0.92968,3.72191,0.60454
5.73448e-05,0.95434,3.61110,0.63885
6.41379e-05,1.01695,3.52704,0.68160
7.0931e-05,1.21646,3.42391,0.89320
7.77241e-05,1.62863,3.36503,1.14392
8.45172e-05,2.10580,3.24087,1.40441
9.13103e-05,2.34169,3.18478,1.51058
9.81034e-05,2.42628,3.08589,1.50874
0.000104897,2.35023,2.95496,1.45027
0.00011169,2.40627,2.89725,1.55838
0.000118483,2.25621,2.81092,1.43161
0.000125276,1.96420,2.69868,1.19048
0.000132069,1.75500,2.57804,0.96751
0.000138862,1.42638,2.52667,0.71982
0.000145655,0.98125,2.45866,0.45576
0.000152448,0.68586,2.49940,0.29289
0.000159241,0.81826,2.78873,0.37367
0.000166034,0.98454,2.83320,0.51538
0.000172828,1.17371,2.73975,0.55999
0.000179621,1.40881,2.43877,0.56316
0.000186414,1.56304,2.25415,0.53394
0.000193207,1.63212,2.08726,0.55874
0.0002,1.65084,1.90026,0.59616
