param,peak_Lz,peak_Fz,meanabs_Lz
0,0.00000,0.00000,0.00000
0.025,0.17932,0.74420,0.06474
0.05,0.31928,1.19613,0.10270
0.075,0.44287,1.62446,0.15245
0.1,0.62459,1.99528,0.21300
0.125,0.73287,2.29767,0.28513
0.15,0.82971,2.49010,0.37023
0.175,0.96955,2.58937,0.46808
0.2,1.14127,2.77137,0.58084
0.225,1.35596,2.97609,0.68166
0.25,1.44249,3.16698,0.73878
0.275,1.50277,3.34085,0.78495
0.3,1.55341,3.47580,0.81363
0.325,1.50061,3.59358,0.80910
0.35,1.34287,3.66838,0.77256
0.375,1.25044,3.71209,0.71544
0.4,1.20260,3.73050,0.66856
0.425,1.16458,3.72549,0.64172
0.45,1.14024,3.70354,0.62565
0.475,1.13082,3.67721,0.60593
0.5,1.12611,3.63319,0.57823
0.525,1.11442,3.59767,0.55532
0.55,1.10474,3.55132,0.53784
0.575,1.09366,3.50596,0.52034
0.6,1.08395,3.46200,0.50287
0.625,1.07303,3.41338,0.50190
0.65,1.05792,3.37231,0.51107
0.675,1.03814,3.32533,0.52099
0.7,1.01725,3.28418,0.52911
0.725,0.99244,3.24260,0.52273
0.75,0.96951,3.19555,0.51849
0.775,0.94797,3.16208,0.52280
0.8,0.92568,3.11898,0.53863
0.825,0.91045,3.07742,0.55160
0.85,0.95399,3.04576,0.57063
0.875,0.97395,3.00647,0.57527
0.9,0.95881,2.95988,0.57428
0.925,0.90775,2.93363,0.56897
0.95,0.86858,2.90152,0.55653
0.975,0.89461,2.86359,0.54152
1,0.87782,2.82010,0.52371
