t,Fx,Fy,Fz,Fmag,Lz
0.30000,-0.00000,0.00000,5.83655,5.83655,0.16345
0.60000,0.00000,0.00000,5.80849,5.80849,0.19151
0.90000,0.00000,0.00000,5.75609,5.75609,0.24391
1.20000,0.00000,0.00000,5.67485,5.67485,0.32514
1.50000,-0.00000,0.00000,5.55898,5.55898,0.44102
1.80000,-0.00000,0.00000,5.40084,5.40084,0.59916
2.10000,-0.00000,0.00000,5.19526,5.19526,0.80473
2.40000,-0.00000,0.00000,4.94662,4.94662,1.05338
2.70000,-0.00000,0.00000,4.67139,4.67139,1.32860
3.00000,-0.00000,0.00000,4.38905,4.38905,1.61094
3.30000,-0.00000,0.00000,4.11056,4.11056,1.88944
3.60000,-0.00000,0.00000,3.83963,3.83963,2.16037
3.90000,-0.00000,0.00000,3.58059,3.58059,2.41940
4.20000,-0.00000,0.00000,3.33887,3.33887,2.66111
4.50000,-0.00000,-0.00000,3.11675,3.11675,2.88319
4.80000,-0.00000,-0.00000,2.91345,2.91345,3.08634
5.10000,-0.00000,-0.00000,2.72655,2.72655,3.27272
5.40000,-0.00000,-0.00000,2.55093,2.55093,3.44764
5.70000,-0.00000,-0.00000,2.38503,2.38503,3.61229
6.00000,-0.00000,-0.00000,2.22870,2.22870,3.76467
6.30000,-0.00000,-0.00000,2.07745,2.07745,3.91237
6.60000,-0.00000,-0.00000,1.92540,1.92540,4.06301
6.90000,-0.00000,-0.00000,1.76518,1.76518,4.22324
7.20000,-0.00000,-0.00000,1.60605,1.60605,4.38192
7.50000,-0.00000,-0.00000,1.46488,1.46488,4.52222
7.80000,-0.00000,-0.00000,1.36701,1.36701,4.61866
8.10000,-0.00000,-0.00000,1.31974,1.31974,4.66490
8.40000,-0.00000,-0.00000,1.29423,1.29423,4.68945
8.70000,-0.00000,-0.00000,1.26802,1.26802,4.71426
9.00000,-0.00000,-0.00000,1.24957,1.24957,4.73122
9.30000,-0.00000,-0.00000,1.25683,1.25683,4.72178
9.60000,-0.00000,-0.00000,1.28751,1.28751,4.68799
9.90000,-0.00000,-0.00000,1.30773,1.30773,4.66574
10.20000,-0.00000,-0.00000,1.34609,1.34609,4.62607
10.50000,0.00000,-0.00000,1.40157,1.40157,4.56824
10.80000,0.00000,-0.00000,1.42261,1.42261,4.54586
11.10000,0.00000,-0.00000,1.42013,1.42013,4.54626
11.40000,0.00000,-0.00000,1.44024,1.44024,4.52376
11.70000,0.00000,-0.00000,1.47682,1.47682,4.48560
12.00000,0.00000,-0.00000,1.48562,1.48562,4.47432
12.30000,0.00000,-0.00000,1.49159,1.49159,4.46492
12.60000,0.00000,-0.00000,1.51154,1.51154,4.44067
12.90000,0.00000,-0.00000,1.51510,1.51510,4.43408
13.20000,0.00000,-0.00000,1.52893,1.52893,4.41849
13.50000,0.00001,-0.00000,1.56671,1.56671,4.37731
13.80000,0.00001,-0.00000,1.59806,1.59806,4.34158
14.10000,0.00001,-0.00000,1.62524,1.62524,4.31122
14.40000,0.00001,-0.00000,1.65940,1.65940,4.27441
14.70000,0.00001,0.00000,1.70775,1.70775,4.22071
15.00000,0.00001,0.00000,1.74243,1.74243,4.18183
15.30000,0.00001,0.00000,1.76946,1.76946,4.15212
15.60000,0.00000,0.00000,1.79650,1.79650,4.11996
15.90000,-0.00000,0.00000,1.82239,1.82239,4.09183
16.20000,-0.00000,-0.00000,1.84391,1.84391,4.06717
16.50000,-0.00000,-0.00001,1.87846,1.87846,4.03007
16.80000,0.00000,-0.00001,1.93080,1.93080,3.97570
17.10000,0.00001,-0.00000,1.98553,1.98553,3.91880
17.40000,0.00001,-0.00000,2.02334,2.02334,3.87971
17.70000,0.00001,0.00000,2.05573,2.05573,3.84672
18.00000,0.00001,-0.00000,2.07992,2.07992,3.81971
18.30000,0.00001,0.00000,2.09172,2.09172,3.80583
18.60000,0.00001,0.00000,2.08279,2.08279,3.81207
18.90000,0.00001,0.00001,2.07147,2.07147,3.82054
19.20000,0.00001,0.00001,2.06109,2.06109,3.82761
19.50000,0.00000,0.00001,2.04590,2.04590,3.83979
19.80000,-0.00000,0.00002,2.04105,2.04105,3.84151
20.10000,-0.00001,0.00002,2.03721,2.03721,3.84232
20.40000,-0.00001,0.00002,2.02414,2.02414,3.85076
20.70000,-0.00001,0.00001,2.00832,2.00832,3.86499
21.00000,-0.00001,0.00001,2.00572,2.00572,3.86419
21.30000,-0.00001,0.00000,2.01370,2.01370,3.85352
21.60000,-0.00001,0.00000,2.02520,2.02520,3.83824
21.90000,-0.00001,0.00000,2.04597,2.04597,3.81492
22.20000,-0.00002,0.00000,2.06222,2.06222,3.79609
22.50000,-0.00002,-0.00000,2.07050,2.07050,3.78552
22.80000,-0.00002,-0.00000,2.08023,2.08023,3.77287
23.10000,-0.00002,-0.00001,2.08957,2.08957,3.76041
23.40000,-0.00001,-0.00001,2.07910,2.07910,3.76997
23.70000,-0.00000,-0.00001,2.05303,2.05303,3.79606
24.00000,0.00001,-0.00001,2.03233,2.03233,3.81430
24.30000,0.00001,-0.00001,2.01386,2.01386,3.82936
24.60000,0.00002,-0.00001,1.98767,1.98767,3.85295
24.90000,0.00002,-0.00001,1.94351,1.94351,3.89466
25.20000,0.00002,-0.00001,1.89920,1.89920,3.93751
25.50000,0.00002,-0.00001,1.86524,1.86524,3.96777
25.80000,0.00002,-0.00001,1.83553,1.83553,3.99080
