t,Fx,Fy,Fz,Fmag,Lz
0.15000,-0.04491,-2.62042,5.21508,5.83658,0.16326
0.30000,0.12589,-4.06394,4.15356,5.81236,0.18618
0.45000,0.56129,-4.05423,4.06576,5.76908,0.22731
0.60000,0.63494,-2.62932,5.03209,5.71301,0.28273
0.75000,0.19469,-0.05495,5.67912,5.68272,0.31369
0.90000,-0.36724,2.53477,5.08466,5.69330,0.30161
1.05000,-0.98037,3.88827,4.06340,5.70885,0.28359
1.20000,-1.45305,3.75245,4.03868,5.70116,0.29089
1.35000,-1.14546,2.35177,5.04363,5.68165,0.30544
1.50000,-0.05338,-0.01035,5.67209,5.67235,0.30805
1.65000,1.08450,-2.32760,5.05430,5.66920,0.32074
1.80000,1.90833,-3.43384,4.05145,5.64334,0.36999
1.95000,2.24571,-3.13158,4.02678,5.57359,0.45791
2.10000,1.56892,-1.77281,4.93684,5.47511,0.55601
2.25000,-0.05814,0.22185,5.40547,5.41034,0.61496
2.40000,-1.68894,1.97441,4.72902,5.39578,0.63506
2.55000,-2.67488,2.63216,3.87047,5.39108,0.65221
2.70000,-2.76404,2.24607,4.02115,5.37163,0.68278
2.85000,-1.63805,1.23628,4.92176,5.33247,0.72432
3.00000,0.36505,-0.18336,5.27956,5.29534,0.75926
3.15000,2.19449,-1.47322,4.57043,5.27968,0.78908
3.30000,3.17479,-1.90502,3.71684,5.24627,0.85202
3.45000,3.09090,-1.49557,3.83338,5.14638,0.94827
3.60000,1.72811,-0.77107,4.63941,5.01050,1.05581
3.75000,-0.45159,0.05106,4.88951,4.91059,1.16016
3.90000,-2.29792,0.73428,4.21500,4.85652,1.23443
4.05000,-3.15200,0.89125,3.55008,4.83037,1.26692
4.20000,-2.91651,0.66593,3.77214,4.81441,1.28774
4.35000,-1.53423,0.43397,4.51574,4.78896,1.31476
4.50000,0.56841,0.16502,4.71298,4.75000,1.35269
4.65000,2.37354,-0.10719,4.07208,4.71455,1.39755
4.80000,3.19388,-0.10112,3.42733,4.68590,1.47086
4.95000,2.91960,0.07380,3.60000,4.63568,1.58221
5.10000,1.55837,0.04322,4.28782,4.56243,1.68950
5.25000,-0.47833,-0.15370,4.47471,4.50282,1.75353
5.40000,-2.20548,-0.33058,3.85935,4.45735,1.79624
5.55000,-2.91484,-0.55991,3.25907,4.40810,1.85560
5.70000,-2.56350,-0.65327,3.45713,4.35317,1.92723
5.85000,-1.28556,-0.27396,4.10611,4.31136,1.97852
6.00000,0.53276,0.36940,4.23246,4.28182,2.00669
6.15000,2.02949,0.88082,3.64530,4.26414,2.01950
6.30000,2.60202,1.19133,3.12682,4.23872,2.06340
6.45000,2.24414,1.16668,3.32892,4.18079,2.16000
6.60000,1.11060,0.54468,3.91044,4.10142,2.26396
6.75000,-0.44250,-0.43480,3.99905,4.04688,2.31803
6.90000,-1.68974,-1.23345,3.44498,4.03045,2.32461
7.05000,-2.12412,-1.63671,3.00151,4.02490,2.33054
7.20000,-1.79903,-1.49947,3.23783,3.99606,2.38098
7.35000,-0.88815,-0.66497,3.77136,3.93118,2.47285
7.50000,0.34446,0.53262,3.81616,3.86851,2.53806
7.65000,1.32149,1.49236,3.29590,3.85181,2.53193
7.80000,1.64314,1.92711,2.91451,3.86109,2.49905
7.95000,1.40191,1.70098,3.15848,3.85158,2.50950
