t,Fx,Fy,Fz,Fmag,Lz
0.15000,1.36602,-3.13764,4.73144,5.83929,0.16042
0.30000,4.09586,-3.72741,1.83011,5.83257,0.16334
0.45000,5.31661,-1.67012,-1.74341,5.83910,0.14666
0.60000,3.50404,0.42926,-4.66308,5.84867,0.12574
0.75000,0.23830,-0.07991,-5.83974,5.84515,0.11319
0.90000,-1.39596,-3.00299,-4.80005,5.83156,0.09445
1.05000,-0.11170,-5.49743,-1.91369,5.82207,0.05565
1.20000,2.27602,-5.08269,1.69897,5.82242,0.02149
1.35000,2.76639,-2.18586,4.64477,5.83136,0.01265
1.50000,0.23126,0.30124,5.83962,5.85195,-0.00448
1.65000,-3.35627,-0.03865,4.81827,5.87212,-0.02238
1.80000,-4.87491,-2.62704,1.93564,5.86625,-0.00936
1.95000,-3.33566,-4.50388,-1.67863,5.85059,0.00498
2.10000,-0.85638,-3.45914,-4.64198,5.85209,0.00992
2.25000,-0.34207,-0.25556,-5.84182,5.85741,0.01517
2.40000,-2.51069,2.19053,-4.80897,5.85048,0.00824
2.55000,-5.20820,1.78433,-1.95389,5.84182,0.00316
2.70000,-5.57605,-0.60153,1.64463,5.84457,-0.00506
2.85000,-2.99842,-1.97749,4.61708,5.84966,-0.00863
3.00000,0.14426,-0.37245,5.81673,5.83043,0.01529
3.15000,0.98741,3.07994,4.80070,5.78859,0.05677
3.30000,-0.88704,5.33470,1.95492,5.75044,0.11256
3.45000,-3.13440,4.51886,-1.59079,5.72495,0.13650
3.60000,-3.03789,1.83419,-4.48700,5.72068,0.11499
3.75000,-0.26039,0.28096,-5.71572,5.72854,0.11082
3.90000,2.73509,1.53596,-4.78538,5.72186,0.10435
4.05000,3.23018,4.21410,-2.06048,5.69546,0.10630
4.20000,1.16947,5.37413,1.38050,5.67052,0.15364
4.35000,-0.87858,3.55565,4.30272,5.65048,0.18829
4.50000,-0.42681,0.21976,5.60646,5.62698,0.20342
4.65000,2.43151,-1.72213,4.75856,5.61443,0.22573
4.80000,5.15009,-0.83700,2.08045,5.61714,0.25352
4.95000,5.23004,1.48270,-1.36762,5.60554,0.25957
5.10000,2.77432,2.34507,-4.26652,5.60351,0.23598
5.25000,0.43131,0.33997,-5.59461,5.62150,0.24052
5.40000,0.58869,-2.86788,-4.80571,5.62727,0.24032
5.55000,2.89176,-4.30070,-2.15561,5.61293,0.20791
5.70000,4.67903,-2.79196,1.28493,5.59816,0.20076
5.85000,3.68655,-0.18303,4.21835,5.60523,0.21164
6.00000,0.37554,0.57314,5.56601,5.60803,0.21762
6.15000,-2.42898,-1.53059,4.78886,5.58353,0.24216
6.30000,-2.42881,-4.48938,2.19607,5.55665,0.26498
6.45000,-0.25980,-5.41594,-1.19932,5.55322,0.25999
6.60000,1.27778,-3.48725,-4.14830,5.56794,0.26002
6.75000,0.16711,-0.69180,-5.52474,5.57039,0.25736
6.90000,-2.79143,0.22381,-4.79573,5.55349,0.24355
7.05000,-4.83823,-1.44242,-2.27912,5.53926,0.25017
7.20000,-4.06336,-3.60964,1.07858,5.54110,0.26977
7.35000,-1.38644,-3.53795,4.04628,5.55083,0.27580
7.50000,0.36407,-0.70181,5.49617,5.55274,0.27003
7.65000,-0.61973,2.64778,4.83284,5.54537,0.28365
7.80000,-3.32805,3.76621,2.32288,5.53679,0.30176
7.95000,-5.00251,2.14215,-1.00909,5.53464,0.26347
8.10000,-3.89465,-0.01908,-3.94568,5.54409,0.19831
8.25000,-1.00444,-0.04858,-5.45892,5.55077,0.17587
8.40000,0.86541,2.38583,-4.90997,5.52711,0.14760
8.55000,0.01564,4.89109,-2.50990,5.49751,0.12734
8.70000,-2.29580,4.93102,0.77310,5.49393,0.16062
8.85000,-3.18427,2.44168,3.76748,5.50411,0.19375
9.00000,-1.16845,-0.16744,5.38395,5.51183,0.19222
9.15000,2.36642,-0.42747,4.95998,5.51218,0.19256
9.30000,4.50398,1.76798,2.61389,5.49946,0.22694
9.45000,3.67704,4.00350,-0.71991,5.48334,0.25718
9.60000,1.31680,3.77985,-3.75555,5.48866,0.26009
9.75000,0.32356,1.12423,-5.37971,5.50544,0.27030
9.90000,1.94978,-1.44748,-4.93670,5.50162,0.26250
10.05000,4.56073,-1.56199,-2.61487,5.48431,0.25738
10.20000,5.41581,0.54441,0.63125,5.47958,0.31242
10.35000,3.41177,2.26029,3.64889,5.48302,0.35435
10.50000,0.26640,1.25377,5.32894,5.48092,0.35060
10.65000,-1.13033,-2.01004,4.96092,5.47071,0.36047
10.80000,0.27542,-4.73914,2.68514,5.45392,0.38232
10.95000,2.66356,-4.71097,-0.57381,5.44215,0.37104
11.10000,3.25203,-2.47921,-3.59594,5.44545,0.33983
11.25000,1.12652,-0.68339,-5.28825,5.44992,0.33485
11.40000,-1.84034,-1.33020,-4.94115,5.43794,0.31334
11.55000,-2.84295,-3.75031,-2.69336,5.42231,0.28626
11.70000,-1.14327,-5.27778,0.48927,5.42231,0.34267
11.85000,1.09576,-4.00931,3.49310,5.42927,0.39397
