t,Fx,Fy,Fz,Fmag,Lz
0.00000,5.98381,0.00018,-0.01945,5.98384,-0.00001
0.20000,5.94102,0.00146,-0.07722,5.94152,-0.00019
0.45000,5.86852,0.00512,-0.17159,5.87103,-0.00100
0.70000,5.76290,0.01264,-0.29948,5.77069,-0.00332
0.95000,5.62102,0.02564,-0.45631,5.63957,-0.00860
1.20000,5.44128,0.04552,-0.63593,5.47850,-0.01890
1.45000,5.22491,0.07296,-0.83099,5.29108,-0.03663
1.70000,4.97702,0.10754,-1.03398,5.08443,-0.06391
1.95000,4.70628,0.14774,-1.23864,4.86879,-0.10151
2.20000,4.42279,0.19131,-1.44115,4.65560,-0.14810
2.45000,4.13541,0.23601,-1.64043,4.45514,-0.20030
2.70000,3.84948,0.28025,-1.83720,4.27462,-0.25358
2.95000,3.56585,0.32292,-2.03243,4.11708,-0.30369
3.20000,3.28227,0.36274,-2.22604,3.98248,-0.34773
3.45000,2.99632,0.39778,-2.41707,3.87019,-0.38380
3.70000,2.70819,0.42549,-2.60479,3.78157,-0.40999
3.95000,2.42145,0.44238,-2.78890,3.71982,-0.42441
4.20000,2.14053,0.44358,-2.96833,3.68641,-0.42682
4.45000,1.86699,0.42270,-3.13922,3.67682,-0.42050
4.70000,1.59915,0.37259,-3.29235,3.67909,-0.41377
4.95000,1.33578,0.28649,-3.41113,3.67453,-0.42212
5.20000,1.08084,0.16347,-3.47580,3.64365,-0.46362
5.45000,0.84152,0.01064,-3.47547,3.57591,-0.54782
5.70000,0.62711,-0.16073,-3.41774,3.47851,-0.66602
5.95000,0.44049,-0.33995,-3.31566,3.36202,-0.80651
6.20000,0.27954,-0.52148,-3.18816,3.24260,-0.95140
6.45000,0.14064,-0.70076,-3.05525,3.13774,-1.08054
6.70000,0.01709,-0.87129,-2.92697,3.05395,-1.18461
6.95000,-0.09861,-1.02670,-2.80060,2.98449,-1.26620
7.20000,-0.20766,-1.17131,-2.67135,2.92424,-1.32817
7.45000,-0.30904,-1.31043,-2.53832,2.87330,-1.37314
7.70000,-0.40210,-1.44041,-2.40247,2.82990,-1.40252
7.95000,-0.48384,-1.55912,-2.26324,2.79055,-1.41674
8.20000,-0.54809,-1.66893,-2.11830,2.75190,-1.42023
8.45000,-0.58522,-1.76849,-1.96294,2.70614,-1.41953
8.70000,-0.58023,-1.85902,-1.79119,2.64594,-1.42554
8.95000,-0.52966,-1.93998,-1.60169,2.57089,-1.44153
9.20000,-0.44353,-2.00615,-1.40100,2.48679,-1.46519
9.45000,-0.33241,-2.04919,-1.19387,2.39478,-1.49114
9.70000,-0.21319,-2.05851,-0.98514,2.29203,-1.51917
9.95000,-0.10248,-2.03827,-0.78316,2.18596,-1.54183
10.20000,-0.00381,-2.00537,-0.59492,2.09176,-1.55341
10.45000,0.08445,-1.97808,-0.42546,2.02508,-1.54987
10.70000,0.16437,-1.96022,-0.26964,1.98550,-1.53174
10.95000,0.23572,-1.94183,-0.12029,1.95978,-1.50956
11.20000,0.29506,-1.91635,0.02294,1.93907,-1.48170
11.45000,0.33796,-1.88052,0.15483,1.91691,-1.44105
11.70000,0.36353,-1.83329,0.26855,1.88818,-1.38653
11.95000,0.38169,-1.77278,0.35998,1.84879,-1.32098
12.20000,0.40550,-1.70952,0.43019,1.80886,-1.24494
12.45000,0.44028,-1.64428,0.48997,1.77133,-1.16326
12.70000,0.48015,-1.56714,0.54888,1.72851,-1.08529
12.95000,0.51462,-1.47365,0.61172,1.67650,-1.01865
13.20000,0.53923,-1.37526,0.67200,1.62287,-0.95845
13.45000,0.54276,-1.27989,0.72831,1.56943,-0.90767
13.70000,0.51765,-1.18922,0.78273,1.51489,-0.86114
13.95000,0.47128,-1.10847,0.83458,1.46538,-0.82764
14.20000,0.41141,-1.03964,0.88309,1.42477,-0.80299
14.45000,0.34761,-0.96902,0.92111,1.38141,-0.77845
14.70000,0.28453,-0.89333,0.94798,1.33329,-0.75604
14.95000,0.21893,-0.81151,0.96668,1.28100,-0.74066
15.20000,0.15829,-0.72617,0.97563,1.22648,-0.72515
15.45000,0.10772,-0.64795,0.97507,1.17567,-0.70675
15.70000,0.05171,-0.59077,0.96923,1.13626,-0.68594
15.95000,-0.01780,-0.55156,0.95913,1.10656,-0.67306
16.20000,-0.10197,-0.51937,0.94146,1.08004,-0.66574
16.45000,-0.19470,-0.48798,0.91462,1.05478,-0.65926
16.70000,-0.28713,-0.45442,0.87634,1.02806,-0.65108
16.95000,-0.37618,-0.42476,0.83161,1.00674,-0.64640
17.20000,-0.45221,-0.40074,0.78380,0.98966,-0.64476
17.45000,-0.51869,-0.39195,0.73472,0.98106,-0.64851
17.70000,-0.57794,-0.40665,0.68395,0.98344,-0.65399
17.95000,-0.62794,-0.43630,0.62574,0.98804,-0.65661
18.20000,-0.66997,-0.47448,0.55677,0.99196,-0.65465
18.45000,-0.71142,-0.51623,0.47453,0.99889,-0.64056
18.70000,-0.74735,-0.55509,0.38075,1.00580,-0.61910
18.95000,-0.77734,-0.58338,0.28760,1.01356,-0.60044
19.20000,-0.80365,-0.59891,0.20339,1.02270,-0.59073
19.45000,-0.83170,-0.61402,0.12457,1.04128,-0.58565
19.70000,-0.85882,-0.63272,0.04986,1.06789,-0.58112
19.95000,-0.88705,-0.65206,-0.02263,1.10116,-0.57832
20.20000,-0.91514,-0.66741,-0.09300,1.13647,-0.57663
20.45000,-0.94711,-0.67016,-0.16634,1.17210,-0.56498
20.70000,-0.98769,-0.66450,-0.24133,1.21464,-0.54680
20.95000,-1.02900,-0.65419,-0.31093,1.25837,-0.52608
21.20000,-1.06756,-0.64537,-0.37035,1.30129,-0.50601
21.45000,-1.10517,-0.63887,-0.41867,1.34344,-0.48873
21.70000,-1.14570,-0.63041,-0.46026,1.38632,-0.47133
21.95000,-1.18461,-0.61631,-0.49033,1.42252,-0.45231
22.20000,-1.22059,-0.60427,-0.50482,1.45252,-0.44084
