t,Fx,Fy,Fz,Fmag,Lz
0.20000,0.94743,-0.65874,5.70559,5.82111,0.17885
0.40000,2.07957,0.82218,5.27602,5.73036,0.26910
0.60000,0.58704,3.14083,4.63775,5.63188,0.36450
0.80000,-2.96807,2.73142,3.90700,5.61558,0.37324
1.00000,-4.57894,-1.17981,3.05076,5.62723,0.35356
1.20000,-1.69086,-4.94027,2.03996,5.60595,0.36960
1.40000,3.38010,-4.34832,0.95798,5.59023,0.38052
1.60000,5.58424,0.45830,-0.13209,5.60457,0.36164
1.80000,2.62776,4.83555,-1.21183,5.63526,0.33322
2.00000,-2.42739,4.59260,-2.25715,5.66382,0.31230
2.20000,-4.62313,0.55318,-3.23894,5.67186,0.31350
2.40000,-2.64961,-2.84376,-4.10905,5.65612,0.33792
2.60000,0.46371,-2.92788,-4.80053,5.64204,0.36239
2.80000,1.66145,-1.11206,-5.28106,5.64682,0.37847
3.00000,1.13242,-0.07357,-5.54012,5.65515,0.38929
3.20000,0.99154,-0.18790,-5.56716,5.65789,0.39460
3.40000,1.74857,0.39746,-5.36818,5.65976,0.39946
3.60000,1.35694,2.34931,-4.96509,5.65797,0.41104
3.80000,-1.46862,3.24396,-4.38447,5.64834,0.42961
4.00000,-4.25173,0.64232,-3.64522,5.63715,0.44567
4.20000,-3.18976,-3.73463,-2.75802,5.63282,0.44212
4.40000,1.62878,-5.08625,-1.77270,5.62719,0.43171
4.60000,5.40268,-1.36786,-0.73936,5.62198,0.43313
4.80000,4.05705,3.86602,0.31622,5.61300,0.43793
5.00000,-1.08942,5.31062,1.34844,5.58639,0.44726
5.20000,-4.74395,1.72745,2.31473,5.55402,0.46464
5.40000,-3.51094,-2.84979,3.18969,5.53372,0.48018
5.60000,0.64781,-3.80722,3.95635,5.52877,0.48105
5.80000,2.98123,-0.85096,4.57178,5.52386,0.47438
6.00000,1.28839,1.96527,4.97069,5.49818,0.49339
6.20000,-1.48737,1.11783,5.13029,5.45726,0.53116
6.40000,-1.05458,-1.62779,5.09065,5.44762,0.53164
6.60000,1.93262,-1.62238,4.83301,5.45208,0.51528
6.80000,2.81405,1.66700,4.33964,5.43417,0.52124
7.00000,-0.30812,3.99316,3.65602,5.42280,0.53424
7.20000,-4.18441,2.03096,2.81293,5.43569,0.55433
7.40000,-4.34205,-2.69881,1.87941,5.44694,0.55066
7.60000,-0.09318,-5.38543,0.88354,5.45822,0.53786
7.80000,4.51132,-3.06115,-0.16859,5.45445,0.55009
8.00000,4.89275,2.04788,-1.18892,5.43566,0.54129
8.20000,0.89208,4.88821,-2.16698,5.42091,0.53600
8.40000,-3.22867,3.05750,-3.07842,5.40826,0.55486
8.60000,-3.65170,-0.85616,-3.84906,5.37431,0.54761
8.80000,-1.09679,-2.73163,-4.47319,5.35483,0.54235
9.00000,0.95410,-1.81214,-4.94691,5.35407,0.56385
9.20000,1.09247,-0.56340,-5.19997,5.34327,0.56152
9.40000,0.93800,-0.45182,-5.24560,5.34792,0.56005
9.60000,1.71925,-0.16488,-5.05031,5.33747,0.53526
9.80000,2.04875,1.63930,-4.65930,5.34732,0.52102
10.00000,0.00924,3.48999,-4.08150,5.37017,0.51489
10.20000,-3.39841,2.49475,-3.31946,5.36580,0.49477
10.40000,-4.51332,-1.58268,-2.43352,5.36628,0.48818
10.60000,-1.26089,-5.00679,-1.45245,5.36353,0.48463
10.80000,3.64734,-3.88105,-0.43156,5.34339,0.49367
11.00000,5.20166,1.00863,0.60490,5.33296,0.49903
11.20000,1.82705,4.71197,1.63258,5.31094,0.48413
11.40000,-2.78646,3.67774,2.56142,5.27740,0.49881
11.60000,-3.97680,-0.42907,3.38813,5.24199,0.50366
11.80000,-1.28688,-2.97092,4.07222,5.20244,0.50994
12.00000,1.51137,-1.83420,4.58948,5.16835,0.51755
12.20000,1.36730,0.51760,4.93046,5.14265,0.51285
12.40000,-0.50027,0.72689,5.04551,5.12209,0.52234
12.60000,-0.75849,-1.04103,4.95846,5.12302,0.52421
12.80000,1.34075,-1.62038,4.69511,5.14464,0.50474
13.00000,2.87151,0.71387,4.21960,5.15366,0.51132
13.20000,1.00528,3.59138,3.56244,5.15748,0.52726
13.40000,-2.97625,3.17215,2.78339,5.16409,0.52582
13.60000,-4.70555,-0.94271,1.90293,5.16256,0.51771
13.80000,-1.80242,-4.73695,0.93455,5.15372,0.52640
14.00000,3.08285,-4.12670,-0.06703,5.15151,0.53006
14.20000,5.03404,0.33948,-1.06655,5.15697,0.53548
14.40000,2.34042,4.13229,-2.02076,5.16109,0.53491
14.60000,-1.87913,3.83302,-2.89251,5.15652,0.52765
14.80000,-3.57677,0.62707,-3.65815,5.15447,0.53330
15.00000,-2.18124,-1.89460,-4.25934,5.14678,0.52560
15.20000,-0.15992,-2.10769,-4.67677,5.13227,0.51129
15.40000,0.66456,-1.32368,-4.90905,5.12763,0.51044
15.60000,0.93104,-1.03871,-4.93824,5.13147,0.51411
15.80000,1.81081,-0.67722,-4.76162,5.13913,0.51211
16.00000,2.47013,1.05396,-4.38846,5.14499,0.50152
16.20000,0.93322,3.28756,-3.85582,5.15231,0.51001
16.40000,-2.52495,3.16807,-3.17596,5.14770,0.51801
16.60000,-4.52658,-0.37419,-2.36270,5.11980,0.50602
16.80000,-2.30851,-4.30865,-1.48195,5.10783,0.50861
17.00000,2.46542,-4.43600,-0.55315,5.10513,0.50702
17.20000,5.06636,-0.30955,0.39887,5.09146,0.50171
17.40000,2.85407,3.99313,1.32875,5.08491,0.51065
17.60000,-1.79097,4.21572,2.21757,5.08896,0.50347
17.80000,-4.06266,0.51310,2.99993,5.07622,0.51660
18.00000,-2.02595,-2.84448,3.67205,5.06750,0.52275
18.20000,1.39368,-2.44075,4.21480,5.06597,0.51455
18.40000,2.10222,0.44200,4.56872,5.04856,0.52026
18.60000,-0.16859,1.69028,4.72117,5.01746,0.53555
18.80000,-1.71558,-0.22136,4.68545,4.99456,0.53792
19.00000,-0.02082,-2.24040,4.45337,4.98521,0.53759
19.20000,2.74226,-1.01069,4.03220,4.97997,0.53612
19.40000,2.58864,2.48856,3.44069,4.97316,0.53873
19.60000,-1.04356,4.03147,2.70015,4.96312,0.55182
19.80000,-4.39729,1.33000,1.87175,4.96069,0.54680
20.00000,-3.69093,-3.17263,0.98457,4.96567,0.52897
20.20000,0.66929,-4.91466,0.03923,4.96018,0.53433
20.40000,4.40496,-2.09710,-0.89858,4.96074,0.52930
20.60000,3.97672,2.37004,-1.78930,4.96317,0.51144
20.80000,0.26724,4.20434,-2.61831,4.96019,0.51370
21.00000,-2.83886,2.30402,-3.34053,4.95245,0.51330
21.20000,-2.91990,-0.69242,-3.92844,4.94347,0.50659
21.40000,-1.11289,-2.00498,-4.35944,4.92577,0.49696
21.60000,0.23856,-1.65100,-4.62109,4.91296,0.49358
21.80000,0.72080,-1.23026,-4.69829,4.90989,0.48859
22.00000,1.45010,-1.00940,-4.58448,4.91316,0.48651
22.20000,2.40792,0.21170,-4.28486,4.91964,0.48708
22.40000,1.84924,2.51528,-3.81598,4.93032,0.49250
22.60000,-1.06131,3.60999,-3.19672,4.93735,0.49674
22.80000,-4.04920,1.37570,-2.46704,4.93709,0.50432
23.00000,-3.69775,-2.81609,-1.62952,4.92534,0.50103
23.20000,0.33735,-4.84710,-0.72009,4.91190,0.48600
23.40000,4.30260,-2.35422,0.19775,4.90854,0.48496
23.60000,4.17624,2.33220,1.11157,4.91077,0.48479
23.80000,0.17669,4.48578,1.97818,4.90578,0.48661
24.00000,-3.40336,2.17956,2.76264,4.89546,0.49958
24.20000,-3.03323,-1.65321,3.44868,4.88129,0.49263
24.40000,0.13158,-2.77602,3.99232,4.86439,0.48794
24.60000,1.99627,-0.62684,4.37156,4.84650,0.48257
24.80000,0.67392,1.41936,4.56505,4.82788,0.48463
25.00000,-1.41061,0.58424,4.56550,4.81404,0.49266
25.20000,-0.94573,-1.73607,4.38397,4.80911,0.49095
25.40000,1.77384,-1.93723,4.02666,4.80764,0.49146
25.60000,3.13282,0.94628,3.51660,4.80380,0.48441
25.80000,0.81601,3.75471,2.86950,4.79559,0.46659
26.00000,-3.12457,2.93789,2.11645,4.78263,0.45113
26.20000,-4.43838,-1.17555,1.28082,4.76672,0.45180
26.40000,-1.44210,-4.50988,0.39144,4.75099,0.46249
26.60000,2.98220,-3.65255,-0.49513,4.74129,0.45548
26.80000,4.51348,0.44157,-1.36149,4.73499,0.45241
27.00000,2.03273,3.67639,-2.16817,4.72745,0.44768
27.20000,-1.58422,3.38480,-2.88487,4.72114,0.43865
27.40000,-3.08855,0.72090,-3.49177,4.71713,0.43691
27.60000,-2.10019,-1.45891,-3.95349,4.70843,0.43555
27.80000,-0.50421,-1.93630,-4.24889,4.69644,0.42891
28.00000,0.46185,-1.63600,-4.36959,4.68862,0.42710
28.20000,1.27474,-1.33033,-4.31104,4.68826,0.43106
28.40000,2.29734,-0.34352,-4.07280,4.68865,0.43720
28.60000,2.30180,1.79318,-3.67591,4.69319,0.43826
28.80000,0.05366,3.49289,-3.14318,4.69923,0.44875
29.00000,-3.17700,2.39339,-2.49167,4.69362,0.45442
29.20000,-4.12092,-1.38387,-1.73155,4.67924,0.44928
29.40000,-1.18040,-4.43290,-0.90957,4.67667,0.45302
29.60000,3.14127,-3.45931,-0.06306,4.67316,0.45837
29.80000,4.52861,0.80788,0.78312,4.66629,0.46127
30.00000,1.58931,4.08256,1.60088,4.66433,0.46040
30.20000,-2.49585,3.15388,2.35556,4.66099,0.45602
30.40000,-3.49870,-0.58585,3.01375,4.65476,0.45061
30.60000,-0.86411,-2.86423,3.55415,4.64570,0.45142
30.80000,1.89208,-1.50549,3.95296,4.63382,0.45197
31.00000,1.55623,1.19072,4.17573,4.61264,0.46730
31.20000,-0.91602,1.52942,4.23320,4.59328,0.47364
31.40000,-1.81697,-0.80705,4.13020,4.58381,0.45711
31.60000,0.36698,-2.43931,3.85282,4.57484,0.45048
31.80000,2.93576,-0.74337,3.41713,4.56596,0.44639
32.00000,2.35739,2.66041,2.84290,4.55161,0.44355
32.20000,-1.27593,3.77409,2.15811,4.53092,0.44829
32.40000,-4.19863,0.92819,1.39602,4.52094,0.45599
32.60000,-3.13753,-3.18859,0.58326,4.51125,0.45872
32.80000,0.98564,-4.38527,-0.24593,4.50140,0.45618
33.00000,4.08066,-1.55735,-1.06432,4.49554,0.45049
33.20000,3.37288,2.32997,-1.83273,4.49043,0.44510
33.40000,0.07409,3.70369,-2.52123,4.48101,0.44795
33.60000,-2.50154,2.01665,-3.11183,4.47304,0.45583
33.80000,-2.62668,-0.47402,-3.57374,4.46046,0.45384
34.00000,-1.27161,-1.74281,-3.88592,4.44463,0.44937
34.20000,-0.01202,-1.81699,-4.04442,4.43384,0.45135
34.40000,0.92106,-1.56162,-4.04376,4.43160,0.44916
34.60000,1.97127,-0.85763,-3.87851,4.43444,0.44161
34.80000,2.48825,0.93346,-3.55287,4.43685,0.42802
35.00000,1.07075,2.99758,-3.09406,4.43906,0.42402
35.20000,-2.01418,3.05414,-2.51977,4.44229,0.42818
35.40000,-4.03654,0.12814,-1.84503,4.44007,0.42573
35.60000,-2.51661,-3.48911,-1.10637,4.44199,0.42263
35.80000,1.59402,-4.13228,-0.32729,4.44114,0.42609
36.00000,4.32831,-0.86348,0.46581,4.43811,0.42546
36.20000,2.89721,3.11929,1.24299,4.43496,0.42503
36.40000,-1.13038,3.80434,1.96777,4.42977,0.41857
36.60000,-3.48301,0.77318,2.60999,4.42055,0.41828
36.80000,-1.95611,-2.38959,3.14545,4.40799,0.43191
37.00000,1.19689,-2.28805,3.54995,4.38975,0.44406
37.20000,2.10648,0.38008,3.80752,4.36795,0.43993
37.40000,0.01226,1.90542,3.90817,4.34794,0.44137
37.60000,-1.97074,0.31695,3.84691,4.33393,0.44793
37.80000,-0.94200,-2.15587,3.63050,4.32616,0.44859
38.00000,2.00209,-1.99106,3.26949,4.31998,0.44504
38.20000,3.11188,1.08358,2.78349,4.31344,0.44228
38.40000,0.60867,3.65015,2.18777,4.29888,0.43367
38.60000,-3.07646,2.57622,1.50702,4.28633,0.43208
38.80000,-3.99138,-1.32392,0.76869,4.27490,0.43758
39.00000,-1.04887,-4.12761,0.00354,4.25879,0.44375
39.20000,2.82269,-3.08612,-0.75573,4.25004,0.44387
39.40000,3.94298,0.56799,-1.47681,4.24861,0.43325
39.60000,1.68106,3.26323,-2.14107,4.24957,0.42648
39.80000,-1.40824,2.94305,-2.71986,4.24762,0.42608
40.00000,-2.71320,0.69424,-3.18634,4.24219,0.41840
