t,Fx,Fy,Fz,Fmag,Lz
0.20000,-0.03326,-0.98502,5.73684,5.82088,0.17909
0.40000,-0.03589,-1.09410,5.61822,5.72388,0.27611
0.60000,0.03240,-0.23217,5.60712,5.61202,0.38811
0.80000,0.08008,0.82669,5.55540,5.61715,0.38275
1.00000,0.07927,1.13408,5.57263,5.68741,0.31187
1.20000,0.04182,0.43012,5.68923,5.70562,0.29344
1.40000,-0.04643,-0.63565,5.66752,5.70325,0.29588
1.60000,-0.12565,-1.09532,5.56976,5.67783,0.32101
1.80000,-0.10048,-0.56469,5.53559,5.56522,0.43329
2.00000,-0.00097,0.43221,5.43170,5.44887,0.54990
2.20000,0.09206,0.96409,5.35582,5.44268,0.55487
2.40000,0.15098,0.58377,5.45843,5.49164,0.50415
2.60000,0.10486,-0.33543,5.48607,5.49732,0.49804
2.80000,-0.04997,-0.93064,5.39971,5.47955,0.51611
3.00000,-0.17260,-0.68530,5.38402,5.43021,0.56699
3.20000,-0.15005,0.13088,5.29761,5.30135,0.69794
3.40000,-0.00157,0.72432,5.12641,5.17733,0.81993
3.60000,0.17433,0.58632,5.11187,5.14833,0.84241
3.80000,0.24751,-0.11157,5.18200,5.18911,0.79637
4.00000,0.10029,-0.70824,5.17060,5.21985,0.76467
4.20000,-0.14182,-0.65654,5.16339,5.20689,0.77562
4.40000,-0.23862,0.00365,5.18530,5.19079,0.79147
4.60000,-0.11299,0.66723,5.11373,5.15831,0.82243
4.80000,0.09548,0.70995,5.06546,5.11586,0.86308
5.00000,0.20257,0.10068,5.09030,5.09533,0.88225
5.20000,0.11512,-0.60872,5.06414,5.10189,0.87203
5.40000,-0.09176,-0.77753,5.03408,5.09460,0.87261
5.60000,-0.19389,-0.25602,5.07325,5.08340,0.87934
5.80000,-0.07095,0.51731,5.05063,5.07755,0.87887
6.00000,0.13875,0.86523,4.98477,5.06121,0.89039
6.20000,0.19722,0.46646,4.99614,5.02174,0.92399
6.40000,0.04651,-0.32393,4.97309,4.98385,0.95623
6.60000,-0.18091,-0.79373,4.88136,4.94878,0.98192
6.80000,-0.26620,-0.55327,4.86977,4.90832,1.00971
7.00000,-0.10855,0.17293,4.89277,4.89703,1.01371
7.20000,0.17388,0.73853,4.83982,4.89893,1.00488
7.40000,0.28726,0.64006,4.82659,4.87731,1.01820
7.60000,0.13844,-0.04753,4.85143,4.85364,1.03729
7.80000,-0.12944,-0.67336,4.79207,4.84088,1.04467
8.00000,-0.27621,-0.67178,4.75704,4.81217,1.06452
8.20000,-0.17752,-0.06304,4.77051,4.77423,1.09582
8.40000,0.09522,0.58768,4.72934,4.76666,1.09090
8.60000,0.28627,0.70480,4.69901,4.76019,1.08573
8.80000,0.21956,0.17397,4.69500,4.70335,1.13107
9.00000,-0.01977,-0.51405,4.63601,4.66446,1.15180
9.20000,-0.22880,-0.68786,4.60608,4.66278,1.13782
9.40000,-0.25408,-0.20309,4.63219,4.64360,1.14025
9.60000,-0.06502,0.46976,4.59863,4.62301,1.15374
9.80000,0.16143,0.71780,4.55665,4.61566,1.15433
10.00000,0.22294,0.30308,4.56810,4.58357,1.17913
10.20000,0.09075,-0.38853,4.52904,4.54658,1.21318
10.40000,-0.11199,-0.69876,4.49092,4.54634,1.21255
10.60000,-0.22055,-0.35030,4.53643,4.55528,1.20154
10.80000,-0.12590,0.31557,4.53528,4.54799,1.20535
11.00000,0.11098,0.68084,4.48517,4.53791,1.20823
11.20000,0.26030,0.44959,4.49779,4.52769,1.21374
11.40000,0.14458,-0.18520,4.48186,4.48801,1.24609
11.60000,-0.09127,-0.66185,4.41711,4.46735,1.25394
11.80000,-0.21827,-0.50939,4.45061,4.48498,1.22835
12.00000,-0.17654,0.13162,4.48607,4.49147,1.21071
12.20000,0.01744,0.62320,4.42965,4.47331,1.22314
12.40000,0.20320,0.52143,4.41625,4.45157,1.23164
12.60000,0.21785,-0.06837,4.41699,4.42289,1.25385
12.80000,0.05323,-0.59060,4.36081,4.40094,1.26391
13.00000,-0.13877,-0.54219,4.36648,4.40220,1.24903
13.20000,-0.23231,0.04322,4.40561,4.41194,1.22768
13.40000,-0.15540,0.58984,4.36170,4.40415,1.22929
13.60000,0.02816,0.56728,4.35181,4.38872,1.23407
13.80000,0.18737,-0.00994,4.36378,4.36782,1.24373
14.00000,0.19732,-0.58354,4.29619,4.34013,1.25884
14.20000,0.04917,-0.60705,4.28565,4.32871,1.25968
14.40000,-0.15239,-0.05526,4.33563,4.33866,1.23516
14.60000,-0.22709,0.56687,4.29647,4.33965,1.22159
14.80000,-0.13508,0.66705,4.26885,4.32276,1.22562
15.00000,0.04848,0.12045,4.30292,4.30487,1.22606
15.20000,0.19131,-0.58197,4.23614,4.28021,1.23041
15.40000,0.20615,-0.75174,4.17874,4.25082,1.25007
15.60000,0.05036,-0.20810,4.22975,4.23517,1.25919
15.80000,-0.16476,0.54068,4.20352,4.24135,1.24704
16.00000,-0.23266,0.78528,4.16265,4.24246,1.23509
16.20000,-0.08030,0.31289,4.22263,4.23497,1.23480
16.40000,0.14548,-0.43943,4.20303,4.22844,1.23657
16.60000,0.23271,-0.77568,4.13698,4.21550,1.25005
16.80000,0.11023,-0.38975,4.17490,4.19450,1.26387
17.00000,-0.12586,0.36278,4.15995,4.17764,1.27271
17.20000,-0.25044,0.76944,4.08701,4.16635,1.27324
17.40000,-0.13466,0.46418,4.13038,4.15856,1.26427
17.60000,0.13349,-0.25537,4.14172,4.15173,1.26005
17.80000,0.28153,-0.69489,4.08181,4.15010,1.25438
18.00000,0.14431,-0.46933,4.11338,4.14258,1.24443
18.20000,-0.15909,0.19412,4.11071,4.11836,1.24996
18.40000,-0.34601,0.65739,4.02015,4.08821,1.27332
18.60000,-0.23815,0.47595,4.02688,4.06190,1.28803
18.80000,0.10728,-0.17485,4.04291,4.04811,1.28577
19.00000,0.37357,-0.66394,3.97425,4.04661,1.27075
19.20000,0.30271,-0.53275,3.99889,4.04557,1.24692
19.40000,-0.05197,0.09204,4.03876,4.04015,1.23871
19.60000,-0.35583,0.63188,3.96652,4.03226,1.24050
19.80000,-0.33640,0.58639,3.96695,4.02414,1.23407
20.00000,-0.00492,-0.00332,4.01363,4.01364,1.22373
20.20000,0.33503,-0.59664,3.94523,4.00413,1.21319
20.40000,0.38012,-0.63649,3.93201,4.00129,1.19934
20.60000,0.07378,-0.09166,3.99500,3.99674,1.18604
20.80000,-0.29201,0.54105,3.94337,3.99101,1.16322
21.00000,-0.38188,0.68293,3.90759,3.98516,1.14860
21.20000,-0.12074,0.22073,3.97191,3.97988,1.13515
21.40000,0.23988,-0.43389,3.93699,3.96808,1.13159
21.60000,0.37146,-0.68775,3.87213,3.95024,1.13809
21.80000,0.16596,-0.31030,3.92195,3.93771,1.14110
22.00000,-0.19943,0.34795,3.91042,3.93093,1.14575
22.20000,-0.37393,0.67328,3.84644,3.92279,1.14394
22.40000,-0.20660,0.38363,3.89200,3.91631,1.14273
22.60000,0.15322,-0.26535,3.89938,3.91140,1.14893
22.80000,0.37836,-0.66517,3.82919,3.90491,1.15397
23.00000,0.26008,-0.44665,3.86365,3.89806,1.14765
23.20000,-0.10512,0.18464,3.88492,3.89072,1.14481
23.40000,-0.37875,0.62822,3.81159,3.88153,1.13867
