t,Fx,Fy,Fz,Fmag,Lz
0.20000,-0.00000,0.00000,5.82044,5.82044,0.17956
0.40000,-0.00000,-0.00000,5.72011,5.72011,0.27989
0.60000,-0.00000,-0.00000,5.60263,5.60263,0.39737
0.80000,0.00000,-0.00000,5.60365,5.60365,0.39634
1.00000,0.00000,-0.00000,5.68005,5.68005,0.31995
1.20000,0.00000,0.00000,5.70576,5.70576,0.29422
1.40000,0.00000,0.00000,5.70380,5.70380,0.29616
1.60000,-0.00000,0.00000,5.68314,5.68314,0.31682
1.80000,-0.00000,-0.00000,5.57740,5.57740,0.42257
2.00000,-0.00000,-0.00000,5.45230,5.45230,0.54766
2.20000,0.00000,-0.00000,5.43418,5.43418,0.56576
2.40000,0.00000,-0.00000,5.48701,5.48701,0.51267
2.60000,0.00000,0.00000,5.50132,5.50132,0.49786
2.80000,0.00000,0.00000,5.48371,5.48371,0.51420
3.00000,-0.00000,0.00000,5.44274,5.44274,0.55464
3.20000,-0.00000,0.00000,5.32680,5.32680,0.67049
3.40000,-0.00000,-0.00000,5.19045,5.19045,0.80560
3.60000,-0.00000,-0.00000,5.14275,5.14275,0.84827
3.80000,0.00000,-0.00000,5.18174,5.18174,0.80745
4.00000,0.00000,0.00000,5.21937,5.21937,0.77075
4.20000,0.00000,0.00000,5.20169,5.20169,0.78535
4.40000,-0.00000,0.00000,5.18405,5.18405,0.80232
4.60000,-0.00000,-0.00000,5.15447,5.15447,0.83114
4.80000,-0.00000,-0.00000,5.10659,5.10659,0.87809
5.00000,0.00000,-0.00000,5.08079,5.08079,0.90227
5.20000,0.00000,0.00000,5.07608,5.07608,0.90483
5.40000,-0.00000,0.00000,5.06380,5.06380,0.91296
5.60000,-0.00000,-0.00000,5.05143,5.05143,0.91960
5.80000,-0.00000,-0.00000,5.05607,5.05607,0.91077
6.00000,0.00000,-0.00000,5.04545,5.04545,0.91596
6.20000,0.00000,-0.00000,4.98113,4.98113,0.97112
6.40000,0.00000,0.00000,4.93101,4.93101,1.01402
6.60000,-0.00000,0.00000,4.88863,4.88863,1.04849
6.80000,-0.00000,0.00000,4.82281,4.82281,1.10324
7.00000,-0.00000,-0.00000,4.79081,4.79081,1.12662
7.20000,-0.00000,-0.00000,4.80989,4.80989,1.10257
7.40000,0.00000,-0.00000,4.80524,4.80524,1.10512
7.60000,0.00000,-0.00000,4.77516,4.77516,1.12649
7.80000,0.00000,0.00000,4.76371,4.76371,1.12864
8.00000,-0.00000,0.00000,4.74509,4.74509,1.14291
8.20000,-0.00000,0.00000,4.71053,4.71053,1.16810
8.40000,-0.00000,-0.00000,4.69621,4.69621,1.17494
8.60000,0.00000,-0.00000,4.69996,4.69996,1.16960
8.80000,0.00000,0.00000,4.67822,4.67822,1.18343
9.00000,0.00000,0.00000,4.64667,4.64667,1.20291
9.20000,-0.00000,0.00000,4.64870,4.64870,1.18549
9.40000,-0.00000,-0.00000,4.63426,4.63426,1.19187
9.60000,-0.00000,-0.00000,4.59547,4.59547,1.21927
9.80000,0.00000,-0.00000,4.58071,4.58071,1.22565
10.00000,0.00000,0.00000,4.56908,4.56908,1.23459
10.20000,0.00000,0.00000,4.53462,4.53462,1.25485
10.40000,0.00000,0.00000,4.51781,4.51781,1.25690
10.60000,-0.00000,0.00000,4.52513,4.52513,1.24498
10.80000,-0.00000,-0.00000,4.52739,4.52739,1.23949
11.00000,0.00000,-0.00000,4.51696,4.51696,1.24996
11.20000,0.00000,0.00000,4.50587,4.50587,1.25891
11.40000,-0.00000,0.00000,4.48013,4.48013,1.28268
11.60000,0.00000,-0.00000,4.43859,4.43859,1.31556
11.80000,0.00000,0.00000,4.44079,4.44079,1.31182
12.00000,0.00000,0.00000,4.46167,4.46167,1.27524
12.20000,-0.00000,0.00000,4.47459,4.47459,1.25125
12.40000,-0.00000,-0.00000,4.47212,4.47212,1.25439
12.60000,-0.00000,-0.00001,4.45506,4.45506,1.26323
12.80000,0.00000,-0.00000,4.41521,4.41521,1.28798
13.00000,0.00001,0.00000,4.39137,4.39137,1.29764
13.20000,0.00000,0.00001,4.40030,4.40030,1.27763
13.40000,-0.00001,0.00000,4.40229,4.40229,1.26452
13.60000,-0.00001,-0.00000,4.38117,4.38117,1.27356
13.80000,-0.00000,-0.00001,4.38207,4.38207,1.26068
14.00000,0.00001,-0.00001,4.37931,4.37931,1.25072
14.20000,0.00001,0.00000,4.33907,4.33907,1.27809
14.40000,0.00000,0.00001,4.30217,4.30217,1.30990
14.60000,-0.00001,0.00001,4.31012,4.31012,1.29485
14.80000,-0.00001,-0.00000,4.32127,4.32127,1.27454
15.00000,-0.00001,-0.00001,4.31525,4.31525,1.28093
15.20000,0.00001,-0.00001,4.29964,4.29964,1.28328
