t,Fz,Fmag,Lz,Jz
0.04000,0.19531,5.88245,1.19000,1.38531
0.08000,0.15415,5.88075,1.17410,1.32825
0.12000,0.11293,5.87841,1.16440,1.27733
0.16000,0.07224,5.87556,1.15218,1.22442
0.20000,0.03297,5.87215,1.13020,1.16316
0.24000,-0.00441,5.86833,1.11366,1.10925
0.28000,-0.03988,5.86416,1.08858,1.04871
0.32000,-0.07279,5.85969,1.07294,1.00015
0.36000,-0.10244,5.85491,1.05990,0.95746
0.40000,-0.12849,5.84984,1.03958,0.91109
0.44000,-0.15115,5.84458,1.01827,0.86712
0.48000,-0.17067,5.83908,1.00057,0.82990
0.52000,-0.18716,5.83352,0.98386,0.79670
0.56000,-0.20038,5.82787,0.95791,0.75753
0.60000,-0.21075,5.82190,0.93977,0.72902
0.64000,-0.21789,5.81555,0.91252,0.69463
0.68000,-0.22185,5.80902,0.88787,0.66602
0.72000,-0.22280,5.80231,0.85813,0.63533
0.76000,-0.22099,5.79562,0.83383,0.61284
0.80000,-0.21688,5.78889,0.80542,0.58854
0.84000,-0.21055,5.78201,0.76746,0.55691
0.88000,-0.20249,5.77502,0.73409,0.53160
0.92000,-0.19343,5.76790,0.70854,0.51511
0.96000,-0.18332,5.76057,0.68355,0.50023
1.00000,-0.17215,5.75306,0.66342,0.49127
1.04000,-0.16030,5.74543,0.63985,0.47955
1.08000,-0.14788,5.73781,0.61860,0.47072
1.12000,-0.13486,5.73025,0.58535,0.45049
1.16000,-0.12150,5.72278,0.55645,0.43495
1.20000,-0.10795,5.71543,0.52777,0.41982
1.24000,-0.09423,5.70813,0.49758,0.40335
1.28000,-0.08045,5.70097,0.47546,0.39501
1.32000,-0.06658,5.69399,0.44722,0.38064
1.36000,-0.05255,5.68724,0.41883,0.36628
1.40000,-0.03823,5.68054,0.39641,0.35818
1.44000,-0.02378,5.67385,0.36942,0.34563
1.48000,-0.00941,5.66725,0.33851,0.32910
1.52000,0.00518,5.66072,0.31710,0.32228
1.56000,0.02012,5.65417,0.29722,0.31735
1.60000,0.03506,5.64765,0.27790,0.31296
1.64000,0.05004,5.64131,0.25360,0.30364
1.68000,0.06502,5.63493,0.23042,0.29544
1.72000,0.08000,5.62843,0.20345,0.28345
1.76000,0.09485,5.62189,0.18122,0.27607
1.80000,0.10931,5.61547,0.16816,0.27747
1.84000,0.12377,5.60901,0.15749,0.28125
1.88000,0.13835,5.60246,0.14271,0.28105
