t,Fz,Fmag,Lz,Jz
0.04000,0.23759,5.88154,1.17699,1.41458
0.08000,0.23759,5.88154,1.16165,1.39925
0.12000,0.23759,5.88154,1.15854,1.39613
0.16000,0.23759,5.88154,1.15572,1.39331
0.20000,0.23759,5.88154,1.14732,1.38491
0.24000,0.23759,5.88154,1.13721,1.37480
0.28000,0.23759,5.88154,1.12472,1.36231
0.32000,0.23759,5.88154,1.12466,1.36225
0.36000,0.23759,5.88154,1.12206,1.35966
0.40000,0.23759,5.88154,1.11702,1.35461
0.44000,0.23759,5.88154,1.11356,1.35115
0.48000,0.23759,5.88154,1.11570,1.35329
0.52000,0.23759,5.88154,1.12099,1.35858
0.56000,0.23759,5.88154,1.11397,1.35156
0.60000,0.23759,5.88154,1.10979,1.34738
0.64000,0.23759,5.88154,1.10394,1.34153
0.68000,0.23759,5.88154,1.10006,1.33765
0.72000,0.23759,5.88154,1.08333,1.32092
0.76000,0.23759,5.88154,1.06672,1.30432
0.80000,0.23759,5.88154,1.06916,1.30675
0.84000,0.23759,5.88154,1.07159,1.30918
0.88000,0.23759,5.88154,1.07020,1.30779
0.92000,0.23759,5.88154,1.06198,1.29958
0.96000,0.23759,5.88154,1.05780,1.29539
1.00000,0.23759,5.88154,1.06862,1.30621
1.04000,0.23759,5.88154,1.07121,1.30880
1.08000,0.23759,5.88154,1.06935,1.30694
1.12000,0.23759,5.88154,1.06537,1.30297
1.16000,0.23759,5.88154,1.05277,1.29036
1.20000,0.23759,5.88154,1.01760,1.25520
1.24000,0.23759,5.88154,0.99350,1.23110
1.28000,0.23759,5.88154,0.96203,1.19962
1.32000,0.23759,5.88154,0.93856,1.17615
1.36000,0.23759,5.88154,0.91955,1.15715
1.40000,0.23759,5.88154,0.90025,1.13784
1.44000,0.23759,5.88154,0.89165,1.12924
1.48000,0.23759,5.88154,0.87721,1.11480
1.52000,0.23759,5.88154,0.85672,1.09431
1.56000,0.23759,5.88154,0.84384,1.08143
1.60000,0.23759,5.88154,0.84355,1.08114
1.64000,0.23759,5.88154,0.83431,1.07191
1.68000,0.23759,5.88154,0.81866,1.05625
1.72000,0.23759,5.88154,0.80883,1.04642
1.76000,0.23759,5.88154,0.81071,1.04830
1.80000,0.23759,5.88154,0.81249,1.05008
1.84000,0.23759,5.88154,0.81729,1.05488
1.88000,0.23759,5.88154,0.81402,1.05161
1.92000,0.23759,5.88154,0.81470,1.05229
1.96000,0.23759,5.88154,0.81302,1.05061
2.00000,0.23759,5.88154,0.81310,1.05070
2.04000,0.23759,5.88154,0.82549,1.06309
2.08000,0.23759,5.88154,0.83080,1.06839
2.12000,0.23759,5.88154,0.82839,1.06599
2.16000,0.23759,5.88154,0.83289,1.07049
2.20000,0.23759,5.88154,0.82810,1.06569
2.24000,0.23759,5.88154,0.81189,1.04948
2.28000,0.23759,5.88154,0.80588,1.04348
2.32000,0.23759,5.88154,0.79756,1.03516
2.36000,0.23759,5.88154,0.79254,1.03013
2.40000,0.23759,5.88154,0.79145,1.02904
2.44000,0.23759,5.88154,0.77941,1.01701
2.48000,0.23759,5.88154,0.75857,0.99616
2.52000,0.23759,5.88154,0.74589,0.98348
2.56000,0.23759,5.88154,0.74139,0.97898
2.60000,0.23759,5.88154,0.74221,0.97980
2.64000,0.23759,5.88154,0.73771,0.97530
2.68000,0.23759,5.88154,0.72844,0.96603
2.72000,0.23759,5.88154,0.71446,0.95205
2.76000,0.23759,5.88154,0.70026,0.93785
2.80000,0.23759,5.88154,0.69547,0.93307
2.84000,0.23759,5.88154,0.69554,0.93313
2.88000,0.23759,5.88154,0.69329,0.93088
2.92000,0.23759,5.88154,0.69347,0.93106
2.96000,0.23759,5.88154,0.69687,0.93447
3.00000,0.23759,5.88154,0.69597,0.93357
3.04000,0.23759,5.88154,0.68777,0.92536
3.08000,0.23759,5.88154,0.68154,0.91913
3.12000,0.23759,5.88154,0.67209,0.90969
3.16000,0.23759,5.88154,0.65691,0.89450
3.20000,0.23759,5.88154,0.66140,0.89899
3.24000,0.23759,5.88154,0.66298,0.90057
3.28000,0.23759,5.88154,0.66419,0.90178
3.32000,0.23759,5.88154,0.66120,0.89879
3.36000,0.23759,5.88154,0.65568,0.89327
3.40000,0.23759,5.88154,0.64491,0.88250
3.44000,0.23759,5.88154,0.63825,0.87585
3.48000,0.23759,5.88154,0.63147,0.86906
3.52000,0.23759,5.88154,0.61584,0.85344
3.56000,0.23759,5.88154,0.61035,0.84794
3.60000,0.23759,5.88154,0.59371,0.83130
3.64000,0.23759,5.88154,0.58110,0.81869
3.68000,0.23759,5.88154,0.57239,0.80998
3.72000,0.23759,5.88154,0.54771,0.78530
3.76000,0.23759,5.88154,0.54214,0.77973
3.80000,0.23759,5.88154,0.52954,0.76713
3.84000,0.23759,5.88154,0.51893,0.75652
3.88000,0.23759,5.88154,0.51156,0.74915
3.92000,0.23759,5.88154,0.49676,0.73435
3.96000,0.23759,5.88154,0.48518,0.72277
4.00000,0.23759,5.88154,0.47859,0.71618
4.04000,0.23759,5.88154,0.47536,0.71295
4.08000,0.23759,5.88154,0.46813,0.70572
4.12000,0.23759,5.88154,0.46410,0.70170
4.16000,0.23759,5.88154,0.45958,0.69717
4.20000,0.23759,5.88154,0.45275,0.69034
4.24000,0.23759,5.88154,0.44323,0.68082
4.28000,0.23759,5.88154,0.43587,0.67347
4.32000,0.23759,5.88154,0.43372,0.67131
4.36000,0.23759,5.88154,0.42718,0.66477
4.40000,0.23759,5.88154,0.41190,0.64950
4.44000,0.23759,5.88154,0.40124,0.63883
4.48000,0.23759,5.88154,0.39508,0.63267
4.52000,0.23759,5.88154,0.38256,0.62015
4.56000,0.23759,5.88154,0.37313,0.61072
4.60000,0.23759,5.88154,0.36929,0.60688
4.64000,0.23759,5.88154,0.35696,0.59456
4.68000,0.23759,5.88154,0.35164,0.58923
4.72000,0.23759,5.88154,0.35013,0.58772
4.76000,0.23759,5.88154,0.34877,0.58636
4.80000,0.23759,5.88154,0.34808,0.58567
4.84000,0.23759,5.88154,0.35148,0.58907
4.88000,0.23759,5.88154,0.35988,0.59748
4.92000,0.23759,5.88154,0.36569,0.60328
4.96000,0.23759,5.88154,0.37336,0.61095
5.00000,0.23759,5.88154,0.37437,0.61196
