t,Fz,Fmag,Lz,Jz
0.04000,0.18942,5.90682,1.24228,1.43170
0.08000,0.14350,5.90494,1.22996,1.37346
0.12000,0.09770,5.90235,1.22019,1.31789
0.16000,0.05283,5.89918,1.20839,1.26122
0.20000,0.00974,5.89544,1.19054,1.20028
0.24000,-0.03115,5.89127,1.16925,1.13809
0.28000,-0.06960,5.88673,1.15001,1.08041
0.32000,-0.10501,5.88192,1.13271,1.02770
0.36000,-0.13657,5.87674,1.11731,0.98074
0.40000,-0.16405,5.87132,1.10086,0.93681
0.44000,-0.18775,5.86567,1.08000,0.89225
0.48000,-0.20816,5.85977,1.05612,0.84796
0.52000,-0.22518,5.85386,1.03171,0.80653
0.56000,-0.23870,5.84782,1.00816,0.76946
0.60000,-0.24919,5.84138,0.98422,0.73503
0.64000,-0.25616,5.83455,0.95770,0.70154
0.68000,-0.25980,5.82757,0.92914,0.66934
0.72000,-0.26030,5.82046,0.90036,0.64006
0.76000,-0.25822,5.81337,0.86947,0.61124
0.80000,-0.25381,5.80627,0.83655,0.58274
0.84000,-0.24702,5.79899,0.80287,0.55585
0.88000,-0.23870,5.79153,0.77143,0.53273
0.92000,-0.22921,5.78396,0.74291,0.51369
0.96000,-0.21851,5.77622,0.71676,0.49825
1.00000,-0.20670,5.76830,0.69004,0.48334
1.04000,-0.19414,5.76021,0.66077,0.46663
1.08000,-0.18113,5.75213,0.62745,0.44632
1.12000,-0.16752,5.74408,0.59409,0.42657
1.16000,-0.15353,5.73616,0.56310,0.40957
1.20000,-0.13941,5.72837,0.53504,0.39563
1.24000,-0.12498,5.72068,0.50774,0.38276
1.28000,-0.11080,5.71310,0.47996,0.36916
1.32000,-0.09635,5.70564,0.45121,0.35486
1.36000,-0.08147,5.69848,0.42317,0.34169
1.40000,-0.06612,5.69137,0.39621,0.33008
1.44000,-0.05064,5.68419,0.37241,0.32177
1.48000,-0.03518,5.67715,0.35032,0.31514
1.52000,-0.01943,5.67015,0.32515,0.30573
1.56000,-0.00349,5.66310,0.29493,0.29143
1.60000,0.01264,5.65605,0.26190,0.27454
1.64000,0.02890,5.64921,0.23435,0.26325
1.68000,0.04501,5.64235,0.21375,0.25875
1.72000,0.06122,5.63539,0.19711,0.25833
1.76000,0.07726,5.62841,0.18057,0.25783
1.80000,0.09271,5.62142,0.16336,0.25607
1.84000,0.10819,5.61443,0.14576,0.25396
1.88000,0.12378,5.60731,0.12917,0.25295
1.92000,0.13946,5.60026,0.11232,0.25178
1.96000,0.15498,5.59322,0.09445,0.24943
2.00000,0.17022,5.58617,0.07462,0.24484
2.04000,0.18505,5.57925,0.05325,0.23830
2.08000,0.19969,5.57253,0.03019,0.22988
2.12000,0.21357,5.56605,0.00583,0.21940
2.16000,0.22664,5.55966,-0.01773,0.20890
2.20000,0.23885,5.55345,-0.03636,0.20250
2.24000,0.25062,5.54746,-0.04918,0.20145
2.28000,0.26175,5.54165,-0.06020,0.20155
2.32000,0.27257,5.53608,-0.07420,0.19837
2.36000,0.28277,5.53067,-0.09213,0.19064
2.40000,0.29230,5.52529,-0.11119,0.18111
2.44000,0.30074,5.51995,-0.12761,0.17313
2.48000,0.30823,5.51446,-0.14051,0.16773
2.52000,0.31530,5.50893,-0.15107,0.16423
2.56000,0.32162,5.50347,-0.15962,0.16199
2.60000,0.32687,5.49780,-0.16472,0.16215
2.64000,0.33093,5.49190,-0.16509,0.16584
