t,AR,ell_angle,field_angle,lag,Lz,Fmag,Fz,Nv
0.12000,1.4771,0.0003,0.0888,0.0885,0.0041,5.9996,0.3527,0
0.24000,1.4785,0.0012,0.1776,0.1764,0.0202,5.9992,0.4877,0
0.36000,1.4793,0.0045,0.2664,0.2619,0.0531,5.9984,0.0618,0
0.48000,1.4781,0.0110,0.3552,0.3442,0.0877,5.9988,0.1879,0
0.60000,1.4741,0.0210,0.4440,0.4230,0.1281,5.9989,0.5275,0
0.72000,1.4642,0.0354,0.5328,0.4974,0.1800,5.9963,0.2198,0
0.84000,1.4456,0.0557,0.6216,0.5659,0.2320,5.9961,0.0765,0
0.96000,1.4189,0.0828,0.7104,0.6276,0.2836,5.9986,0.4565,0
1.08000,1.3837,0.1189,0.7992,0.6803,0.3432,5.9966,0.4045,0
1.20000,1.3396,0.1688,0.8880,0.7192,0.4048,5.9948,0.0760,0
1.32000,1.2901,0.2402,0.9768,0.7366,0.4636,5.9975,0.2993,0
1.44000,1.2418,0.3464,1.0656,0.7192,0.5263,5.9977,0.5157,0
1.56000,1.2038,0.5074,1.1544,0.6470,0.5944,5.9960,0.1908,0
1.68000,1.1914,0.7283,1.2432,0.5149,0.6612,5.9971,0.1341,0
1.80000,1.2182,0.9548,1.3320,0.3772,0.7290,5.9980,0.4806,0
1.92000,1.2814,1.1298,1.4208,0.2910,0.8078,5.9970,0.3476,0
2.04000,1.3721,1.2537,1.5096,0.2559,0.8883,5.9972,0.0577,0
2.16000,1.4853,1.3430,1.5984,0.2554,0.9562,5.9977,0.3402,0
2.28000,1.6192,1.4094,1.6872,0.2778,1.0131,5.9973,0.4499,0
2.40000,1.7714,1.4599,1.7760,0.3161,1.0638,5.9975,0.0806,0
2.52000,1.9354,1.5001,1.8648,0.3647,1.1047,5.9971,0.1890,0
2.64000,2.1011,1.5326,1.9536,0.4210,1.1162,5.9969,0.4751,1
2.76000,2.2460,1.5601,2.0424,0.4823,1.1235,5.9961,0.1774,0
