t,AR,ell_angle,field_angle,lag,Lz,Fmag,Fz,Nv
0.12000,1.4772,0.0004,0.1020,0.1016,0.0053,5.9996,0.4051,0
0.24000,1.4789,0.0015,0.2040,0.2025,0.0236,5.9990,0.5600,0
0.36000,1.4794,0.0052,0.3060,0.3008,0.0607,5.9980,0.0715,0
0.48000,1.4769,0.0126,0.4080,0.3954,0.0997,5.9986,0.2162,0
0.60000,1.4705,0.0240,0.5100,0.4860,0.1449,5.9988,0.6082,0
0.72000,1.4563,0.0406,0.6120,0.5714,0.2020,5.9956,0.2573,0
0.84000,1.4312,0.0639,0.7140,0.6501,0.2593,5.9956,0.0871,0
0.96000,1.3962,0.0960,0.8160,0.7200,0.3166,5.9983,0.5269,0
1.08000,1.3518,0.1404,0.9180,0.7776,0.3816,5.9964,0.4770,0
1.20000,1.2987,0.2052,1.0200,0.8148,0.4481,5.9949,0.0866,0
1.32000,1.2431,0.3053,1.1220,0.8167,0.5112,5.9974,0.3353,0
1.44000,1.1964,0.4666,1.2240,0.7574,0.5770,5.9975,0.5993,0
1.56000,1.1766,0.7069,1.3260,0.6191,0.6495,5.9963,0.2186,0
1.68000,1.2021,0.9655,1.4280,0.4625,0.7243,5.9970,0.1383,0
1.80000,1.2707,1.1570,1.5300,0.3730,0.8003,5.9973,0.5460,0
1.92000,1.3697,1.2836,1.6320,0.3484,0.8804,5.9967,0.3908,0
2.04000,1.4919,1.3714,1.7340,0.3626,0.9545,5.9969,0.0524,0
2.16000,1.6342,1.4356,1.8360,0.4004,1.0099,5.9968,0.3847,0
2.28000,1.7933,1.4837,1.9380,0.4543,1.0389,5.9963,0.5043,0
2.40000,1.9584,1.5206,2.0400,0.5194,1.0577,5.9956,0.0887,0
2.52000,2.1102,1.5506,2.1420,0.5914,1.0743,5.9949,0.2205,0
2.64000,2.2243,-1.5652,2.2440,0.6677,1.0813,5.9951,0.5640,0
2.76000,2.2656,-1.5412,2.3460,0.7456,1.1271,5.9942,0.2715,0
2.88000,2.2099,-1.5161,2.4480,0.8225,1.2223,5.9943,0.1343,0
3.00000,2.0704,-1.4867,2.5500,0.8951,1.3484,5.9953,0.5401,0
3.12000,1.8786,-1.4489,2.6520,0.9593,1.5034,5.9958,0.5298,0
3.24000,1.6673,-1.3951,2.7540,1.0075,1.6539,5.9968,0.1397,0
3.36000,1.4668,-1.3089,2.8560,1.0233,1.7742,5.9965,0.3028,0
3.48000,1.3017,-1.1493,2.9580,0.9657,1.8323,5.9965,0.6088,0
3.60000,1.2129,-0.8280,3.0600,0.7464,1.7936,5.9975,0.2808,0
3.72000,1.2550,-0.4458,0.0204,0.4662,1.6953,5.9970,0.0961,14
3.84000,1.3949,-0.2259,0.1224,0.3483,1.5232,5.9961,0.4911,16
3.96000,1.5903,-0.1187,0.2244,0.3431,1.3275,5.9966,0.4198,16
4.08000,1.8209,-0.0629,0.3264,0.3893,1.1783,5.9958,0.0319,8
4.20000,2.0685,-0.0299,0.4284,0.4583,1.0690,5.9921,0.3277,3
4.32000,2.3035,-0.0082,0.5304,0.5387,0.9602,5.9892,0.4894,6
4.44000,2.4683,0.0074,0.6324,0.6250,0.8929,5.9864,0.0935,0
4.56000,2.5066,0.0210,0.7344,0.7134,0.8736,5.9848,0.2488,0
4.68000,2.4090,0.0348,0.8364,0.8016,0.8953,5.9868,0.6133,0
4.80000,2.2062,0.0506,0.9384,0.8878,0.9490,5.9877,0.3466,0
4.92000,1.9522,0.0732,1.0404,0.9672,1.0627,5.9872,0.1585,0
5.04000,1.6959,0.1070,1.1424,1.0354,1.1744,5.9873,0.5049,0
5.16000,1.4657,0.1658,1.2444,1.0786,1.2887,5.9878,0.5533,8
5.28000,1.2755,0.2895,1.3464,1.0569,1.3821,5.9880,0.1719,6
5.40000,1.1516,0.6194,1.4484,0.8290,1.4276,5.9877,0.2413,14
5.52000,1.1769,1.1445,1.5504,0.4059,1.4260,5.9871,0.5573,23
5.64000,1.3135,1.3768,1.6524,0.2756,1.3813,5.9866,0.3056,26
5.76000,1.4842,1.4725,1.7544,0.2819,1.3126,5.9857,0.0902,22
5.88000,1.6684,1.5206,1.8564,0.3358,1.2155,5.9833,0.4212,31
6.00000,1.8470,1.5466,1.9584,0.4118,1.1247,5.9807,0.3605,14
6.12000,1.9887,1.5635,2.0604,0.4969,1.0717,5.9769,0.0607,4
6.24000,2.0639,-1.5654,2.1624,0.5862,1.0340,5.9720,0.3430,6
6.36000,2.0605,-1.5557,2.2644,0.6785,1.0086,5.9704,0.5115,2
6.48000,1.9823,-1.5479,2.3664,0.7727,1.0258,5.9721,0.2221,2
6.60000,1.8489,-1.5408,2.4684,0.8677,1.0560,5.9735,0.2650,5
6.72000,1.6861,-1.5309,2.5704,0.9598,1.0797,5.9733,0.5671,2
6.84000,1.5135,-1.5157,2.6724,1.0465,1.0713,5.9737,0.4178,6
6.96000,1.3456,-1.4798,2.7744,1.1126,1.1076,5.9743,0.1668,11
7.08000,1.1917,-1.4066,2.8764,1.1414,1.0884,5.9738,0.3918,22
7.20000,1.0768,-1.0685,2.9784,0.9053,1.0323,5.9734,0.5325,23
7.32000,1.1123,-0.3334,3.0804,0.2723,1.0200,5.9738,0.2228,22
7.44000,1.2359,-0.1494,0.0408,0.1903,1.0556,5.9730,0.1968,26
7.56000,1.3781,-0.0836,0.1428,0.2264,1.0975,5.9713,0.4840,34
7.68000,1.5296,-0.0536,0.2448,0.2984,1.1518,5.9697,0.3003,23
7.80000,1.6753,-0.0305,0.3468,0.3773,1.2089,5.9658,0.0865,12
7.92000,1.7973,-0.0131,0.4488,0.4620,1.2583,5.9630,0.3944,16
8.04000,1.8763,0.0018,0.5508,0.5491,1.1972,5.9605,0.3901,16
8.16000,1.8935,0.0153,0.6528,0.6375,1.1631,5.9561,0.1471,2
8.28000,1.8497,0.0260,0.7548,0.7288,1.1415,5.9572,0.3619,1
8.40000,1.7588,0.0338,0.8568,0.8231,1.1625,5.9582,0.5350,0
8.52000,1.6366,0.0464,0.9588,0.9124,1.1996,5.9570,0.2872,3
8.64000,1.4974,0.0671,1.0608,0.9937,1.2193,5.9567,0.2435,10
8.76000,1.3561,0.1028,1.1628,1.0600,1.2649,5.9579,0.5058,21
8.88000,1.2217,0.1619,1.2648,1.1029,1.2995,5.9581,0.4382,20
9.00000,1.1027,0.3082,1.3668,1.0586,1.2547,5.9580,0.1855,36
9.12000,1.0532,1.0873,1.4688,0.3815,1.1317,5.9582,0.3370,36
9.24000,1.1476,1.4742,1.5708,0.0966,0.9322,5.9572,0.4876,31
9.36000,1.2665,1.5459,1.6728,0.1269,0.7487,5.9555,0.2270,44
9.48000,1.3907,1.5689,1.7748,0.2059,0.5944,5.9530,0.1888,39
9.60000,1.5102,-1.5632,1.8768,0.2984,0.4679,5.9502,0.4209,19
9.72000,1.6131,-1.5579,1.9788,0.3951,0.3702,5.9465,0.2669,17
9.84000,1.6857,-1.5550,2.0808,0.4942,0.3167,5.9423,0.1590,6
9.96000,1.7223,-1.5495,2.1828,0.5907,0.2800,5.9411,0.4245,1
10.08000,1.7178,-1.5439,2.2848,0.6872,0.2988,5.9413,0.4290,0
10.20000,1.6756,-1.5378,2.3868,0.7830,0.3399,5.9400,0.2098,0
10.32000,1.6028,-1.5320,2.4888,0.8792,0.3780,5.9398,0.3419,0
10.44000,1.5113,-1.5157,2.5908,0.9649,0.4808,5.9403,0.5298,3
10.56000,1.4062,-1.4951,2.6928,1.0463,0.5680,5.9402,0.3284,21
10.68000,1.2956,-1.4505,2.7948,1.1037,0.6528,5.9402,0.2109,29
