t,Fz,Fmag,Lz
0.12000,0.12432,5.99708,0.00024
0.24000,0.45702,5.99681,0.00265
0.36000,0.89179,5.99565,0.01222
0.48000,1.29450,5.99210,0.03455
0.60000,1.55083,5.98471,0.07292
0.72000,1.60321,5.97327,0.12632
0.84000,1.46198,5.95918,0.19007
0.96000,1.19139,5.94516,0.25812
1.08000,0.88284,5.93471,0.32532
1.20000,0.62788,5.93087,0.38835
1.32000,0.49706,5.93469,0.44579
1.44000,0.52616,5.94462,0.49782
1.56000,0.70957,5.95703,0.54596
1.68000,1.00045,5.96787,0.59350
1.80000,1.31819,5.97445,0.64598
1.92000,1.56459,5.97644,0.71047
2.04000,1.64907,5.97517,0.79089
2.16000,1.51938,5.97219,0.88199
2.28000,1.18890,5.96859,0.97236
2.40000,0.74310,5.96505,1.05326
2.52000,0.31302,5.96202,1.12444
2.64000,0.02833,5.96015,1.18980
2.76000,-0.02757,5.96032,1.24755
2.88000,0.15575,5.96274,1.29066
3.00000,0.51737,5.96604,1.31618
3.12000,0.95461,5.96686,1.33690
3.24000,1.36359,5.96139,1.37874
3.36000,1.66847,5.94894,1.46380
3.48000,1.83055,5.93372,1.59500
3.60000,1.84300,5.92162,1.75587
3.72000,1.72205,5.91572,1.92096
3.84000,1.50032,5.91518,2.05240
3.96000,1.22332,5.91701,2.08585
4.08000,0.94497,5.91815,2.02886
4.20000,0.71629,5.91710,1.90521
4.32000,0.57129,5.91520,1.70946
4.44000,0.51753,5.91559,1.52406
4.56000,0.53749,5.91903,1.38419
4.68000,0.58972,5.92217,1.26542
4.80000,0.62609,5.92306,1.13541
4.92000,0.63443,5.92237,0.98728
5.04000,0.64152,5.91761,0.85989
5.16000,0.69630,5.90683,0.80589
5.28000,0.83474,5.89247,0.84159
5.40000,1.05660,5.87807,0.94681
5.52000,1.32873,5.86565,1.08937
5.64000,1.60110,5.85578,1.22544
5.76000,1.81892,5.84832,1.35059
5.88000,1.93035,5.84305,1.45513
6.00000,1.89567,5.83933,1.54357
6.12000,1.69620,5.83529,1.61573
6.24000,1.34326,5.82961,1.64947
6.36000,0.88677,5.82332,1.64158
6.48000,0.41465,5.82011,1.58667
6.60000,0.03552,5.82230,1.54140
6.72000,-0.14254,5.82580,1.52278
6.84000,-0.05117,5.82824,1.47294
6.96000,0.27821,5.83007,1.38141
7.08000,0.74112,5.82706,1.27681
7.20000,1.20373,5.81684,1.19538
7.32000,1.56344,5.79889,1.13543
7.44000,1.77153,5.77600,1.15583
7.56000,1.82091,5.75401,1.25699
7.68000,1.73453,5.73711,1.39009
7.80000,1.55573,5.72721,1.51705
7.92000,1.33372,5.72392,1.62864
8.04000,1.11276,5.72536,1.72113
8.16000,0.92371,5.72959,1.76967
8.28000,0.78283,5.73296,1.75909
8.40000,0.69915,5.73544,1.72743
8.52000,0.66927,5.73702,1.66083
8.64000,0.67630,5.73738,1.55447
8.76000,0.69783,5.73788,1.44231
8.88000,0.71665,5.73379,1.28590
9.00000,0.73010,5.72642,1.08929
9.12000,0.74993,5.71478,0.90590
9.24000,0.79537,5.69914,0.76257
9.36000,0.87671,5.68123,0.66503
9.48000,0.99078,5.66525,0.62281
9.60000,1.12340,5.65493,0.65149
9.72000,1.25961,5.64981,0.73091
9.84000,1.38673,5.64789,0.84523
9.96000,1.48734,5.64792,0.93613
10.08000,1.53454,5.64812,1.01477
10.20000,1.49883,5.64771,1.09386
10.32000,1.36004,5.64675,1.17847
10.44000,1.12194,5.64437,1.23278
10.56000,0.81731,5.64317,1.21556
10.68000,0.51521,5.64406,1.17474
10.80000,0.30012,5.64455,1.15855
10.92000,0.24311,5.64300,1.08708
11.04000,0.35971,5.64261,0.93623
11.16000,0.60059,5.64295,0.77770
11.28000,0.88609,5.64098,0.65647
11.40000,1.14521,5.63461,0.57972
11.52000,1.33236,5.62334,0.54741
11.64000,1.42710,5.60832,0.57664
11.76000,1.43671,5.59284,0.67275
11.88000,1.38445,5.58152,0.79227
12.00000,1.29123,5.57611,0.90516
12.12000,1.17364,5.57568,1.00450
12.24000,1.04814,5.57710,1.08355
12.36000,0.93081,5.57870,1.15175
12.48000,0.83588,5.58007,1.20606
12.60000,0.77444,5.58124,1.24888
12.72000,0.74989,5.58293,1.23758
12.84000,0.74971,5.58245,1.16498
12.96000,0.75183,5.58037,1.04460
13.08000,0.74394,5.57600,0.92866
13.20000,0.73783,5.57044,0.81680
13.32000,0.74849,5.56251,0.72858
13.44000,0.79001,5.54916,0.70817
13.56000,0.86682,5.53187,0.73443
13.68000,0.97140,5.51523,0.83226
13.80000,1.09156,5.50167,0.92300
13.92000,1.20923,5.49205,1.01094
14.04000,1.30299,5.48875,1.12409
14.16000,1.35401,5.49058,1.20771
14.28000,1.34318,5.49331,1.29723
14.40000,1.25910,5.49411,1.41850
14.52000,1.10528,5.49258,1.49070
14.64000,0.90537,5.49010,1.58726
14.76000,0.70164,5.48928,1.59368
14.88000,0.54993,5.48846,1.54894
15.00000,0.49444,5.48578,1.42477
