t,Fz,Fmag,Lz
0.12000,0.12606,5.99553,0.00001
0.24000,0.48350,5.99027,-0.00086
0.36000,1.01288,5.97992,-0.00394
0.48000,1.62337,5.96130,-0.00992
0.60000,2.20228,5.92973,-0.01785
0.72000,2.62580,5.88196,-0.02600
0.84000,2.77497,5.82143,-0.03428
0.96000,2.56566,5.75917,-0.04427
1.08000,1.99223,5.70747,-0.05685
1.20000,1.16143,5.67432,-0.07255
1.32000,0.27845,5.66131,-0.09368
1.44000,-0.42426,5.66327,-0.12382
1.56000,-0.77261,5.67107,-0.16492
1.68000,-0.70124,5.67664,-0.21555
1.80000,-0.25540,5.67673,-0.27281
1.92000,0.44321,5.67416,-0.33196
2.04000,1.24731,5.67157,-0.38407
2.16000,2.02671,5.66515,-0.43448
2.28000,2.67914,5.65101,-0.50596
2.40000,3.11755,5.62135,-0.61126
2.52000,3.25419,5.57097,-0.73283
2.64000,3.01044,5.51153,-0.84565
2.76000,2.35404,5.45901,-0.93868
2.88000,1.34980,5.41958,-1.02013
3.00000,0.19699,5.39228,-1.10156
3.12000,-0.81314,5.37449,-1.18360
3.24000,-1.41688,5.36352,-1.25678
3.36000,-1.47640,5.35690,-1.31067
3.48000,-1.00260,5.35027,-1.33338
3.60000,-0.12785,5.34303,-1.30211
3.72000,0.94432,5.33542,-1.18945
3.84000,1.99728,5.32097,-1.02407
3.96000,2.84451,5.28033,-0.86270
4.08000,3.34520,5.20276,-0.72980
4.20000,3.40564,5.10715,-0.63506
4.32000,2.98629,5.02316,-0.57592
4.44000,2.13743,4.96136,-0.53623
4.56000,1.02102,4.91539,-0.49722
4.68000,-0.12044,4.87867,-0.46055
4.80000,-1.02868,4.84981,-0.44659
4.92000,-1.49740,4.83097,-0.46121
5.04000,-1.42795,4.81961,-0.49768
5.16000,-0.85283,4.80979,-0.54197
5.28000,0.07861,4.80288,-0.59637
5.40000,1.14864,4.80261,-0.64056
5.52000,2.12700,4.79885,-0.66110
5.64000,2.81756,4.77280,-0.65629
5.76000,3.08452,4.71924,-0.62625
5.88000,2.87320,4.66371,-0.57596
6.00000,2.21233,4.62851,-0.53572
6.12000,1.23077,4.61251,-0.49021
6.24000,0.14676,4.60988,-0.43929
6.36000,-0.78869,4.60976,-0.40195
6.48000,-1.35867,4.60401,-0.37967
6.60000,-1.43481,4.59202,-0.34252
6.72000,-1.00484,4.57666,-0.29398
6.84000,-0.17246,4.56501,-0.24011
6.96000,0.87191,4.56104,-0.19266
7.08000,1.90443,4.55864,-0.15057
7.20000,2.70926,4.53545,-0.12786
7.32000,3.11839,4.47651,-0.11288
7.44000,3.01987,4.40092,-0.10166
7.56000,2.37664,4.33844,-0.08783
7.68000,1.29817,4.29479,-0.05682
7.80000,0.04543,4.26991,-0.03307
7.92000,-1.06151,4.26297,-0.02710
8.04000,-1.75210,4.26390,-0.04183
8.16000,-1.87087,4.26088,-0.04425
8.28000,-1.40690,4.24813,-0.04216
8.40000,-0.48235,4.22920,-0.01838
8.52000,0.67601,4.21281,0.03064
8.64000,1.80094,4.20027,0.09191
8.76000,2.66478,4.18142,0.14422
8.88000,3.10786,4.14586,0.16972
9.00000,3.04734,4.10323,0.17091
9.12000,2.47748,4.07054,0.15092
9.24000,1.47834,4.04948,0.12958
9.36000,0.25153,4.03480,0.12189
9.48000,-0.91420,4.02605,0.11288
9.60000,-1.73278,4.02150,0.09175
9.72000,-2.01136,4.01476,0.06391
9.84000,-1.68802,4.00409,0.04556
9.96000,-0.84509,3.99390,0.04006
10.08000,0.31633,3.98599,0.05376
10.20000,1.52459,3.97844,0.08644
10.32000,2.50271,3.96689,0.12586
10.44000,3.03618,3.94453,0.15283
10.56000,3.01966,3.91320,0.17316
10.68000,2.46662,3.88214,0.17940
10.80000,1.49933,3.85798,0.17407
10.92000,0.33015,3.84040,0.16624
11.04000,-0.78035,3.82482,0.15902
11.16000,-1.58069,3.80719,0.14135
11.28000,-1.88827,3.78706,0.12459
11.40000,-1.63614,3.76782,0.10521
11.52000,-0.88815,3.75504,0.08893
11.64000,0.17763,3.74855,0.07729
11.76000,1.31150,3.74464,0.07779
11.88000,2.25444,3.73556,0.07532
12.00000,2.79664,3.71895,0.08924
12.12000,2.82378,3.70180,0.10099
12.24000,2.33605,3.69046,0.08710
12.36000,1.44308,3.68219,0.07531
12.48000,0.34826,3.67487,0.07594
12.60000,-0.70050,3.66812,0.08431
12.72000,-1.46397,3.65751,0.09359
12.84000,-1.76513,3.64143,0.11476
12.96000,-1.53421,3.62194,0.13376
13.08000,-0.82880,3.60324,0.14037
13.20000,0.18034,3.59021,0.13715
13.32000,1.25313,3.58324,0.14348
13.44000,2.14017,3.57599,0.15202
13.56000,2.64238,3.56114,0.14963
13.68000,2.65297,3.53776,0.14277
13.80000,2.17414,3.51712,0.14778
13.92000,1.31089,3.50726,0.15078
14.04000,0.25742,3.50495,0.15839
14.16000,-0.74179,3.50313,0.17116
14.28000,-1.45205,3.49669,0.17096
14.40000,-1.70944,3.48289,0.16965
14.52000,-1.45961,3.46450,0.17544
14.64000,-0.76601,3.44713,0.18516
14.76000,0.20919,3.43518,0.19465
14.88000,1.23993,3.42648,0.20418
15.00000,2.09064,3.41644,0.20981
