t,Fz,Fmag,Lz
0.12000,0.14391,5.99722,0.00007
0.24000,0.54165,5.99722,0.00008
0.36000,1.09934,5.99722,0.00008
0.48000,1.68533,5.99722,0.00008
0.60000,2.16131,5.99722,0.00008
0.72000,2.41492,5.99722,0.00008
0.84000,2.38630,5.99722,0.00008
0.96000,2.08220,5.99722,0.00008
1.08000,1.57441,5.99722,0.00008
1.20000,0.98279,5.99722,0.00008
1.32000,0.44698,5.99722,0.00008
1.44000,0.09347,5.99722,0.00008
1.56000,0.00569,5.99722,0.00008
1.68000,0.20438,5.99722,0.00008
1.80000,0.64262,5.99722,0.00008
1.92000,1.21697,5.99722,0.00007
2.04000,1.79187,5.99722,0.00007
2.16000,2.23160,5.99722,0.00007
2.28000,2.43237,5.99722,0.00007
2.40000,2.34680,5.99722,0.00007
2.52000,1.99507,5.99722,0.00007
2.64000,1.46021,5.99722,0.00007
2.76000,0.86848,5.99722,0.00007
2.88000,0.35955,5.99722,0.00007
3.00000,0.05355,5.99722,0.00007
3.12000,0.02271,5.99722,0.00007
3.24000,0.27431,5.99722,0.00007
3.36000,0.74896,5.99722,0.00007
3.48000,1.33463,5.99722,0.00007
3.60000,1.89306,5.99722,0.00007
3.72000,2.29244,5.99722,0.00007
3.84000,2.43851,5.99722,0.00007
3.96000,2.29677,5.99722,0.00007
4.08000,1.90069,5.99722,0.00007
4.20000,1.34376,5.99722,0.00007
4.32000,0.75745,5.99722,0.00006
4.44000,0.28014,5.99722,0.00006
4.56000,0.02451,5.99722,0.00006
4.68000,0.05089,5.99722,0.00006
4.80000,0.35306,5.99722,0.00006
4.92000,0.85970,5.99722,0.00006
5.04000,1.45120,5.99722,0.00006
5.16000,1.98796,5.99722,0.00006
5.28000,2.34327,5.99722,0.00006
5.40000,2.43326,5.99722,0.00006
5.52000,2.23669,5.99722,0.00006
5.64000,1.79996,5.99722,0.00006
5.76000,1.22615,5.99722,0.00006
5.88000,0.65072,5.99722,0.00006
6.00000,0.20949,5.99722,0.00005
6.12000,0.00661,5.99722,0.00005
6.24000,0.08997,5.99722,0.00005
6.36000,0.43990,5.99722,0.00005
6.48000,0.97379,5.99722,0.00004
6.60000,1.56562,5.99722,0.00004
6.72000,2.07569,5.99722,0.00004
6.84000,2.38361,5.99722,0.00004
6.96000,2.41669,5.99722,0.00004
7.08000,2.16711,5.99722,0.00004
7.20000,1.69380,5.99722,0.00004
7.32000,1.10848,5.99722,0.00004
7.44000,0.54931,5.99722,0.00004
7.56000,0.14827,5.99722,0.00004
7.68000,0.00004,5.99722,0.00004
7.80000,0.13960,5.99722,0.00004
7.92000,0.53401,5.99722,0.00004
8.04000,1.09017,5.99722,0.00004
8.16000,1.67680,5.99722,0.00003
8.28000,2.15543,5.99722,0.00003
8.40000,2.41308,5.99722,0.00003
8.52000,2.38894,5.99722,0.00003
8.64000,2.08869,5.99722,0.00003
8.76000,1.58322,5.99722,0.00002
8.88000,0.99184,5.99722,0.00002
9.00000,0.45414,5.99722,0.00002
9.12000,0.09704,5.99722,0.00001
9.24000,0.00484,5.99722,0.00001
9.36000,0.19929,5.99722,0.00001
9.48000,0.63451,5.99722,0.00000
9.60000,1.20775,5.99722,0.00000
9.72000,1.78371,5.99722,0.00000
9.84000,2.22643,5.99722,-0.00000
9.96000,2.43142,5.99722,-0.00000
10.08000,2.35027,5.99722,-0.00001
10.20000,2.00216,5.99722,-0.00001
10.32000,1.46925,5.99722,-0.00001
10.44000,0.87732,5.99722,-0.00001
10.56000,0.36611,5.99722,-0.00001
10.68000,0.05628,5.99722,-0.00001
10.80000,0.02097,5.99722,-0.00002
10.92000,0.26851,5.99722,-0.00002
11.04000,0.74047,5.99722,-0.00002
11.16000,1.32544,5.99722,-0.00002
11.28000,1.88535,5.99722,-0.00002
11.40000,2.28804,5.99722,-0.00002
11.52000,2.43844,5.99722,-0.00002
11.64000,2.30106,5.99722,-0.00002
11.76000,1.90832,5.99722,-0.00002
11.88000,1.35293,5.99722,-0.00002
12.00000,0.76599,5.99722,-0.00002
12.12000,0.28605,5.99722,-0.00002
12.24000,0.02638,5.99722,-0.00002
12.36000,0.04829,5.99722,-0.00002
12.48000,0.34660,5.99722,-0.00003
12.60000,0.85089,5.99722,-0.00003
12.72000,1.44214,5.99722,-0.00003
12.84000,1.98078,5.99722,-0.00003
12.96000,2.33967,5.99722,-0.00003
13.08000,2.43408,5.99722,-0.00003
13.20000,2.24174,5.99722,-0.00003
13.32000,1.80805,5.99722,-0.00003
13.44000,1.23538,5.99722,-0.00004
13.56000,0.65890,5.99722,-0.00004
13.68000,0.21469,5.99722,-0.00004
13.80000,0.00761,5.99722,-0.00004
13.92000,0.08653,5.99722,-0.00004
14.04000,0.43283,5.99722,-0.00004
14.16000,0.96476,5.99722,-0.00004
14.28000,1.55677,5.99722,-0.00004
14.40000,2.06910,5.99722,-0.00005
14.52000,2.38084,5.99722,-0.00005
14.64000,2.41839,5.99722,-0.00005
14.76000,2.17289,5.99722,-0.00004
14.88000,1.70229,5.99722,-0.00004
15.00000,1.11767,5.99722,-0.00004
15.12000,0.55703,5.99722,-0.00004
15.24000,0.15271,5.99722,-0.00004
15.36000,0.00014,5.99722,-0.00004
15.48000,0.13534,5.99722,-0.00004
15.60000,0.52640,5.99722,-0.00004
15.72000,1.08100,5.99722,-0.00004
15.84000,1.66824,5.99722,-0.00004
15.96000,2.14950,5.99722,-0.00004
16.08000,2.41117,5.99722,-0.00004
16.20000,2.39151,5.99722,-0.00004
16.32000,2.09513,5.99722,-0.00004
16.44000,1.59201,5.99722,-0.00004
16.56000,1.00091,5.99722,-0.00004
16.68000,0.46134,5.99722,-0.00004
16.80000,0.10068,5.99722,-0.00004
16.92000,0.00405,5.99722,-0.00004
17.04000,0.19427,5.99722,-0.00004
17.16000,0.62643,5.99722,-0.00004
17.28000,1.19853,5.99722,-0.00004
17.40000,1.77552,5.99722,-0.00004
17.52000,2.22121,5.99722,-0.00004
17.64000,2.43039,5.99722,-0.00004
17.76000,2.35369,5.99722,-0.00004
17.88000,2.00921,5.99722,-0.00004
18.00000,1.47826,5.99722,-0.00004
18.12000,0.88618,5.99722,-0.00004
18.24000,0.37272,5.99722,-0.00004
18.36000,0.05909,5.99722,-0.00004
18.48000,0.01930,5.99722,-0.00004
18.60000,0.26276,5.99722,-0.00004
18.72000,0.73200,5.99722,-0.00004
18.84000,1.31625,5.99722,-0.00004
18.96000,1.87761,5.99722,-0.00004
19.08000,2.28357,5.99722,-0.00004
19.20000,2.43830,5.99722,-0.00004
19.32000,2.30528,5.99722,-0.00004
19.44000,1.91591,5.99722,-0.00004
19.56000,1.36210,5.99722,-0.00005
19.68000,0.77457,5.99722,-0.00005
19.80000,0.29201,5.99722,-0.00005
19.92000,0.02832,5.99722,-0.00005
20.04000,0.04575,5.99722,-0.00005
20.16000,0.34018,5.99722,-0.00005
20.28000,0.84211,5.99722,-0.00005
20.40000,1.43307,5.99722,-0.00005
20.52000,1.97356,5.99722,-0.00005
20.64000,2.33600,5.99722,-0.00005
20.76000,2.43483,5.99722,-0.00005
20.88000,2.24674,5.99722,-0.00005
21.00000,1.81611,5.99722,-0.00005
21.12000,1.24460,5.99722,-0.00005
21.24000,0.66710,5.99722,-0.00005
21.36000,0.21994,5.99722,-0.00005
21.48000,0.00867,5.99722,-0.00005
21.60000,0.08315,5.99722,-0.00005
21.72000,0.42580,5.99722,-0.00005
21.84000,0.95575,5.99722,-0.00005
21.96000,1.54789,5.99722,-0.00005
22.08000,2.06247,5.99722,-0.00005
22.20000,2.37800,5.99722,-0.00005
22.32000,2.42002,5.99722,-0.00006
22.44000,2.17861,5.99722,-0.00006
22.56000,1.71074,5.99722,-0.00006
22.68000,1.12686,5.99722,-0.00006
22.80000,0.56479,5.99722,-0.00006
22.92000,0.15721,5.99722,-0.00005
23.04000,0.00032,5.99722,-0.00005
23.16000,0.13115,5.99722,-0.00005
23.28000,0.51883,5.99722,-0.00005
23.40000,1.07184,5.99722,-0.00005
23.52000,1.65965,5.99722,-0.00005
23.64000,2.14351,5.99722,-0.00005
23.76000,2.40920,5.99722,-0.00005
23.88000,2.39401,5.99722,-0.00005
24.00000,2.10152,5.99722,-0.00005
24.12000,1.60078,5.99722,-0.00005
24.24000,1.00999,5.99722,-0.00005
24.36000,0.46859,5.99722,-0.00004
24.48000,0.10438,5.99722,-0.00004
24.60000,0.00334,5.99722,-0.00005
24.72000,0.18931,5.99722,-0.00004
24.84000,0.61839,5.99722,-0.00004
24.96000,1.18931,5.99722,-0.00004
25.08000,1.76730,5.99722,-0.00005
25.20000,2.21592,5.99722,-0.00005
25.32000,2.42929,5.99722,-0.00005
25.44000,2.35703,5.99722,-0.00005
25.56000,2.01621,5.99722,-0.00005
25.68000,1.48727,5.99722,-0.00004
25.80000,0.89507,5.99722,-0.00004
25.92000,0.37939,5.99722,-0.00004
26.04000,0.06196,5.99722,-0.00004
26.16000,0.01770,5.99722,-0.00004
26.28000,0.25707,5.99722,-0.00004
26.40000,0.72356,5.99722,-0.00004
26.52000,1.30706,5.99722,-0.00004
26.64000,1.86983,5.99722,-0.00004
26.76000,2.27904,5.99722,-0.00004
26.88000,2.43809,5.99722,-0.00004
27.00000,2.30944,5.99722,-0.00004
27.12000,1.92346,5.99722,-0.00004
27.24000,1.37125,5.99722,-0.00004
27.36000,0.78317,5.99722,-0.00004
27.48000,0.29802,5.99722,-0.00004
27.60000,0.03033,5.99722,-0.00004
27.72000,0.04328,5.99722,-0.00003
27.84000,0.33382,5.99722,-0.00004
27.96000,0.83336,5.99722,-0.00004
28.08000,1.42399,5.99722,-0.00004
28.20000,1.96629,5.99722,-0.00003
28.32000,2.33226,5.99722,-0.00003
28.44000,2.43551,5.99722,-0.00003
28.56000,2.25167,5.99722,-0.00003
28.68000,1.82413,5.99722,-0.00003
28.80000,1.25382,5.99722,-0.00003
28.92000,0.67534,5.99722,-0.00003
29.04000,0.22526,5.99722,-0.00003
29.16000,0.00980,5.99722,-0.00003
29.28000,0.07983,5.99722,-0.00002
29.40000,0.41882,5.99722,-0.00002
29.52000,0.94675,5.99722,-0.00002
29.64000,1.53900,5.99722,-0.00002
29.76000,2.05578,5.99722,-0.00003
29.88000,2.37510,5.99722,-0.00003
30.00000,2.42159,5.99722,-0.00003
