t,Fz,Fmag,Lz
0.12000,0.12530,5.99722,0.00007
0.24000,0.47193,5.99722,0.00008
0.36000,0.95892,5.99722,0.00008
0.48000,1.47249,5.99722,0.00008
0.60000,1.89264,5.99722,0.00008
0.72000,2.12123,5.99722,0.00008
0.84000,2.10484,5.99722,0.00008
0.96000,1.84730,5.99722,0.00008
1.08000,1.40879,5.99722,0.00008
1.20000,0.89175,5.99722,0.00008
1.32000,0.41698,5.99722,0.00008
1.44000,0.09540,5.99722,0.00008
1.56000,0.00215,5.99722,0.00008
1.68000,0.15900,5.99722,0.00008
1.80000,0.52932,5.99722,0.00008
1.92000,1.02659,5.99722,0.00007
2.04000,1.53462,5.99722,0.00007
2.16000,1.93473,5.99722,0.00007
2.28000,2.13343,5.99722,0.00007
2.40000,2.08431,5.99722,0.00007
2.52000,1.79884,5.99722,0.00007
2.64000,1.34371,5.99722,0.00007
2.76000,0.82526,5.99722,0.00007
2.88000,0.36461,5.99722,0.00007
3.00000,0.06940,5.99722,0.00007
3.12000,0.00858,5.99722,0.00007
3.24000,0.19636,5.99722,0.00007
3.36000,0.58889,5.99722,0.00007
3.48000,1.09444,5.99722,0.00007
3.60000,1.59491,5.99722,0.00007
3.72000,1.97337,5.99722,0.00007
3.84000,2.14139,5.99722,0.00007
3.96000,2.05973,5.99722,0.00007
4.08000,1.74747,5.99722,0.00007
4.20000,1.27754,5.99722,0.00007
4.32000,0.75976,5.99722,0.00006
4.44000,0.31508,5.99722,0.00006
4.56000,0.04740,5.99722,0.00006
4.68000,0.01926,5.99722,0.00006
4.80000,0.23723,5.99722,0.00006
4.92000,0.65039,5.99722,0.00006
5.04000,1.16221,5.99722,0.00006
5.16000,1.65311,5.99722,0.00006
5.28000,2.00840,5.99722,0.00006
5.40000,2.14508,5.99722,0.00006
5.52000,2.03121,5.99722,0.00006
5.64000,1.69339,5.99722,0.00006
5.76000,1.21056,5.99722,0.00006
5.88000,0.69551,5.99722,0.00006
6.00000,0.26858,5.99722,0.00005
6.12000,0.02952,5.99722,0.00005
6.24000,0.03417,5.99722,0.00005
6.36000,0.28144,5.99722,0.00005
6.48000,0.71358,5.99722,0.00004
6.60000,1.22961,5.99722,0.00004
6.72000,1.70898,5.99722,0.00004
6.84000,2.03969,5.99722,0.00004
6.96000,2.14447,5.99722,0.00004
7.08000,1.99884,5.99722,0.00004
7.20000,1.63684,5.99722,0.00004
7.32000,1.14303,5.99722,0.00004
7.44000,0.63278,5.99722,0.00004
7.56000,0.22530,5.99722,0.00004
7.68000,0.01580,5.99722,0.00004
7.80000,0.05322,5.99722,0.00004
7.92000,0.32882,5.99722,0.00004
8.04000,0.77821,5.99722,0.00004
8.16000,1.29639,5.99722,0.00003
8.28000,1.76231,5.99722,0.00003
8.40000,2.06710,5.99722,0.00003
8.52000,2.13957,5.99722,0.00003
8.64000,1.96278,5.99722,0.00003
8.76000,1.57803,5.99722,0.00002
8.88000,1.07521,5.99722,0.00002
9.00000,0.57180,5.99722,0.00002
9.12000,0.18541,5.99722,0.00001
9.24000,0.00632,5.99722,0.00001
9.36000,0.07636,5.99722,0.00001
9.48000,0.37918,5.99722,0.00000
9.60000,0.84401,5.99722,0.00000
9.72000,1.36227,5.99722,0.00000
9.84000,1.81288,5.99722,-0.00000
9.96000,2.09054,5.99722,-0.00000
10.08000,2.13040,5.99722,-0.00001
10.20000,1.92315,5.99722,-0.00001
10.32000,1.51719,5.99722,-0.00001
10.44000,1.00738,5.99722,-0.00001
10.56000,0.51283,5.99722,-0.00001
10.68000,0.14907,5.99722,-0.00001
10.80000,0.00110,5.99722,-0.00002
10.92000,0.10349,5.99722,-0.00002
11.04000,0.43231,5.99722,-0.00002
11.16000,0.91073,5.99722,-0.00002
11.28000,1.42700,5.99722,-0.00002
11.40000,1.86048,5.99722,-0.00002
11.52000,2.10991,5.99722,-0.00002
11.64000,2.11700,5.99722,-0.00002
11.76000,1.88011,5.99722,-0.00002
11.88000,1.45457,5.99722,-0.00002
