t,Fz,Fmag,Lz
0.12000,0.12532,5.99722,0.00007
0.24000,0.47197,5.99722,0.00008
0.36000,0.95896,5.99722,0.00008
0.48000,1.47252,5.99722,0.00008
0.60000,1.89267,5.99722,0.00008
0.72000,2.12124,5.99722,0.00008
0.84000,2.10483,5.99722,0.00008
0.96000,1.84728,5.99722,0.00008
1.08000,1.40875,5.99722,0.00008
1.20000,0.89171,5.99722,0.00008
1.32000,0.41695,5.99722,0.00008
1.44000,0.09538,5.99722,0.00008
1.56000,0.00215,5.99722,0.00008
1.68000,0.15902,5.99722,0.00008
1.80000,0.52936,5.99722,0.00008
1.92000,1.02663,5.99722,0.00007
2.04000,1.53466,5.99722,0.00007
2.16000,1.93475,5.99722,0.00007
2.28000,2.13344,5.99722,0.00007
2.40000,2.08430,5.99722,0.00007
2.52000,1.79881,5.99722,0.00007
2.64000,1.34367,5.99722,0.00007
2.76000,0.82522,5.99722,0.00007
2.88000,0.36458,5.99722,0.00007
3.00000,0.06938,5.99722,0.00007
3.12000,0.00858,5.99722,0.00007
3.24000,0.19639,5.99722,0.00007
3.36000,0.58892,5.99722,0.00007
3.48000,1.09448,5.99722,0.00007
3.60000,1.59494,5.99722,0.00007
3.72000,1.97339,5.99722,0.00007
3.84000,2.14140,5.99722,0.00007
3.96000,2.05972,5.99722,0.00007
4.08000,1.74743,5.99722,0.00007
4.20000,1.27751,5.99722,0.00007
4.32000,0.75972,5.99722,0.00006
4.44000,0.31506,5.99722,0.00006
4.56000,0.04739,5.99722,0.00006
4.68000,0.01927,5.99722,0.00006
4.80000,0.23726,5.99722,0.00006
4.92000,0.65043,5.99722,0.00006
5.04000,1.16225,5.99722,0.00006
5.16000,1.65314,5.99722,0.00006
5.28000,2.00842,5.99722,0.00006
5.40000,2.14508,5.99722,0.00006
5.52000,2.03119,5.99722,0.00006
5.64000,1.69336,5.99722,0.00006
5.76000,1.21052,5.99722,0.00006
5.88000,0.69548,5.99722,0.00006
6.00000,0.26856,5.99722,0.00005
6.12000,0.02951,5.99722,0.00005
6.24000,0.03418,5.99722,0.00005
6.36000,0.28147,5.99722,0.00005
6.48000,0.71362,5.99722,0.00004
6.60000,1.22965,5.99722,0.00004
6.72000,1.70901,5.99722,0.00004
6.84000,2.03970,5.99722,0.00004
6.96000,2.14447,5.99722,0.00004
7.08000,1.99882,5.99722,0.00004
7.20000,1.63680,5.99722,0.00004
7.32000,1.14299,5.99722,0.00004
7.44000,0.63274,5.99722,0.00004
7.56000,0.22528,5.99722,0.00004
7.68000,0.01580,5.99722,0.00004
7.80000,0.05324,5.99722,0.00004
7.92000,0.32885,5.99722,0.00004
8.04000,0.77825,5.99722,0.00004
8.16000,1.29643,5.99722,0.00003
8.28000,1.76234,5.99722,0.00003
8.40000,2.06712,5.99722,0.00003
8.52000,2.13957,5.99722,0.00003
8.64000,1.96275,5.99722,0.00003
8.76000,1.57799,5.99722,0.00002
8.88000,1.07517,5.99722,0.00002
9.00000,0.57177,5.99722,0.00002
9.12000,0.18539,5.99722,0.00001
9.24000,0.00632,5.99722,0.00001
9.36000,0.07638,5.99722,0.00001
9.48000,0.37921,5.99722,0.00000
9.60000,0.84405,5.99722,0.00000
9.72000,1.36231,5.99722,0.00000
9.84000,1.81291,5.99722,-0.00000
9.96000,2.09056,5.99722,-0.00000
10.08000,2.13040,5.99722,-0.00001
10.20000,1.92312,5.99722,-0.00001
10.32000,1.51715,5.99722,-0.00001
10.44000,1.00734,5.99722,-0.00001
10.56000,0.51279,5.99722,-0.00001
10.68000,0.14905,5.99722,-0.00001
10.80000,0.00110,5.99722,-0.00002
10.92000,0.10350,5.99722,-0.00002
11.04000,0.43234,5.99722,-0.00002
11.16000,0.91077,5.99722,-0.00002
11.28000,1.42704,5.99722,-0.00002
11.40000,1.86051,5.99722,-0.00002
11.52000,2.10992,5.99722,-0.00002
11.64000,2.11700,5.99722,-0.00002
11.76000,1.88008,5.99722,-0.00002
11.88000,1.45454,5.99722,-0.00002
12.00000,0.93977,5.99722,-0.00002
12.12000,0.45606,5.99722,-0.00002
12.24000,0.11641,5.99722,-0.00002
12.36000,0.00018,5.99722,-0.00002
12.48000,0.13451,5.99722,-0.00003
12.60000,0.48803,5.99722,-0.00003
12.72000,0.97814,5.99722,-0.00003
12.84000,1.49034,5.99722,-0.00003
12.96000,1.90496,5.99722,-0.00003
13.08000,2.12513,5.99722,-0.00003
13.20000,2.09941,5.99722,-0.00003
13.32000,1.83382,5.99722,-0.00003
13.44000,1.39039,5.99722,-0.00004
13.56000,0.87274,5.99722,-0.00004
13.68000,0.40180,5.99722,-0.00004
13.80000,0.08760,5.99722,-0.00004
13.92000,0.00354,5.99722,-0.00004
14.04000,0.16927,5.99722,-0.00004
14.16000,0.54606,5.99722,-0.00004
14.28000,1.04589,5.99722,-0.00004
14.40000,1.55198,5.99722,-0.00005
14.52000,1.94608,5.99722,-0.00005
14.64000,2.13613,5.99722,-0.00005
14.76000,2.07772,5.99722,-0.00004
14.88000,1.78450,5.99722,-0.00004
15.00000,1.32498,5.99722,-0.00004
15.12000,0.80651,5.99722,-0.00004
15.24000,0.35022,5.99722,-0.00004
15.36000,0.06272,5.99722,-0.00004
15.48000,0.01119,5.99722,-0.00004
15.60000,0.20764,5.99722,-0.00004
15.72000,0.60620,5.99722,-0.00004
15.84000,1.11375,5.99722,-0.00004
15.96000,1.61169,5.99722,-0.00004
16.08000,1.98371,5.99722,-0.00004
16.20000,2.14288,5.99722,-0.00004
16.32000,2.05201,5.99722,-0.00004
16.44000,1.73234,5.99722,-0.00004
16.56000,1.25855,5.99722,-0.00004
16.68000,0.74134,5.99722,-0.00004
16.80000,0.30153,5.99722,-0.00004
16.92000,0.04189,5.99722,-0.00004
17.04000,0.02308,5.99722,-0.00004
17.16000,0.24948,5.99722,-0.00004
17.28000,0.66821,5.99722,-0.00004
17.40000,1.18144,5.99722,-0.00004
17.52000,1.66925,5.99722,-0.00004
17.64000,2.01769,5.99722,-0.00004
17.76000,2.14534,5.99722,-0.00004
17.88000,2.02238,5.99722,-0.00004
18.00000,1.67754,5.99722,-0.00004
18.12000,1.19139,5.99722,-0.00004
18.24000,0.67750,5.99722,-0.00004
18.36000,0.25593,5.99722,-0.00004
18.48000,0.02519,5.99722,-0.00004
18.60000,0.03917,5.99722,-0.00004
18.72000,0.29461,5.99722,-0.00004
18.84000,0.73184,5.99722,-0.00004
18.96000,1.24869,5.99722,-0.00004
19.08000,1.72443,5.99722,-0.00004
19.20000,2.04789,5.99722,-0.00004
19.32000,2.14351,5.99722,-0.00004
19.44000,1.98895,5.99722,-0.00004
19.56000,1.62032,5.99722,-0.00005
19.68000,1.12374,5.99722,-0.00005
19.80000,0.61523,5.99722,-0.00005
