t,Fz,Fmag,Lz
0.12000,0.14276,5.99708,0.00027
0.24000,0.52452,5.99677,0.00303
0.36000,1.02276,5.99532,0.01394
0.48000,1.48394,5.99078,0.03916
0.60000,1.77906,5.98142,0.08184
0.72000,1.84506,5.96735,0.14007
0.84000,1.69518,5.95083,0.20812
0.96000,1.40099,5.93553,0.27957
1.08000,1.06252,5.92543,0.34961
1.20000,0.77991,5.92323,0.41556
1.32000,0.63135,5.92903,0.47630
1.44000,0.65752,5.94024,0.53174
1.56000,0.85209,5.95264,0.58309
1.68000,1.15927,5.96206,0.63409
1.80000,1.48150,5.96628,0.69163
1.92000,1.70152,5.96590,0.76191
2.04000,1.71964,5.96305,0.84162
2.16000,1.49692,5.95928,0.91768
2.28000,1.08344,5.95464,0.97838
2.40000,0.60620,5.94945,1.02161
2.52000,0.21813,5.94579,1.05691
2.64000,0.04134,5.94566,1.09461
2.76000,0.13172,5.94885,1.13837
2.88000,0.47114,5.95298,1.18792
3.00000,0.98288,5.95457,1.24813
3.12000,1.55907,5.95090,1.32846
3.24000,2.08621,5.94204,1.43308
3.36000,2.46168,5.93152,1.55378
3.48000,2.60429,5.92323,1.67380
3.60000,2.46632,5.91727,1.76693
3.72000,2.04922,5.91032,1.79363
3.84000,1.41736,5.89957,1.74300
3.96000,0.69645,5.88686,1.62070
4.08000,0.05219,5.87705,1.42757
4.20000,-0.35424,5.87483,1.27233
4.32000,-0.41662,5.87927,1.16282
4.44000,-0.12539,5.88929,1.04154
4.56000,0.41868,5.90143,0.89903
4.68000,1.04757,5.90812,0.76333
4.80000,1.60559,5.90244,0.70406
4.92000,2.00991,5.88499,0.75059
5.04000,2.24721,5.86463,0.88087
5.16000,2.32939,5.84891,1.05211
5.28000,2.26745,5.83919,1.21046
5.40000,2.07292,5.83308,1.32870
5.52000,1.76633,5.82694,1.41057
5.64000,1.38295,5.81907,1.44685
5.76000,0.97518,5.80969,1.43653
5.88000,0.60773,5.80111,1.42429
6.00000,0.34564,5.79695,1.35714
6.12000,0.23537,5.80012,1.22316
6.24000,0.28978,5.80467,1.08089
6.36000,0.48246,5.80683,0.92859
6.48000,0.74637,5.80831,0.77135
6.60000,1.03541,5.80388,0.67500
6.72000,1.32588,5.79200,0.64688
6.84000,1.60135,5.77543,0.65993
6.96000,1.83977,5.76001,0.70264
7.08000,2.01350,5.75009,0.77055
7.20000,2.09346,5.74563,0.84212
7.32000,2.05179,5.74265,0.90795
7.44000,1.87043,5.73613,0.95183
7.56000,1.55212,5.72328,0.97710
7.68000,1.13260,5.70612,0.96189
7.80000,0.68338,5.68869,0.94925
7.92000,0.30131,5.67282,0.94545
8.04000,0.08532,5.66040,0.94002
8.16000,0.09501,5.65427,0.87990
8.28000,0.31336,5.65328,0.78259
8.40000,0.67916,5.65324,0.69742
8.52000,1.11852,5.65005,0.64672
8.64000,1.55672,5.64161,0.63886
8.76000,1.92420,5.63158,0.67284
8.88000,2.17079,5.62480,0.73852
9.00000,2.25482,5.62193,0.81229
9.12000,2.15409,5.61947,0.90442
9.24000,1.87299,5.61365,0.99654
9.36000,1.44992,5.60377,1.10503
9.48000,0.95913,5.59134,1.17139
9.60000,0.49519,5.57816,1.18906
9.72000,0.15949,5.56736,1.16475
9.84000,0.03310,5.56149,1.14338
9.96000,0.14626,5.56334,1.11465
10.08000,0.45701,5.56552,1.05558
10.20000,0.85425,5.56492,0.94792
10.32000,1.23065,5.56266,0.84257
10.44000,1.53618,5.55443,0.74428
10.56000,1.76078,5.54144,0.70967
10.68000,1.89818,5.52945,0.74602
10.80000,1.94300,5.52096,0.76807
10.92000,1.88871,5.51614,0.78354
11.04000,1.73746,5.51318,0.82825
11.16000,1.50554,5.50845,0.90397
11.28000,1.22199,5.50009,0.93466
11.40000,0.92754,5.48825,0.96223
11.52000,0.66873,5.47537,0.93206
11.64000,0.49372,5.46434,0.87759
11.76000,0.43653,5.45707,0.83365
11.88000,0.50305,5.45188,0.78401
12.00000,0.66146,5.44798,0.74472
12.12000,0.87142,5.44177,0.69656
12.24000,1.10901,5.43614,0.65090
12.36000,1.35460,5.43112,0.63607
12.48000,1.57865,5.42688,0.65526
12.60000,1.74992,5.42425,0.72053
12.72000,1.84054,5.42431,0.79271
12.84000,1.82928,5.42656,0.84463
12.96000,1.70877,5.42811,0.91583
13.08000,1.49016,5.42513,0.96596
13.20000,1.20324,5.41555,1.03238
13.32000,0.89356,5.40135,1.03893
13.44000,0.61552,5.38559,1.00700
13.56000,0.42446,5.37234,0.99218
13.68000,0.36568,5.36231,0.96953
13.80000,0.44264,5.35956,0.94418
13.92000,0.62066,5.36056,0.88202
14.04000,0.86071,5.36320,0.79561
14.16000,1.14068,5.36564,0.75101
14.28000,1.42895,5.36573,0.76577
14.40000,1.68306,5.36500,0.82086
14.52000,1.85790,5.36454,0.88909
14.64000,1.91776,5.36497,0.94662
14.76000,1.84260,5.36571,1.02748
14.88000,1.63474,5.36498,1.12896
15.00000,1.32267,5.35992,1.23232
15.12000,0.96124,5.35033,1.26051
15.24000,0.62198,5.33839,1.28733
15.36000,0.38055,5.32538,1.28682
15.48000,0.29616,5.31405,1.24346
15.60000,0.38595,5.30737,1.17761
15.72000,0.60963,5.30384,1.11030
15.84000,0.89179,5.30242,1.02292
15.96000,1.17812,5.30184,0.90929
16.08000,1.43949,5.29989,0.83753
16.20000,1.64791,5.29734,0.80906
16.32000,1.77267,5.29589,0.82112
16.44000,1.78789,5.29566,0.87916
16.56000,1.68705,5.29541,0.91528
16.68000,1.48451,5.29374,0.97919
16.80000,1.21466,5.28944,1.06610
16.92000,0.92675,5.28094,1.15568
17.04000,0.67516,5.26969,1.22113
17.16000,0.50793,5.25767,1.26915
17.28000,0.45672,5.24732,1.26802
17.40000,0.53121,5.23947,1.24871
17.52000,0.70009,5.23695,1.20296
17.64000,0.90383,5.23616,1.16298
17.76000,1.09831,5.23333,1.13340
17.88000,1.27729,5.22975,1.12568
18.00000,1.43476,5.22605,1.11868
18.12000,1.54932,5.22370,1.11805
18.24000,1.59993,5.22303,1.10870
18.36000,1.57264,5.22350,1.14536
18.48000,1.46766,5.22434,1.20281
18.60000,1.29737,5.22398,1.26402
18.72000,1.08695,5.22018,1.33887
18.84000,0.87248,5.21237,1.37518
18.96000,0.69307,5.20215,1.39653
19.08000,0.58442,5.19170,1.34998
19.20000,0.56972,5.18264,1.27445
19.32000,0.64741,5.17581,1.17438
19.44000,0.78395,5.17223,1.08672
19.56000,0.94060,5.16819,1.01392
19.68000,1.10022,5.16483,0.95640
19.80000,1.26224,5.16129,0.90053
19.92000,1.41473,5.15876,0.88048
20.04000,1.53120,5.15795,0.86935
20.16000,1.58287,5.15811,0.90540
20.28000,1.55312,5.15827,0.96102
20.40000,1.43898,5.15806,1.02080
20.52000,1.25416,5.15589,1.07535
20.64000,1.02713,5.15091,1.15326
20.76000,0.80014,5.14215,1.16648
20.88000,0.61916,5.13016,1.15942
21.00000,0.52421,5.11773,1.18421
21.12000,0.53741,5.10741,1.13371
21.24000,0.64648,5.10051,1.08533
21.36000,0.81391,5.09651,1.02326
21.48000,1.00191,5.09386,0.94014
21.60000,1.19458,5.09205,0.86798
21.72000,1.37712,5.09050,0.80639
21.84000,1.52176,5.08990,0.77473
21.96000,1.59953,5.09044,0.80396
22.08000,1.58827,5.09141,0.82229
22.20000,1.48184,5.09159,0.89409
22.32000,1.29269,5.08927,0.96531
22.44000,1.05017,5.08482,1.01943
22.56000,0.79858,5.07752,1.09082
22.68000,0.58996,5.06887,1.13034
22.80000,0.47537,5.05724,1.14251
22.92000,0.48726,5.04547,1.16427
23.04000,0.61954,5.03786,1.15335
23.16000,0.82303,5.03674,1.12227
23.28000,1.02987,5.03533,1.05650
23.40000,1.20832,5.03289,0.99088
23.52000,1.35469,5.03025,0.90998
23.64000,1.46160,5.02906,0.88292
23.76000,1.51351,5.02941,0.84889
23.88000,1.49763,5.03016,0.82548
24.00000,1.41257,5.03101,0.81841
24.12000,1.26597,5.03049,0.85052
24.24000,1.07881,5.02755,0.88431
24.36000,0.88219,5.02183,0.93021
24.48000,0.71165,5.01389,0.97515
24.60000,0.59992,5.00511,1.01396
24.72000,0.57114,4.99638,1.06823
24.84000,0.63248,4.98882,1.10903
24.96000,0.76295,4.98510,1.09581
25.08000,0.92043,4.98423,1.08765
25.20000,1.07354,4.98297,1.04836
25.32000,1.21505,4.98134,1.00201
25.44000,1.33764,4.98030,0.96749
25.56000,1.42583,4.98055,0.92691
25.68000,1.46090,4.98120,0.90330
25.80000,1.43164,4.98150,0.95315
25.92000,1.33652,4.98112,0.99137
26.04000,1.18649,4.97996,1.03763
26.16000,1.00349,4.97716,1.06195
26.28000,0.82023,4.97278,1.11661
26.40000,0.67173,4.96664,1.17705
26.52000,0.59049,4.95834,1.19282
26.64000,0.59373,4.94998,1.21754
26.76000,0.67738,4.94312,1.21373
26.88000,0.81284,4.93811,1.20055
27.00000,0.96487,4.93398,1.09827
27.12000,1.11543,4.93055,1.01369
27.24000,1.25330,4.92802,0.94605
27.36000,1.36290,4.92696,0.90273
27.48000,1.42636,4.92698,0.85173
27.60000,1.43050,4.92707,0.84157
27.72000,1.37226,4.92738,0.86230
27.84000,1.25601,4.92671,0.86695
27.96000,1.09627,4.92363,0.89230
28.08000,0.91613,4.91728,0.94403
28.20000,0.74865,4.90851,0.99810
28.32000,0.62747,4.89909,1.04607
28.44000,0.58024,4.89052,1.08744
28.56000,0.61898,4.88357,1.10364
28.68000,0.73110,4.87926,1.08933
28.80000,0.88274,4.87747,1.04040
28.92000,1.04299,4.87693,0.96396
29.04000,1.19655,4.87686,0.89100
29.16000,1.32791,4.87698,0.86435
29.28000,1.41584,4.87750,0.86138
29.40000,1.43972,4.87803,0.84392
29.52000,1.39001,4.87827,0.83682
29.64000,1.27195,4.87809,0.89619
29.76000,1.10333,4.87722,0.91984
29.88000,0.91536,4.87434,0.96489
30.00000,0.74374,4.86911,1.02870
