t,Fz,Fmag,Lz
0.12000,0.12606,5.99553,0.00001
0.24000,0.48349,5.99027,-0.00086
0.36000,1.01286,5.97992,-0.00394
0.48000,1.62335,5.96130,-0.00992
0.60000,2.20228,5.92973,-0.01785
0.72000,2.62582,5.88196,-0.02600
0.84000,2.77505,5.82143,-0.03428
0.96000,2.56581,5.75916,-0.04426
1.08000,1.99244,5.70746,-0.05684
1.20000,1.16166,5.67430,-0.07254
1.32000,0.27865,5.66129,-0.09365
1.44000,-0.42414,5.66324,-0.12379
1.56000,-0.77261,5.67105,-0.16488
1.68000,-0.70137,5.67661,-0.21551
1.80000,-0.25563,5.67671,-0.27277
1.92000,0.44291,5.67413,-0.33192
2.04000,1.24701,5.67154,-0.38404
2.16000,2.02647,5.66513,-0.43445
2.28000,2.67900,5.65098,-0.50593
2.40000,3.11756,5.62132,-0.61123
2.52000,3.25437,5.57094,-0.73280
2.64000,3.01080,5.51150,-0.84563
2.76000,2.35453,5.45897,-0.93867
2.88000,1.35032,5.41954,-1.02011
3.00000,0.19741,5.39225,-1.10154
3.12000,-0.81294,5.37446,-1.18357
3.24000,-1.41696,5.36349,-1.25675
3.36000,-1.47677,5.35686,-1.31064
3.48000,-1.00320,5.35023,-1.33336
3.60000,-0.12856,5.34299,-1.30209
3.72000,0.94364,5.33537,-1.18943
3.84000,1.99676,5.32093,-1.02403
3.96000,2.84425,5.28031,-0.86265
4.08000,3.34527,5.20274,-0.72976
4.20000,3.40604,5.10713,-0.63502
4.32000,2.98696,5.02311,-0.57589
4.44000,2.13823,4.96130,-0.53622
4.56000,1.02176,4.91533,-0.49722
4.68000,-0.11995,4.87860,-0.46056
4.80000,-1.02858,4.84973,-0.44659
4.92000,-1.49774,4.83089,-0.46120
5.04000,-1.42866,4.81952,-0.49767
5.16000,-0.85377,4.80969,-0.54196
5.28000,0.07762,4.80276,-0.59636
5.40000,1.14780,4.80249,-0.64055
5.52000,2.12647,4.79873,-0.66109
5.64000,2.81745,4.77270,-0.65629
5.76000,3.08487,4.71914,-0.62624
5.88000,2.87396,4.66359,-0.57595
6.00000,2.21337,4.62837,-0.53570
6.12000,1.23187,4.61235,-0.49019
6.24000,0.14767,4.60972,-0.43927
6.36000,-0.78821,4.60960,-0.40192
6.48000,-1.35875,4.60387,-0.37964
6.60000,-1.43548,4.59189,-0.34251
6.72000,-1.00599,4.57652,-0.29395
6.84000,-0.17385,4.56485,-0.24006
6.96000,0.87055,4.56085,-0.19261
7.08000,1.90337,4.55847,-0.15054
7.20000,2.70869,4.53531,-0.12785
7.32000,3.11842,4.47640,-0.11287
7.44000,3.02054,4.40081,-0.10163
7.56000,2.37788,4.33832,-0.08779
7.68000,1.29973,4.29467,-0.05680
7.80000,0.04692,4.26976,-0.03302
7.92000,-1.06049,4.26281,-0.02702
8.04000,-1.75183,4.26373,-0.04170
8.16000,-1.87143,4.26072,-0.04414
8.28000,-1.40820,4.24798,-0.04205
8.40000,-0.48409,4.22906,-0.01834
8.52000,0.67423,4.21267,0.03061
8.64000,1.79949,4.20013,0.09181
8.76000,2.66395,4.18130,0.14411
8.88000,3.10777,4.14577,0.16963
9.00000,3.04799,4.10314,0.17088
9.12000,2.47875,4.07044,0.15094
9.24000,1.47999,4.04938,0.12962
9.36000,0.25317,4.03471,0.12190
9.48000,-0.91297,4.02596,0.11287
9.60000,-1.73229,4.02142,0.09175
9.72000,-2.01174,4.01468,0.06393
9.84000,-1.68922,4.00401,0.04555
9.96000,-0.84686,3.99381,0.04005
10.08000,0.31437,3.98589,0.05375
10.20000,1.52287,3.97832,0.08650
10.32000,2.50160,3.96678,0.12600
10.44000,3.03594,3.94443,0.15301
10.56000,3.02031,3.91310,0.17334
10.68000,2.46801,3.88202,0.17962
10.80000,1.50114,3.85784,0.17432
10.92000,0.33196,3.84024,0.16648
11.04000,-0.77896,3.82465,0.15924
11.16000,-1.58006,3.80701,0.14154
11.28000,-1.88859,3.78687,0.12475
11.40000,-1.63735,3.76762,0.10534
11.52000,-0.88997,3.75484,0.08898
11.64000,0.17561,3.74834,0.07727
11.76000,1.30972,3.74442,0.07775
11.88000,2.25327,3.73537,0.07528
12.00000,2.79634,3.71877,0.08917
12.12000,2.82442,3.70162,0.10095
12.24000,2.33749,3.69028,0.08706
12.36000,1.44500,3.68202,0.07530
12.48000,0.35022,3.67471,0.07588
12.60000,-0.69897,3.66797,0.08422
12.72000,-1.46326,3.65736,0.09350
12.84000,-1.76543,3.64130,0.11463
12.96000,-1.53549,3.62182,0.13364
13.08000,-0.83079,3.60311,0.14029
13.20000,0.17811,3.59005,0.13705
13.32000,1.25116,3.58307,0.14337
13.44000,2.13887,3.57584,0.15187
13.56000,2.64201,3.56103,0.14946
13.68000,2.65364,3.53766,0.14265
13.80000,2.17572,3.51702,0.14764
13.92000,1.31305,3.50712,0.15067
14.04000,0.25967,3.50480,0.15825
14.16000,-0.73999,3.50298,0.17110
14.28000,-1.45116,3.49654,0.17087
14.40000,-1.70969,3.48274,0.16949
14.52000,-1.46095,3.46434,0.17522
14.64000,-0.76816,3.44696,0.18481
14.76000,0.20670,3.43501,0.19437
14.88000,1.23767,3.42631,0.20391
15.00000,2.08912,3.41630,0.20947
15.12000,2.57496,3.40142,0.22048
15.24000,2.59027,3.38408,0.22665
15.36000,2.12873,3.37112,0.21717
15.48000,1.28849,3.36400,0.20287
15.60000,0.25670,3.35898,0.20857
15.72000,-0.72899,3.35281,0.19857
15.84000,-1.43721,3.34383,0.20034
15.96000,-1.70222,3.33084,0.20891
16.08000,-1.46076,3.31432,0.21781
16.20000,-0.77115,3.30162,0.22355
16.32000,0.20146,3.29647,0.21748
16.44000,1.22573,3.29333,0.21685
16.56000,2.06153,3.28558,0.22013
16.68000,2.51883,3.26796,0.22316
16.80000,2.49967,3.24519,0.22000
16.92000,2.01148,3.22425,0.20615
17.04000,1.16861,3.20884,0.19267
17.16000,0.16331,3.19859,0.18442
17.28000,-0.77275,3.19175,0.16396
17.40000,-1.42311,3.18493,0.16313
