t,Fz,Fmag,Lz
0.12000,0.12432,5.99708,0.00024
0.24000,0.45701,5.99681,0.00265
0.36000,0.89178,5.99565,0.01222
0.48000,1.29449,5.99210,0.03455
0.60000,1.55085,5.98471,0.07292
0.72000,1.60326,5.97327,0.12632
0.84000,1.46206,5.95918,0.19006
0.96000,1.19149,5.94516,0.25812
1.08000,0.88295,5.93471,0.32532
1.20000,0.62797,5.93087,0.38835
1.32000,0.49711,5.93469,0.44580
1.44000,0.52616,5.94461,0.49782
1.56000,0.70953,5.95702,0.54597
1.68000,1.00038,5.96786,0.59350
1.80000,1.31811,5.97444,0.64598
1.92000,1.56454,5.97643,0.71047
2.04000,1.64908,5.97517,0.79089
2.16000,1.51947,5.97219,0.88198
2.28000,1.18905,5.96859,0.97235
2.40000,0.74328,5.96505,1.05324
2.52000,0.31317,5.96202,1.12443
2.64000,0.02841,5.96015,1.18978
2.76000,-0.02760,5.96032,1.24753
2.88000,0.15562,5.96274,1.29065
3.00000,0.51718,5.96603,1.31618
3.12000,0.95442,5.96686,1.33691
3.24000,1.36346,5.96139,1.37875
3.36000,1.66844,5.94894,1.46379
3.48000,1.83064,5.93373,1.59497
3.60000,1.84319,5.92162,1.75583
3.72000,1.72230,5.91572,1.92092
3.84000,1.50058,5.91517,2.05237
3.96000,1.22354,5.91700,2.08583
4.08000,0.94510,5.91814,2.02886
4.20000,0.71629,5.91709,1.90522
4.32000,0.57117,5.91519,1.70949
4.44000,0.51733,5.91558,1.52409
4.56000,0.53728,5.91902,1.38421
4.68000,0.58959,5.92216,1.26545
4.80000,0.62609,5.92305,1.13544
4.92000,0.63455,5.92236,0.98731
5.04000,0.64172,5.91761,0.85990
5.16000,0.69649,5.90683,0.80588
5.28000,0.83488,5.89247,0.84157
5.40000,1.05666,5.87806,0.94680
5.52000,1.32870,5.86564,1.08937
5.64000,1.60101,5.85577,1.22544
5.76000,1.81881,5.84831,1.35059
5.88000,1.93025,5.84304,1.45514
6.00000,1.89563,5.83932,1.54360
6.12000,1.69624,5.83528,1.61576
6.24000,1.34340,5.82960,1.64951
6.36000,0.88698,5.82331,1.64161
6.48000,0.41488,5.82010,1.58670
6.60000,0.03570,5.82228,1.54142
6.72000,-0.14247,5.82578,1.52281
6.84000,-0.05126,5.82822,1.47301
6.96000,0.27798,5.83005,1.38153
7.08000,0.74083,5.82704,1.27695
7.20000,1.20347,5.81682,1.19555
7.32000,1.56330,5.79888,1.13560
7.44000,1.77154,5.77599,1.15597
7.56000,1.82108,5.75400,1.25711
7.68000,1.73481,5.73709,1.39019
7.80000,1.55607,5.72718,1.51715
7.92000,1.33402,5.72389,1.62874
8.04000,1.11297,5.72532,1.72124
8.16000,0.92379,5.72955,1.76982
8.28000,0.78276,5.73292,1.75923
8.40000,0.69898,5.73540,1.72759
8.52000,0.66905,5.73698,1.66100
8.64000,0.67612,5.73734,1.55460
8.76000,0.69776,5.73785,1.44243
8.88000,0.71671,5.73376,1.28601
9.00000,0.73028,5.72639,1.08938
9.12000,0.75016,5.71475,0.90595
9.24000,0.79560,5.69911,0.76259
9.36000,0.87688,5.68119,0.66500
9.48000,0.99086,5.66521,0.62277
9.60000,1.12337,5.65488,0.65142
9.72000,1.25950,5.64977,0.73078
9.84000,1.38656,5.64785,0.84505
9.96000,1.48716,5.64789,0.93591
10.08000,1.53440,5.64809,1.01453
10.20000,1.49877,5.64768,1.09364
10.32000,1.36010,5.64672,1.17824
10.44000,1.12211,5.64434,1.23254
10.56000,0.81757,5.64314,1.21543
10.68000,0.51548,5.64402,1.17473
10.80000,0.30031,5.64451,1.15864
10.92000,0.24318,5.64296,1.08724
11.04000,0.35963,5.64257,0.93645
11.16000,0.60040,5.64291,0.77794
11.28000,0.88587,5.64095,0.65675
11.40000,1.14502,5.63458,0.58005
11.52000,1.33224,5.62331,0.54771
11.64000,1.42708,5.60830,0.57689
11.76000,1.43679,5.59282,0.67298
11.88000,1.38459,5.58150,0.79250
12.00000,1.29139,5.57609,0.90546
12.12000,1.17379,5.57565,1.00483
12.24000,1.04824,5.57707,1.08396
12.36000,0.93084,5.57867,1.15224
12.48000,0.83586,5.58005,1.20658
12.60000,0.77439,5.58121,1.24938
12.72000,0.74985,5.58290,1.23799
12.84000,0.74972,5.58243,1.16539
12.96000,0.75191,5.58036,1.04494
13.08000,0.74405,5.57599,0.92886
13.20000,0.73794,5.57043,0.81699
13.32000,0.74855,5.56252,0.72872
13.44000,0.79001,5.54917,0.70830
13.56000,0.86677,5.53188,0.73448
13.68000,0.97131,5.51522,0.83209
13.80000,1.09143,5.50165,0.92276
13.92000,1.20911,5.49202,1.01061
14.04000,1.30291,5.48870,1.12369
14.16000,1.35399,5.49054,1.20730
14.28000,1.34324,5.49327,1.29693
14.40000,1.25925,5.49409,1.41812
14.52000,1.10552,5.49256,1.49011
14.64000,0.90565,5.49008,1.58663
14.76000,0.70189,5.48926,1.59301
14.88000,0.55006,5.48843,1.54856
15.00000,0.49441,5.48574,1.42465
15.12000,0.53590,5.48206,1.30170
15.24000,0.65318,5.47831,1.19539
15.36000,0.80988,5.47456,1.10058
15.48000,0.96033,5.46960,1.03962
15.60000,1.07180,5.46126,0.99925
15.72000,1.13568,5.44923,0.98891
15.84000,1.15560,5.43637,1.03820
15.96000,1.14257,5.42537,1.12668
16.08000,1.11066,5.41875,1.23353
16.20000,1.07361,5.41678,1.31418
16.32000,1.03534,5.41763,1.40416
16.44000,0.99848,5.41874,1.49332
16.56000,0.96224,5.41812,1.53415
16.68000,0.92627,5.41856,1.56585
16.80000,0.89140,5.42146,1.54334
16.92000,0.85421,5.42205,1.48215
17.04000,0.81404,5.41940,1.37460
17.16000,0.77609,5.41702,1.27611
17.28000,0.74545,5.41479,1.17040
17.40000,0.72816,5.41110,1.05284
17.52000,0.73209,5.40408,0.96116
17.64000,0.77175,5.39220,0.89116
17.76000,0.85041,5.37863,0.88496
17.88000,0.96031,5.36620,0.89460
18.00000,1.08124,5.35815,0.93680
18.12000,1.18421,5.35510,0.97640
18.24000,1.24555,5.35644,1.06318
18.36000,1.25190,5.35943,1.13400
18.48000,1.20086,5.36176,1.18688
18.60000,1.10073,5.36151,1.23575
18.72000,0.96611,5.35943,1.29737
18.84000,0.82318,5.35759,1.28084
18.96000,0.70156,5.35695,1.20160
19.08000,0.62919,5.35462,1.09894
19.20000,0.61491,5.35345,1.01351
19.32000,0.65760,5.35256,0.88461
19.44000,0.74140,5.35050,0.76958
