t,Fx,Fy,Fz,Fperp,Fmag,Lz
0.06000,-4.53415,-2.01751,0.74586,4.96275,5.01848,1.13227
0.12000,-4.53415,-2.01751,0.74586,4.96275,5.01848,1.11695
0.18000,-4.53415,-2.01751,0.74586,4.96275,5.01848,1.09586
0.24000,-4.53415,-2.01751,0.74586,4.96275,5.01848,1.07164
0.30000,-4.53415,-2.01751,0.74586,4.96275,5.01848,1.04917
0.36000,-4.53415,-2.01751,0.74586,4.96275,5.01848,1.03301
0.42000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.99880
0.48000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.96881
0.54000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.94412
0.60000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.91877
0.66000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.89032
0.72000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.85424
0.78000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.82252
0.84000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.79932
0.90000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.76926
0.96000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.73891
1.02000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.71768
1.08000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.69125
1.14000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.67039
1.20000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.64999
1.26000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.63447
1.32000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.62584
1.38000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.61197
1.44000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.59785
1.50000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.57990
1.56000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.57221
1.62000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.57348
1.68000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.56074
1.74000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.55938
1.80000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.57204
1.86000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.56176
1.92000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.56595
1.98000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.57569
2.04000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.57447
2.10000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.57483
2.16000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.56933
2.22000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.56442
2.28000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.56716
2.34000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.56890
2.40000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.58269
2.46000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.59738
2.52000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.61160
2.58000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.62340
2.64000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.63191
2.70000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.62847
2.76000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.62904
2.82000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.62159
2.88000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.61461
2.94000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.61145
3.00000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.61568
3.06000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.60723
3.12000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.58502
3.18000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.58085
3.24000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.56635
3.30000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.56330
3.36000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.56175
3.42000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.54200
3.48000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.53366
3.54000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.54211
3.60000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.52739
3.66000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.51338
3.72000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.50797
3.78000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.50657
3.84000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.50244
3.90000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.49603
3.96000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.50513
4.02000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.50751
4.08000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.49929
4.14000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.49606
4.20000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.50442
4.26000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.51143
4.32000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.50755
4.38000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.49960
4.44000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.46866
4.50000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.45709
4.56000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.45004
4.62000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.43783
4.68000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.42182
4.74000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.40862
4.80000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.40247
4.86000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.39613
4.92000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.40512
4.98000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.42361
5.04000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.43424
5.10000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.44075
5.16000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.43839
5.22000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.43985
5.28000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.43054
5.34000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.42599
5.40000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.43846
5.46000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.45173
5.52000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.44514
5.58000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.44004
5.64000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.42548
5.70000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.42933
5.76000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.42887
5.82000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.42782
5.88000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.42492
5.94000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.43047
6.00000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.43512
6.06000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.43794
6.12000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.42406
6.18000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.41013
6.24000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.40837
6.30000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.42046
6.36000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.42776
6.42000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.42693
6.48000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.41729
6.54000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.41581
6.60000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.40979
6.66000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.40584
6.72000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.40951
6.78000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.39426
6.84000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.39263
6.90000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.38114
6.96000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.36140
7.02000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.34413
7.08000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.34807
7.14000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.33905
7.20000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.32558
7.26000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.31601
7.32000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.32035
7.38000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.32731
7.44000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.32014
7.50000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.32263
7.56000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.31096
7.62000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.30853
7.68000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.29732
7.74000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.30989
7.80000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.31391
7.86000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.30387
7.92000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.29604
7.98000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.29673
8.04000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.28818
8.10000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.29620
8.16000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.30294
8.22000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.30792
8.28000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.29651
8.34000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.29446
8.40000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.28715
8.46000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.28495
8.52000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.27479
8.58000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.27172
8.64000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.26450
8.70000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.26178
8.76000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.26910
8.82000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.27966
8.88000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.28981
8.94000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.28579
9.00000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.28749
9.06000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.29810
9.12000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.29240
9.18000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.29029
9.24000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.29207
9.30000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.29627
9.36000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.29329
9.42000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.29557
9.48000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.28819
9.54000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.27465
9.60000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.27437
9.66000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.27945
9.72000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.27750
9.78000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.26723
9.84000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.26808
9.90000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.27491
9.96000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.27000
10.02000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.26922
10.08000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.28226
10.14000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.28660
10.20000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.27478
10.26000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.26916
10.32000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.26606
10.38000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.27243
10.44000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.27330
10.50000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.26961
10.56000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.26634
10.62000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.27460
10.68000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.26432
10.74000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.25581
10.80000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.25581
10.86000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.25149
10.92000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.24096
10.98000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.23837
11.04000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.24317
11.10000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.25170
11.16000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.25213
11.22000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.25315
11.28000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.25541
11.34000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.25609
11.40000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.27703
11.46000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.28822
11.52000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.28755
11.58000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.28040
11.64000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.28171
11.70000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.28722
11.76000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.29728
11.82000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.31347
11.88000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.31226
11.94000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.30334
12.00000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.29668
12.06000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.28313
12.12000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.27918
12.18000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.29188
12.24000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.30164
12.30000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.28801
12.36000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.27666
12.42000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.27674
12.48000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.26973
12.54000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.26025
12.60000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.24232
12.66000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.25232
12.72000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.24137
12.78000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.25247
12.84000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.26185
12.90000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.27316
12.96000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.26192
13.02000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.24328
13.08000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.24344
13.14000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.24538
13.20000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.25083
13.26000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.26311
13.32000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.26294
13.38000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.26108
13.44000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.26834
13.50000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.27804
13.56000,-4.53415,-2.01751,0.74586,4.96275,5.01848,0.28418
