t,Fx,Fy,Fz,Fperp,Fmag,Lz
0.06000,-4.53772,-2.01165,0.71385,4.96363,5.01470,1.15962
0.12000,-4.53740,-2.00756,0.67732,4.96168,5.00770,1.17997
0.18000,-4.53526,-2.00392,0.63503,4.95825,4.99875,1.19769
0.24000,-4.53134,-2.00006,0.58747,4.95311,4.98782,1.21560
0.30000,-4.52586,-1.99548,0.53521,4.94625,4.97512,1.23435
0.36000,-4.51929,-1.98999,0.48011,4.93802,4.96131,1.25075
0.42000,-4.51193,-1.98315,0.42268,4.92853,4.94662,1.23790
0.48000,-4.50469,-1.97472,0.36457,4.91852,4.93201,1.22745
0.54000,-4.49797,-1.96420,0.30591,4.90814,4.91766,1.19780
0.60000,-4.49104,-1.95228,0.24747,4.89702,4.90327,1.18098
0.66000,-4.48376,-1.93900,0.18918,4.88506,4.88872,1.14548
0.72000,-4.47609,-1.92462,0.13189,4.87232,4.87411,1.09371
0.78000,-4.46821,-1.90996,0.07717,4.85931,4.85992,1.03691
0.84000,-4.45991,-1.89562,0.02577,4.84605,4.84612,0.97822
0.90000,-4.45112,-1.88188,-0.02227,4.83259,4.83264,0.92759
0.96000,-4.44220,-1.86871,-0.06586,4.81925,4.81970,0.87725
1.02000,-4.43355,-1.85620,-0.10544,4.80644,4.80760,0.83748
1.08000,-4.42505,-1.84463,-0.14119,4.79414,4.79622,0.80969
1.14000,-4.41698,-1.83347,-0.17287,4.78240,4.78552,0.77289
1.20000,-4.40924,-1.82296,-0.20065,4.77123,4.77544,0.75944
1.26000,-4.40204,-1.81323,-0.22482,4.76086,4.76616,0.72815
1.32000,-4.39559,-1.80387,-0.24526,4.75133,4.75766,0.71095
1.38000,-4.38999,-1.79478,-0.26144,4.74270,4.74990,0.67468
1.44000,-4.38511,-1.78611,-0.27316,4.73492,4.74279,0.63795
1.50000,-4.38103,-1.77742,-0.28013,4.72785,4.73614,0.61254
1.56000,-4.37732,-1.76938,-0.28214,4.72140,4.72982,0.58816
1.62000,-4.37420,-1.76061,-0.27871,4.71523,4.72346,0.55384
1.68000,-4.37126,-1.75144,-0.26961,4.70909,4.71680,0.51818
1.74000,-4.36840,-1.74162,-0.25484,4.70278,4.70968,0.47459
1.80000,-4.36547,-1.73079,-0.23409,4.69606,4.70189,0.43831
