t,Fx,Fy,Fz,Fperp,Fmag,Lz
0.12000,5.76518,1.14268,0.11293,5.87733,5.87841,1.16440
0.24000,5.75840,1.13053,-0.00441,5.86833,5.86833,1.11366
0.36000,5.74842,1.10683,-0.10244,5.85401,5.85491,1.05990
0.48000,5.73660,1.07570,-0.17067,5.83659,5.83908,1.00057
0.60000,5.72401,1.04206,-0.21075,5.81809,5.82190,0.93977
0.72000,5.70996,1.00674,-0.22280,5.79803,5.80231,0.85813
0.84000,5.69566,0.97303,-0.21055,5.77817,5.78201,0.76746
0.96000,5.68002,0.94225,-0.18332,5.75765,5.76057,0.68355
1.08000,5.66248,0.91481,-0.14788,5.73590,5.73781,0.61860
1.20000,5.64459,0.89060,-0.10795,5.71441,5.71543,0.52777
1.32000,5.62688,0.86912,-0.06658,5.69360,5.69399,0.44722
1.44000,5.60962,0.85097,-0.02378,5.67380,5.67385,0.36942
1.56000,5.59171,0.83787,0.02012,5.65413,5.65417,0.29722
1.68000,5.57300,0.83065,0.06502,5.63456,5.63493,0.23042
1.80000,5.55286,0.82905,0.10931,5.61441,5.61547,0.16816
1.92000,5.53187,0.83048,0.15292,5.59386,5.59595,0.12489
2.04000,5.51058,0.83212,0.19559,5.57305,5.57648,0.07792
2.16000,5.49039,0.83039,0.23419,5.55283,5.55776,0.01970
2.28000,5.47211,0.82580,0.26691,5.53407,5.54051,-0.03447
2.40000,5.45594,0.81806,0.29502,5.51693,5.52481,-0.07378
2.52000,5.44020,0.80843,0.31657,5.49994,5.50904,-0.09095
2.64000,5.42421,0.79796,0.33165,5.48259,5.49262,-0.11561
2.76000,5.40638,0.78781,0.33873,5.46348,5.47397,-0.11609
2.88000,5.38706,0.77634,0.33626,5.44271,5.45309,-0.09874
3.00000,5.36541,0.76352,0.32366,5.41946,5.42912,-0.08823
3.12000,5.34091,0.75149,0.30168,5.39352,5.40195,-0.05577
3.24000,5.31459,0.74003,0.27296,5.36586,5.37280,-0.02525
3.36000,5.28884,0.73016,0.23916,5.33901,5.34436,0.00338
3.48000,5.26509,0.72226,0.20213,5.31439,5.31824,0.03557
3.60000,5.24458,0.71611,0.16291,5.29324,5.29575,0.05448
3.72000,5.22759,0.71129,0.12309,5.27576,5.27719,0.08575
3.84000,5.21335,0.70799,0.08623,5.26120,5.26191,0.11429
3.96000,5.20090,0.70607,0.05419,5.24861,5.24889,0.13723
4.08000,5.19039,0.70493,0.02723,5.23804,5.23811,0.14335
4.20000,5.18018,0.70528,0.00699,5.22797,5.22798,0.15782
4.32000,5.17010,0.70614,-0.00800,5.21810,5.21811,0.16522
4.44000,5.16001,0.70702,-0.01947,5.20822,5.20826,0.17443
4.56000,5.15029,0.70770,-0.02681,5.19868,5.19875,0.16277
4.68000,5.14068,0.70789,-0.02978,5.18919,5.18928,0.15089
4.80000,5.13164,0.70804,-0.02765,5.18026,5.18033,0.12279
