t,Fx,Fy,Fz,Fmag,Lz
0.25000,-0.00728,-0.14512,5.84368,5.84549,0.15451
0.50000,-0.02780,-0.28427,5.83737,5.84435,0.15562
0.75000,-0.05782,-0.41232,5.82736,5.84221,0.15767
1.00000,-0.09182,-0.52567,5.81454,5.83898,0.16065
1.25000,-0.12370,-0.62271,5.80014,5.83478,0.16435
1.50000,-0.14788,-0.70372,5.78539,5.82991,0.16846
1.75000,-0.16006,-0.77045,5.77133,5.82473,0.17267
2.00000,-0.15760,-0.82556,5.75863,5.81964,0.17679
2.25000,-0.13980,-0.87201,5.74757,5.81503,0.18080
2.50000,-0.10820,-0.91243,5.73814,5.81124,0.18479
2.75000,-0.06641,-0.94828,5.73020,5.80851,0.18893
3.00000,-0.01957,-0.97921,5.72358,5.80677,0.19342
3.25000,0.02658,-1.00280,5.71826,5.80559,0.19844
3.50000,0.06722,-1.01501,5.71461,5.80444,0.20385
3.75000,0.09952,-1.01151,5.71332,5.80303,0.20916
4.00000,0.12293,-0.98888,5.71512,5.80135,0.21371
4.25000,0.13878,-0.94524,5.72027,5.79950,0.21708
4.50000,0.14978,-0.88027,5.72833,5.79751,0.21926
4.75000,0.15942,-0.79551,5.73823,5.79531,0.22065
5.00000,0.17117,-0.69451,5.74843,5.79277,0.22196
5.25000,0.18758,-0.58235,5.75730,5.78972,0.22398
5.50000,0.20986,-0.46490,5.76355,5.78608,0.22731
5.75000,0.23746,-0.34796,5.76643,5.78180,0.23222
6.00000,0.26790,-0.23632,5.76583,5.77688,0.23868
6.25000,0.29725,-0.13283,5.76236,5.77155,0.24617
6.50000,0.32086,-0.03817,5.75738,5.76644,0.25363
6.75000,0.33398,0.04918,5.75269,5.76258,0.25957
7.00000,0.33254,0.13266,5.74987,5.76101,0.26265
7.25000,0.31448,0.21658,5.74952,5.76219,0.26235
7.50000,0.28048,0.30469,5.75091,5.76580,0.25928
7.75000,0.23334,0.39892,5.75239,5.77092,0.25494
8.00000,0.17692,0.49908,5.75205,5.77637,0.25111
8.25000,0.11532,0.60291,5.74832,5.78100,0.24944
8.50000,0.05247,0.70614,5.74035,5.78386,0.25103
8.75000,-0.00829,0.80292,5.72838,5.78438,0.25615
9.00000,-0.06443,0.88673,5.71382,5.78258,0.26409
9.25000,-0.11454,0.95122,5.69896,5.77894,0.27327
9.50000,-0.15873,0.99094,5.68649,5.77437,0.28169
9.75000,-0.19891,1.00241,5.67878,5.77000,0.28741
10.00000,-0.23828,0.98512,5.67697,5.76674,0.28941
10.25000,-0.28010,0.94160,5.68052,5.76484,0.28802
10.50000,-0.32639,0.87651,5.68753,5.76392,0.28465
10.75000,-0.37725,0.79566,5.69576,5.76343,0.28095
11.00000,-0.43075,0.70528,5.70337,5.76294,0.27821
11.25000,-0.48311,0.61138,5.70933,5.76226,0.27705
11.50000,-0.52939,0.51883,5.71357,5.76145,0.27736
