t,Fx,Fy,Fz,Fmag,Lz
0.25000,-0.02544,-0.14375,5.84366,5.84549,0.15451
0.50000,-0.09914,-0.27349,5.83710,5.84435,0.15562
0.75000,-0.21362,-0.37697,5.82609,5.84218,0.15765
1.00000,-0.35765,-0.44522,5.81083,5.83882,0.16050
1.25000,-0.51816,-0.47354,5.79192,5.83431,0.16377
1.50000,-0.68227,-0.46157,5.77027,5.82877,0.16678
1.75000,-0.83872,-0.41259,5.74691,5.82243,0.16873
2.00000,-0.97893,-0.33263,5.72289,5.81553,0.16883
2.25000,-1.09779,-0.22934,5.69903,5.80833,0.16651
2.50000,-1.19412,-0.11045,5.67577,5.80107,0.16153
2.75000,-1.27026,0.01786,5.65305,5.79404,0.15410
3.00000,-1.33078,0.15252,5.63022,5.78737,0.14494
3.25000,-1.38013,0.29434,5.60609,5.78097,0.13520
3.50000,-1.42037,0.44714,5.57928,5.77458,0.12614
3.75000,-1.45011,0.61542,5.54861,5.76790,0.11878
4.00000,-1.46477,0.80238,5.51323,5.76065,0.11379
4.25000,-1.45701,1.00887,5.47271,5.75250,0.11141
4.50000,-1.41757,1.23246,5.42726,5.74314,0.11132
4.75000,-1.33706,1.46651,5.37776,5.73225,0.11258
5.00000,-1.20876,1.70019,5.32559,5.71959,0.11387
5.25000,-1.03027,1.92034,5.27231,5.70494,0.11378
5.50000,-0.80387,2.11348,5.21947,5.68822,0.11101
5.75000,-0.53654,2.26773,5.16837,5.66944,0.10457
6.00000,-0.23923,2.37459,5.11972,5.64867,0.09409
6.25000,0.07521,2.42967,5.07368,5.62593,0.07980
6.50000,0.39370,2.43247,5.03008,5.60121,0.06220
6.75000,0.70395,2.38679,4.98859,5.57480,0.04193
7.00000,0.99636,2.30086,4.94838,5.54735,0.02003
7.25000,1.26625,2.18479,4.90797,5.51950,-0.00200
7.50000,1.51385,2.04665,4.86573,5.49143,-0.02261
7.75000,1.74170,1.89052,4.82032,5.46289,-0.04070
8.00000,1.95233,1.71751,4.77093,5.43352,-0.05566
8.25000,2.14759,1.52678,4.71705,5.40312,-0.06719
8.50000,2.32809,1.31548,4.65864,5.37154,-0.07537
8.75000,2.49227,1.07942,4.59623,5.33872,-0.08072
9.00000,2.63606,0.81485,4.53088,5.30487,-0.08421
9.25000,2.75301,0.51968,4.46426,5.27056,-0.08734
9.50000,2.83439,0.19452,4.39869,5.23642,-0.09223
9.75000,2.87058,-0.15533,4.33636,5.20272,-0.10089
10.00000,2.85438,-0.51940,4.27825,5.16920,-0.11418
10.25000,2.78313,-0.88441,4.22405,5.13523,-0.13173
10.50000,2.65796,-1.23745,4.17313,5.10010,-0.15292
10.75000,2.48222,-1.56732,4.12534,5.06323,-0.17760
11.00000,2.26175,-1.86475,4.08069,5.02442,-0.20576
11.25000,2.00516,-2.12325,4.03872,4.98398,-0.23681
11.50000,1.72191,-2.33981,3.99848,4.94242,-0.26967
11.75000,1.41938,-2.51388,3.95926,4.90000,-0.30333
12.00000,1.10268,-2.64548,3.92056,4.85646,-0.33698
12.25000,0.77583,-2.73462,3.88180,4.81128,-0.36969
12.50000,0.44223,-2.78110,3.84247,4.76389,-0.40062
12.75000,0.10524,-2.78460,3.80224,4.71403,-0.42929
