t,Fx,Fy,Fz,Fmag,Lz
0.25000,-0.00000,0.00000,5.84549,5.84549,0.15451
0.50000,0.00000,0.00000,5.84445,5.84445,0.15555
0.75000,-0.00000,-0.00000,5.84264,5.84264,0.15736
1.00000,-0.00000,0.00000,5.84016,5.84016,0.15984
1.25000,0.00000,-0.00000,5.83719,5.83719,0.16281
1.50000,-0.00000,-0.00000,5.83397,5.83397,0.16603
1.75000,-0.00000,0.00000,5.83069,5.83069,0.16931
2.00000,-0.00000,-0.00000,5.82748,5.82748,0.17252
2.25000,-0.00000,0.00000,5.82434,5.82434,0.17566
2.50000,-0.00000,-0.00000,5.82131,5.82131,0.17869
2.75000,-0.00000,0.00000,5.81845,5.81845,0.18155
3.00000,0.00000,-0.00000,5.81585,5.81585,0.18415
3.25000,0.00000,0.00000,5.81350,5.81350,0.18650
3.50000,0.00000,0.00000,5.81131,5.81131,0.18869
3.75000,0.00000,0.00000,5.80925,5.80925,0.19075
4.00000,-0.00000,0.00000,5.80734,5.80734,0.19266
4.25000,0.00000,-0.00000,5.80560,5.80560,0.19440
4.50000,0.00000,-0.00000,5.80401,5.80401,0.19599
4.75000,-0.00000,-0.00000,5.80253,5.80253,0.19747
5.00000,-0.00000,0.00000,5.80116,5.80116,0.19884
5.25000,0.00000,0.00000,5.79994,5.79994,0.20006
5.50000,-0.00000,-0.00000,5.79899,5.79899,0.20101
5.75000,-0.00000,0.00000,5.79844,5.79844,0.20156
6.00000,0.00000,-0.00000,5.79838,5.79838,0.20162
6.25000,-0.00000,-0.00000,5.79883,5.79883,0.20117
6.50000,0.00000,0.00000,5.79980,5.79980,0.20020
6.75000,-0.00000,-0.00000,5.80133,5.80133,0.19867
7.00000,0.00000,-0.00000,5.80336,5.80336,0.19664
7.25000,-0.00000,0.00000,5.80577,5.80577,0.19422
7.50000,0.00000,-0.00000,5.80856,5.80856,0.19144
7.75000,0.00000,0.00000,5.81173,5.81173,0.18827
8.00000,-0.00000,-0.00000,5.81525,5.81525,0.18475
8.25000,-0.00000,0.00000,5.81890,5.81890,0.18109
8.50000,0.00000,-0.00000,5.82243,5.82243,0.17757
8.75000,-0.00000,-0.00000,5.82565,5.82565,0.17435
9.00000,-0.00000,0.00000,5.82854,5.82854,0.17146
9.25000,-0.00000,0.00000,5.83114,5.83114,0.16886
9.50000,-0.00000,-0.00000,5.83356,5.83356,0.16644
9.75000,0.00000,-0.00000,5.83585,5.83585,0.16415
10.00000,0.00000,0.00000,5.83794,5.83794,0.16206
10.25000,0.00000,-0.00000,5.83974,5.83974,0.16026
10.50000,0.00000,-0.00000,5.84118,5.84118,0.15881
10.75000,-0.00000,0.00000,5.84231,5.84231,0.15769
11.00000,0.00000,-0.00000,5.84311,5.84311,0.15689
11.25000,-0.00000,-0.00000,5.84354,5.84354,0.15645
11.50000,0.00000,0.00000,5.84350,5.84350,0.15650
11.75000,0.00000,-0.00000,5.84290,5.84290,0.15710
12.00000,-0.00000,0.00000,5.84170,5.84170,0.15829
12.25000,0.00000,-0.00000,5.83992,5.83992,0.16008
12.50000,0.00000,-0.00000,5.83755,5.83755,0.16245
12.75000,-0.00000,0.00000,5.83463,5.83463,0.16537
13.00000,0.00000,-0.00000,5.83126,5.83126,0.16874
13.25000,-0.00000,-0.00000,5.82766,5.82766,0.17234
13.50000,0.00000,-0.00000,5.82409,5.82409,0.17591
13.75000,-0.00000,-0.00000,5.82064,5.82064,0.17936
14.00000,-0.00000,-0.00000,5.81728,5.81728,0.18272
