c1_ratio,B_uG,kappa,cluster,orphan
-0.015,0.0,1.0,0,0
-0.015,0.0,1.3,0,0
-0.015,0.0,1.6,0,0
-0.015,0.0,1.9,0,0
-0.015,0.0,2.2,0,0
0.0,0.0,1.0,0,0
0.0,0.0,1.3,0,0
0.0,0.0,1.6,0,0
0.0,0.0,1.9,0,0
0.0,0.0,2.2,0,0
0.0277777778,0.0,1.0,0,0
0.0277777778,0.0,1.3,0,0
0.0277777778,0.0,1.6,0,0
0.0277777778,0.0,1.9,0,0
0.0277777778,0.0,2.2,0,0
-0.015,25.0,1.0,0,0
-0.015,25.0,1.3,0,0
-0.015,25.0,1.6,0,0
-0.015,25.0,1.9,0,0
-0.015,25.0,2.2,0,0
0.0,25.0,1.0,0,0
0.0,25.0,1.3,0,0
0.0,25.0,1.6,0,0
0.0,25.0,1.9,0,0
0.0,25.0,2.2,0,0
0.0277777778,25.0,1.0,0,0
0.0277777778,25.0,1.3,0,1
0.0277777778,25.0,1.6,0,0
0.0277777778,25.0,1.9,0,0
0.0277777778,25.0,2.2,0,0
-0.015,40.0,1.0,0,0
-0.015,40.0,1.3,0,0
-0.015,40.0,1.6,0,0
-0.015,40.0,1.9,0,0
-0.015,40.0,2.2,0,0
0.0,40.0,1.0,0,0
0.0,40.0,1.3,0,0
0.0,40.0,1.6,0,0
0.0,40.0,1.9,0,0
0.0,40.0,2.2,0,0
0.0277777778,40.0,1.0,0,0
0.0277777778,40.0,1.3,0,0
0.0277777778,40.0,1.6,0,0
0.0277777778,40.0,1.9,0,0
0.0277777778,40.0,2.2,0,0
-0.015,48.0,1.0,0,0
-0.015,48.0,1.3,0,0
-0.015,48.0,1.6,0,0
-0.015,48.0,1.9,0,0
-0.015,48.0,2.2,0,0
0.0,48.0,1.0,0,0
0.0,48.0,1.3,0,0
0.0,48.0,1.6,0,0
0.0,48.0,1.9,0,0
0.0,48.0,2.2,0,0
0.0277777778,48.0,1.0,0,0
0.0277777778,48.0,1.3,0,0
0.0277777778,48.0,1.6,0,1
0.0277777778,48.0,1.9,0,0
0.0277777778,48.0,2.2,0,0
-0.015,55.0,1.0,0,0
-0.015,55.0,1.3,0,0
-0.015,55.0,1.6,0,0
-0.015,55.0,1.9,0,0
-0.015,55.0,2.2,0,0
0.0,55.0,1.0,0,0
0.0,55.0,1.3,0,0
0.0,55.0,1.6,0,0
0.0,55.0,1.9,0,0
0.0,55.0,2.2,0,0
0.0277777778,55.0,1.0,0,0
0.0277777778,55.0,1.3,0,0
0.0277777778,55.0,1.6,0,0
0.0277777778,55.0,1.9,0,0
0.0277777778,55.0,2.2,0,0
-0.015,62.0,1.0,0,0
-0.015,62.0,1.3,0,0
-0.015,62.0,1.6,0,0
-0.015,62.0,1.9,0,0
-0.015,62.0,2.2,0,0
0.0,62.0,1.0,0,0
0.0,62.0,1.3,0,0
0.0,62.0,1.6,0,0
0.0,62.0,1.9,0,0
0.0,62.0,2.2,0,0
0.0277777778,62.0,1.0,0,0
0.0277777778,62.0,1.3,0,0
0.0277777778,62.0,1.6,1,0
0.0277777778,62.0,1.9,0,0
0.0277777778,62.0,2.2,0,0
-0.015,75.0,1.0,0,0
-0.015,75.0,1.3,0,0
-0.015,75.0,1.6,0,0
-0.015,75.0,1.9,0,0
-0.015,75.0,2.2,0,0
0.0,75.0,1.0,0,0
0.0,75.0,1.3,0,0
0.0,75.0,1.6,0,0
0.0,75.0,1.9,0,0
0.0,75.0,2.2,0,0
0.0277777778,75.0,1.0,0,0
0.0277777778,75.0,1.3,0,0
0.0277777778,75.0,1.6,1,0
0.0277777778,75.0,1.9,1,0
0.0277777778,75.0,2.2,0,1
-0.015,100.0,1.0,0,0
-0.015,100.0,1.3,0,0
-0.015,100.0,1.6,0,0
-0.015,100.0,1.9,0,0
-0.015,100.0,2.2,0,0
0.0,100.0,1.0,0,0
0.0,100.0,1.3,0,0
0.0,100.0,1.6,0,0
0.0,100.0,1.9,0,0
0.0,100.0,2.2,0,0
0.0277777778,100.0,1.0,0,0
0.0277777778,100.0,1.3,0,0
0.0277777778,100.0,1.6,0,0
0.0277777778,100.0,1.9,1,0
0.0277777778,100.0,2.2,1,0
