c1_ratio,B_uG,kappa,gs_seed,E_gs,sigma0,sigma2,sigma4,sigma6,sigma8,sigma10,sigma12,mF,coh,fluxclosure,abschir,absLz,absFz,Jz,spin_mod,kspin,dens_mod,kdens
-0.015,0.0,1.0,polar,8.97956220670858,3.5043033479521385e-13,3.7736686425396775e-11,4.448714247084686e-9,5.055449700038103e-7,5.5757046530385707e-5,0.006313423021298223,0.9936303099004009,0.9979481776948695,0.17875595078553846,0.002176188505086008,3.8657446760848265e-9,9.365173404672981e-8,1.1876220515538263e-7,2.1241393920211244e-7,0.043874910993622125,1.0471975511965976,0.001884085307864576,1.0471975511965976
-0.015,0.0,1.3,stretched,9.887490266240787,8.196248690642372e-14,1.2458888074489544e-11,1.9019133617219723e-9,2.72443666447713e-7,3.7299715303334464e-5,0.0051874824486919935,0.9947749434778846,0.9983194998495865,0.1766603430526794,0.002207046341367651,9.689441305468089e-12,2.322856273412788e-10,1.8024170774717058e-10,4.125273350884494e-10,0.032176175324335914,1.0471975511965976,0.013489338342690284,1.0471975511965976
-0.015,0.0,1.6,stretched,10.687100274049934,2.5572787107500075e-14,5.1591614914802825e-12,9.671525696435234e-10,1.6654817823364967e-7,2.7080660058249067e-5,0.004435781240392425,0.9955369705790345,0.9985660564077076,0.1751869229995788,0.0022099063073235917,1.6127950092199986e-13,7.242580465322623e-12,3.656833510866615e-12,1.0899413976189238e-11,0.024591885775646635,1.0471975511965976,0.029182810113770715,1.0471975511965976
-0.015,0.0,1.9,stretched,11.409487321296812,9.634708962350156e-15,2.4859502636891187e-12,5.521286798098539e-10,1.1072483139210893e-7,2.0761285518745802e-5,0.0038949582418918182,0.9960841691931346,0.9987427880061869,0.17407578305432073,0.0021923636497219183,1.8795436703390566e-12,7.477037275230688e-11,2.6764788443088386e-11,1.0153516119539527e-10,0.019347584347226995,1.0471975511965976,0.04361827599196785,1.0471975511965976
-0.015,0.0,2.2,polar,12.073499790146826,4.122901173803803e-15,1.3362339999936052e-12,3.4239809423123723e-10,7.815964769016105e-8,1.654755197641417e-5,0.0034854996423059914,0.9964978743023327,0.9988762301339834,0.1732007224378486,0.002166301137975753,1.1702510582433815e-12,4.49816044288659e-11,1.180434303631132e-11,-5.6785947465177217e-11,0.02310467844282811,1.1708024551734542,0.05521369179443631,1.0471975511965976
0.0,0.0,1.0,polar,8.883579698979766,4.6551633488754956e-8,4.867766915712845e-7,7.09108884971455e-6,0.00011290319454158271,0.001902962793082611,0.035275458216766024,0.9627010513784356,0.987445950817548,0.20633131703518992,0.0027273930673981004,1.5546017960147314e-9,3.736247056933478e-8,4.811313279462688e-8,-8.547560336396166e-8,0.044046361839817035,1.0471975511965976,0.0017750334669106218,1.0471975511965976
0.0,0.0,1.3,stretched,9.798746901694578,1.8469008876601445e-8,2.2978013264476213e-7,3.939667186763147e-6,7.324249469488548e-5,0.0014340495432630077,0.030754918189420503,0.967733601856294,0.9892189035233718,0.20142123039652535,0.0027782062311042083,1.6758408341279354e-11,5.369255171487167e-10,7.106086794669794e-10,1.2475341966156962e-9,0.0323364382441981,1.0471975511965976,0.013126890985259813,1.0471975511965976
0.0,0.0,1.6,stretched,10.60628011097202,8.700267756994482e-9,1.251594118047844e-7,2.4512044361902423e-6,5.167505312254084e-5,0.0011418884524485788,0.027536300071864434,0.971267551358449,0.9904486014741819,0.19792767803103,0.00279120902447194,4.742018116383041e-12,1.4799180805969492e-10,7.812245593553946e-11,-2.261142639952344e-10,0.02472896653291984,1.0471975511965976,0.028709121292030078,1.0471975511965976
0.0,0.0,1.9,polar,11.333665977091043,4.6141702015736595e-9,7.519018492785197e-8,1.6475068023832123e-6,3.8600179283270626e-5,0.0009438919270247597,0.02510404186571887,0.9739117387168164,0.9913605316867233,0.19528063564965673,0.0027776187632355086,2.0681517734674372e-13,7.686286710100703e-12,2.8420594355650826e-12,-1.0528346145665785e-11,0.019462273159268344,1.0471975511965976,0.043145230962379294,1.0471975511965976
0.0,0.0,2.2,polar,12.001653550703596,2.6712390349408743e-9,4.853312782185831e-8,1.171520705717338e-6,3.0056867614263702e-5,0.0008017143449962583,0.023189144691443266,0.9759778613708738,0.9920682788498499,0.19317523971520792,0.002749079324888492,4.751078394207923e-14,9.106263728024235e-13,2.441464450279171e-13,-1.1547728178303405e-12,0.02300573558226993,1.1708024551734542,0.05479667823212497,1.0471975511965976
