c1_ratio,B_uG,kappa,gs_seed,E_gs,mF,coh,fluxclosure,chirality,inert,phase
-0.015,0.0,1.0,polar,8.97956220670858,0.9979481776948695,0.17875595078553846,0.002176188505086008,3.8657446760848265e-9,unknown,flower
-0.015,0.0,1.3,stretched,9.887490266240787,0.9983194998495865,0.1766603430526794,0.002207046341367651,9.689441305468089e-12,unknown,flower
-0.015,0.0,1.6,stretched,10.687100274049934,0.9985660564077076,0.1751869229995788,0.0022099063073235917,1.6127950092199986e-13,unknown,flower
-0.015,0.0,1.9,stretched,11.409487321296812,0.9987427880061869,0.17407578305432073,0.0021923636497219183,1.8795436703390566e-12,unknown,flower
-0.015,0.0,2.2,polar,12.073499790146826,0.9988762301339834,0.1732007224378486,0.002166301137975753,-1.1702510582433815e-12,unknown,flower
0.0,0.0,1.0,polar,8.883579698979766,0.987445950817548,0.20633131703518992,0.0027273930673981004,-1.5546017960147314e-9,unknown,flower
0.0,0.0,1.3,stretched,9.798746901694578,0.9892189035233718,0.20142123039652535,0.0027782062311042083,1.6758408341279354e-11,unknown,flower
0.0,0.0,1.6,stretched,10.60628011097202,0.9904486014741819,0.19792767803103,0.00279120902447194,-4.742018116383041e-12,unknown,flower
0.0,0.0,1.9,polar,11.333665977091043,0.9913605316867233,0.19528063564965673,0.0027776187632355086,-2.0681517734674372e-13,unknown,flower
0.0,0.0,2.2,polar,12.001653550703596,0.9920682788498499,0.19317523971520792,0.002749079324888492,-4.751078394207923e-14,unknown,flower
0.0277777778,0.0,1.0,polar,8.62236385556497,0.6529631453256727,0.49428123214773956,0.00138006055321645,-2.6126303230223576e-9,unknown,ferromagnetic_textured
0.0277777778,0.0,1.3,stretched,9.554699247557197,0.6962916554671503,0.45314043271793797,0.0013807984571670734,-3.5869879803216714e-11,unknown,ferromagnetic_textured
0.0277777778,0.0,1.6,stretched,10.373653236732588,0.7297100913930222,0.4240379873878403,0.0013726593000531703,3.841548382514047e-11,unknown,ferromagnetic_textured
0.0277777778,0.0,1.9,stretched,11.114279934485223,0.7564916171709685,0.4021170144848617,0.001354434951071128,-5.204515400942876e-12,unknown,ferromagnetic_textured
0.0277777778,0.0,2.2,stretched,11.791239063068378,0.7787529820690032,0.385027758276691,0.0013267817431630066,1.3013771984505601e-12,unknown,ferromagnetic_textured
-0.015,25.0,1.0,polar,8.336499724716834,0.9996963710892072,0.5181576563425229,0.1752606182650891,-0.031746931853590975,unknown,ferromagnetic_textured
-0.015,25.0,1.3,polar,9.556178917848667,0.9984528302628516,0.18348894090539705,0.12073085438162187,-0.03190848830924688,unknown,flower
-0.015,25.0,1.6,stretched,10.44629601551224,0.9986627743027298,0.179281423978011,0.12030781565311488,-0.03504558790459462,unknown,flower
-0.015,25.0,1.9,polar,11.205597916883724,0.9987728271491556,0.17537828098142752,0.09195248570692109,-0.009470490375870569,unknown,flower
-0.015,25.0,2.2,polar,11.897534389508689,0.9988993354360263,0.17440567939333895,0.08970770482303562,-0.010361475780188634,unknown,flower
0.0,25.0,1.0,stretched,8.26713256420408,0.996981088796345,0.5427457055667742,0.16237143113413674,-0.038211503644823896,unknown,ferromagnetic_textured
0.0,25.0,1.3,stretched,9.508665515171309,0.9915230979023087,0.26038925598890333,0.11018034771920439,-0.030819953909223142,unknown,flower
0.0,25.0,1.6,stretched,10.368854590723005,0.99065518140927,0.19887771260423828,0.09243916008678073,-0.01962011744607342,unknown,flower
0.0,25.0,1.9,stretched,11.132383533523985,0.9915186736470868,0.1965459599944377,0.09155383684603853,-0.020364085895877144,unknown,flower
0.0,25.0,2.2,polar,11.874372160478979,0.9920638873549342,0.18493443800102152,0.06628234300705842,0.017105149349230853,unknown,flower
0.0277777778,25.0,1.0,polar,8.05291898955462,0.8512742052063119,0.707031659427001,0.18309842700739548,-0.0004257966478111812,unknown,ferromagnetic_textured
0.0277777778,25.0,1.3,polar,9.222611085623509,0.5472773069206427,0.5437290491608814,0.14580041373012378,-0.10696850613350688,unknown,chiral_spin_vortex
0.0277777778,25.0,1.6,stretched,10.125706145914968,0.6985359487136992,0.4450755998651147,0.11351632547516116,-0.09579747672883851,unknown,ferromagnetic_textured
0.0277777778,25.0,1.9,polar,10.911908734623681,0.7382831164098027,0.41482544631747453,0.1028684279820117,-0.08695773247206011,unknown,ferromagnetic_textured
0.0277777778,25.0,2.2,polar,11.620949973016398,0.765880764838474,0.3945868031399917,0.09938398512934607,-0.08126796407673975,unknown,ferromagnetic_textured
-0.015,40.0,1.0,stretched,7.11275318883608,0.9999999999970027,0.9391372951965207,0.33590767551702105,-2.788456701882377e-5,FM,ferromagnetic_textured
-0.015,40.0,1.3,stretched,8.93357566112627,0.9995101064823166,0.46423551559979426,0.2225192687092094,-0.03154564240493576,unknown,ferromagnetic_textured
-0.015,40.0,1.6,stretched,10.007131552519118,0.9987576319702235,0.19121482454964692,0.1843222210485432,-0.04200770051996351,unknown,flower
-0.015,40.0,1.9,polar,10.863252363810647,0.9988037977430554,0.18058767418998548,0.15589719440278735,-0.023286833450281926,unknown,flower
-0.015,40.0,2.2,polar,11.615902591934729,0.9989149313172726,0.17859646991973258,0.15290848202178084,-0.024820371333985392,unknown,flower
0.0,40.0,1.0,stretched,7.112393341530113,0.9999999999292758,0.9384103174904841,0.3354540917851608,-3.071441855447902e-5,FM,ferromagnetic_textured
0.0,40.0,1.3,polar,8.852778146636217,0.9956067490438603,0.4177984220239611,0.2128249990429369,-0.05322093726431793,unknown,ferromagnetic_textured
0.0,40.0,1.6,stretched,9.940554174603104,0.9903083044270321,0.20169464498539955,0.1527881387340295,-0.03641725779533282,unknown,flower
0.0,40.0,1.9,stretched,10.794098502242415,0.9907624075340186,0.20265374584447554,0.15146317151499897,-0.03909015643430447,unknown,flower
0.0,40.0,2.2,stretched,11.563536456410919,0.9922029298498368,0.18989616847094462,0.1268612707220362,-0.00959463362633625,unknown,flower
0.0277777778,40.0,1.0,polar,7.075877156315484,0.9621675934346694,0.921015492640133,0.33002598421281104,-4.369128539877363e-5,unknown,ferromagnetic_textured
0.0277777778,40.0,1.3,polar,8.618623838607927,0.6632391458970835,0.6396569015619485,0.26336541399304864,-0.07957027472709063,unknown,ferromagnetic_textured
0.0277777778,40.0,1.6,stretched,9.682836796511106,0.6623945271391877,0.4836008700959935,0.20067941761972427,-0.08531630515916504,unknown,ferromagnetic_textured
0.0277777778,40.0,1.9,stretched,10.5592937138442,0.6658165859043662,0.4591320179960898,0.17487174374232672,-0.08248672815962312,unknown,ferromagnetic_textured
0.0277777778,40.0,2.2,polar,11.323542346593964,0.7263036252407914,0.41215524602285597,0.15081020426574734,-0.0762739855231268,unknown,ferromagnetic_textured
-0.015,48.0,1.0,polar,6.409854746304954,0.9999999999983001,0.9509940405209755,0.3377370277179446,-1.9806412909633703e-5,FM,ferromagnetic
-0.015,48.0,1.3,stretched,8.355562883626035,0.9999999997596127,0.6029752555620915,0.39580614965543165,-0.025246518747895987,FM,ferromagnetic_textured
-0.015,48.0,1.6,stretched,9.663375097135924,0.9990898510402384,0.2125306794455014,0.2411001095747012,-0.04882297438994378,unknown,flower
-0.015,48.0,1.9,stretched,10.614995927135942,0.9988016827794371,0.17969973348108378,0.17482511098424264,-0.015939966176543828,unknown,flower
-0.015,48.0,2.2,polar,11.394323181043754,0.9989091171266667,0.17896545686101376,0.17265511490840948,-0.01864946583501263,unknown,flower
0.0,48.0,1.0,stretched,6.4096850551834175,0.9999999999670726,0.9507570276390337,0.33748625180057185,-2.081629871198715e-5,FM,ferromagnetic
0.0,48.0,1.3,polar,8.352507921296958,0.9999999913075719,0.5907588168673523,0.3941072796928918,-0.024393480694449302,FM,ferromagnetic_textured
0.0,48.0,1.6,stretched,9.590886450411144,0.9930770929023276,0.2187571487934819,0.2057638213762848,-0.04829576213970733,unknown,flower
0.0,48.0,1.9,polar,10.540761441914452,0.9910942033101583,0.19905096383337206,0.1699182205520805,-0.031777430103539984,unknown,flower
0.0,48.0,2.2,stretched,11.329634790589303,0.9918794789015498,0.19847077475126768,0.1690710318272713,-0.03354809221724375,unknown,flower
0.0277777778,48.0,1.0,stretched,6.408893200863432,0.996521275986789,0.947767045160082,0.33691970707616486,-2.406080796847394e-5,unknown,ferromagnetic_textured
0.0277777778,48.0,1.3,stretched,8.159712284975686,0.9182610842878932,0.8299903254919794,0.37008624525937567,-0.0018312055975392377,unknown,ferromagnetic_textured
0.0277777778,48.0,1.6,stretched,9.343280661324377,0.5727795150093532,0.5835531591668373,0.25797894558995726,-0.07497540678841395,unknown,ferromagnetic_textured
0.0277777778,48.0,1.9,stretched,10.287775724454962,0.6036813976215194,0.5134847207998802,0.22673874570700928,-0.07341495842302001,unknown,ferromagnetic_textured
0.0277777778,48.0,2.2,stretched,11.095199379168134,0.6946388827780606,0.4321071218835706,0.19207331915538745,-0.06999370739251595,unknown,ferromagnetic_textured
-0.015,55.0,1.0,polar,5.793602221219788,0.9999999999989169,0.9586405073750043,0.33895385521515536,-1.536816296212601e-5,FM,ferromagnetic
-0.015,55.0,1.3,stretched,7.773486293276521,0.9999999999203077,0.8072810067033694,0.44111317296286817,-0.004305613533195349,FM,ferromagnetic_textured
-0.015,55.0,1.6,polar,9.276585695632514,0.9992383116581413,0.22745947458507673,0.2633047977708227,-0.039648042554758366,unknown,flower
-0.015,55.0,1.9,stretched,10.315422323325631,0.9990452420791703,0.19200324401694244,0.2203618113129959,-0.030936671370158805,unknown,flower
-0.015,55.0,2.2,polar,11.17303894031338,0.998904148663262,0.17748609753539754,0.1898264313247572,-0.012962598544598766,unknown,flower
0.0,55.0,1.0,polar,5.7935068938232455,0.9999999999818351,0.9585542331642994,0.33881348635927355,-1.583164592788147e-5,FM,ferromagnetic
0.0,55.0,1.3,polar,7.771198842139416,0.9999999988049301,0.802682875272759,0.43902963158235525,-0.0038492438122777178,FM,ferromagnetic_textured
0.0,55.0,1.6,stretched,9.257934913350551,0.9952544894738726,0.4663889201947824,0.25307377408707304,-0.05489263222403002,unknown,ferromagnetic_textured
0.0,55.0,1.9,stretched,10.249170829569138,0.9929689369224443,0.21377790517076836,0.21864155031873067,-0.045743319271794126,unknown,flower
0.0,55.0,2.2,stretched,11.105528899218177,0.9914140192180901,0.19491472921181088,0.1845403368357064,-0.027919136769004666,unknown,flower
0.0277777778,55.0,1.0,stretched,5.79326061531664,0.9999999447449383,0.9579836826007214,0.3385507268729045,-1.7067517341714594e-5,FM,ferromagnetic
0.0277777778,55.0,1.3,polar,7.680673953829163,0.8775181807985318,0.8777374030471614,0.47067274453449826,-7.283965222972521e-5,unknown,ferromagnetic_textured
0.0277777778,55.0,1.6,polar,8.989564101547842,0.7755279988310818,0.7134679746613587,0.36395199556316876,-0.051257068412184636,unknown,ferromagnetic_textured
0.0277777778,55.0,1.9,stretched,10.00052853465005,0.5448190320283853,0.5932189035281894,0.2765116320761603,-0.0634515840394738,unknown,ferromagnetic_textured
0.0277777778,55.0,2.2,polar,10.853342569944884,0.6651148691742871,0.45728481232192497,0.2324671179744151,-0.06321395368701954,unknown,ferromagnetic_textured
-0.015,62.0,1.0,stretched,5.17652038961983,0.9999999999992855,0.9645869043059299,0.33989095794977314,-1.2290734073083965e-5,FM,ferromagnetic
-0.015,62.0,1.3,polar,7.169541054609554,0.9999999999746613,0.8760836716267723,0.4582572995766382,-6.281932660802084e-5,FM,ferromagnetic_textured
-0.015,62.0,1.6,stretched,8.800589776944257,0.9999999992112524,0.5154574071093381,0.4311767905228786,-0.027226904225615786,FM,ferromagnetic_textured
-0.015,62.0,1.9,polar,9.991979026241799,0.9988807074732451,0.19449793661887632,0.24024246071721297,-0.023487118826135446,unknown,flower
-0.015,62.0,2.2,stretched,10.88892575755216,0.9990940596449969,0.18876729768298917,0.23557601011472223,-0.02834412893528074,unknown,flower
0.0,62.0,1.0,polar,5.176463583146727,0.9999999999894368,0.9645577780307641,0.33980929881555877,-1.2521819459389304e-5,FM,ferromagnetic
0.0,62.0,1.3,polar,7.168325473891071,0.9999999995728749,0.8731932898161421,0.45671054795898963,-7.483087053508055e-5,FM,ferromagnetic_textured
0.0,62.0,1.6,polar,8.781775753453797,0.9980742808899198,0.4909978162597492,0.33146778540294797,-0.042231066661276996,unknown,ferromagnetic_textured
0.0,62.0,1.9,stretched,9.922165321776372,0.9942082786359646,0.21597355616199057,0.23920031480803366,-0.039069503743372425,unknown,flower
0.0,62.0,2.2,polar,10.828217422738549,0.9931824823322493,0.2096886937928013,0.23229099906239078,-0.04241403230533594,unknown,flower
0.0277777778,62.0,1.0,polar,5.176344398684822,0.9999999980233772,0.9643627426556974,0.3396802795856652,-1.3015892485671556e-5,FM,ferromagnetic
0.0277777778,62.0,1.3,polar,7.142524497894992,0.9225787428429806,0.8789529683452738,0.47019448695074195,-6.17854695528169e-5,unknown,ferromagnetic_textured
